Time,Temperature,Z,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,37.717932948938305,rbf,linear,0.0,,
2.101010101010101,460.0,37.212616244184176,rbf,linear,0.0,,
2.202020202020202,460.0,36.70840508282226,rbf,linear,0.0,,
2.303030303030303,460.0,36.20518021752532,rbf,linear,0.0,,
2.404040404040404,460.0,35.7027968532083,rbf,linear,0.0,,
2.505050505050505,460.0,35.20108180072033,rbf,linear,0.0,,
2.606060606060606,460.0,34.699830906351444,rbf,linear,0.0,,
2.707070707070707,460.0,34.1988070712529,rbf,linear,0.0,,
2.808080808080808,460.0,33.69773929435448,rbf,linear,0.0,,
2.909090909090909,460.0,33.196323311872675,rbf,linear,0.0,,
3.0101010101010104,460.0,32.694224555584064,rbf,linear,0.0,,
3.111111111111111,460.0,32.19108428891236,rbf,linear,0.0,,
3.212121212121212,460.0,31.68652986765081,rbf,linear,0.0,,
3.313131313131313,460.0,31.180190057329632,rbf,linear,0.0,,
3.4141414141414144,460.0,30.67171615624959,rbf,linear,0.0,,
3.515151515151515,460.0,30.160809259203955,rbf,linear,0.0,,
3.616161616161616,460.0,29.647253319753816,rbf,linear,0.0,,
3.717171717171717,460.0,29.130952764679982,rbf,linear,0.0,,
3.8181818181818183,460.0,28.611972419863804,rbf,linear,0.0,,
3.919191919191919,460.0,28.090576662707257,rbf,linear,0.0,,
4.020202020202021,460.0,27.567264313670666,rbf,linear,0.0,,
4.121212121212121,460.0,27.042796051620428,rbf,linear,0.0,,
4.222222222222222,460.0,26.518212132247164,rbf,linear,0.0,,
4.3232323232323235,460.0,25.994839696432905,rbf,linear,0.0,,
4.424242424242424,460.0,25.47429055290099,rbf,linear,0.0,,
4.525252525252525,460.0,24.958451524442967,rbf,linear,0.0,,
4.626262626262626,460.0,24.449469905486357,rbf,linear,0.0,,
4.727272727272727,460.0,23.94973618442824,rbf,linear,0.0,,
4.828282828282829,460.0,23.461865078328383,rbf,linear,0.0,,
4.929292929292929,460.0,22.988674406819083,rbf,linear,0.0,,
5.03030303030303,460.0,22.53315973615573,rbf,linear,0.0,,
5.1313131313131315,460.0,22.098461365354982,rbf,linear,0.0,,
5.232323232323232,460.0,21.687819376454268,rbf,linear,0.0,,
5.333333333333334,460.0,21.304512382917355,rbf,linear,0.0,,
5.434343434343434,460.0,20.951776527378108,rbf,linear,0.0,,
5.5353535353535355,460.0,20.632703393978336,rbf,linear,0.0,,
5.636363636363637,460.0,20.350118839898844,rbf,linear,0.0,,
5.737373737373737,460.0,20.10644902208714,rbf,linear,0.0,,
5.838383838383838,460.0,19.903584357374058,rbf,linear,0.0,,
5.9393939393939394,460.0,19.742755644140875,rbf,linear,0.0,,
