Time,Temperature,Rp0.2,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,2245.5509816779404,rbf,linear,0.1,,
2.101010101010101,460.0,2234.443362296527,rbf,linear,0.1,,
2.202020202020202,460.0,2223.488292180032,rbf,linear,0.1,,
2.303030303030303,460.0,2212.6831651706625,rbf,linear,0.1,,
2.404040404040404,460.0,2202.025330397968,rbf,linear,0.1,,
2.505050505050505,460.0,2191.5121235951847,rbf,linear,0.1,,
2.606060606060606,460.0,2181.140898579532,rbf,linear,0.1,,
2.707070707070707,460.0,2170.909056633929,rbf,linear,0.1,,
2.808080808080808,460.0,2160.814070627509,rbf,linear,0.1,,
2.909090909090909,460.0,2150.8534996653925,rbf,linear,0.1,,
3.0101010101010104,460.0,2141.024988940955,rbf,linear,0.1,,
3.111111111111111,460.0,2131.3262484344036,rbf,linear,0.1,,
3.212121212121212,460.0,2121.755003426183,rbf,linear,0.1,,
3.313131313131313,460.0,2112.3089098576456,rbf,linear,0.1,,
3.4141414141414144,460.0,2102.9854288458832,rbf,linear,0.1,,
3.515151515151515,460.0,2093.7816575958936,rbf,linear,0.1,,
3.616161616161616,460.0,2084.6941187825105,rbf,linear,0.1,,
3.717171717171717,460.0,2075.718516939576,rbf,linear,0.1,,
3.8181818181818183,460.0,2066.8494775152176,rbf,linear,0.1,,
3.919191919191919,460.0,2058.0802903095955,rbf,linear,0.1,,
4.020202020202021,460.0,2049.402681917068,rbf,linear,0.1,,
4.121212121212121,460.0,2040.806639872429,rbf,linear,0.1,,
4.222222222222222,460.0,2032.2803040918664,rbf,linear,0.1,,
4.3232323232323235,460.0,2023.8099303754268,rbf,linear,0.1,,
4.424242424242424,460.0,2015.37991919276,rbf,linear,0.1,,
4.525252525252525,460.0,2006.9728941209198,rbf,linear,0.1,,
4.626262626262626,460.0,1998.569810640579,rbf,linear,0.1,,
4.727272727272727,460.0,1990.1500782626715,rbf,linear,0.1,,
4.828282828282829,460.0,1981.6916861370948,rbf,linear,0.1,,
4.929292929292929,460.0,1973.1713322954238,rbf,linear,0.1,,
5.03030303030303,460.0,1964.5645671468587,rbf,linear,0.1,,
5.1313131313131315,460.0,1955.8459706932779,rbf,linear,0.1,,
5.232323232323232,460.0,1946.98938844163,rbf,linear,0.1,,
5.333333333333334,460.0,1937.9682516854402,rbf,linear,0.1,,
5.434343434343434,460.0,1928.7560023425715,rbf,linear,0.1,,
5.5353535353535355,460.0,1919.326629844319,rbf,linear,0.1,,
5.636363636363637,460.0,1909.6553076038372,rbf,linear,0.1,,
5.737373737373737,460.0,1899.7190911658513,rbf,linear,0.1,,
5.838383838383838,460.0,1889.4976136998246,rbf,linear,0.1,,
5.9393939393939394,460.0,1878.9736939696556,rbf,linear,0.1,,
6.040404040404041,460.0,1874.577999884762,rbf,linear,0.1,,
6.141414141414141,460.0,1879.5228663854557,rbf,linear,0.1,,
6.242424242424242,460.0,1884.1358072957378,rbf,linear,0.1,,
6.343434343434343,460.0,1888.4138928464756,rbf,linear,0.1,,
6.444444444444445,460.0,1892.356688921168,rbf,linear,0.1,,
6.545454545454545,460.0,1895.9653656807036,rbf,linear,0.1,,
6.646464646464646,460.0,1899.2417239361998,rbf,linear,0.1,,
6.747474747474747,460.0,1902.1872406731682,rbf,linear,0.1,,
6.848484848484849,460.0,1904.8022219888328,rbf,linear,0.1,,
6.94949494949495,460.0,1907.085131918296,rbf,linear,0.1,,
7.05050505050505,460.0,1909.0321457762568,rbf,linear,0.1,,
7.151515151515151,460.0,1910.636960458657,rbf,linear,0.1,,
7.252525252525253,460.0,1911.8908819479211,rbf,linear,0.1,,
7.353535353535354,460.0,1912.7831995924928,rbf,linear,0.1,,
7.454545454545454,460.0,1913.3018436676066,rbf,linear,0.1,,
7.555555555555555,460.0,1913.4343035078473,rbf,linear,0.1,,
7.656565656565657,460.0,1913.1687563056173,rbf,linear,0.1,,
7.757575757575758,460.0,1912.4953232735427,rbf,linear,0.1,,
7.858585858585858,460.0,1911.4073365993388,rbf,linear,0.1,,
7.959595959595959,460.0,1909.902477620043,rbf,linear,0.1,,
8.06060606060606,460.0,1911.4983786949863,rbf,linear,0.1,,
8.161616161616163,460.0,1915.0320601786514,rbf,linear,0.1,,
8.262626262626263,460.0,1918.1746991989078,rbf,linear,0.1,,
8.363636363636363,460.0,1920.9459561577262,rbf,linear,0.1,,
8.464646464646464,460.0,1923.370040435415,rbf,linear,0.1,,
8.565656565656566,460.0,1925.4746792399656,rbf,linear,0.1,,
8.666666666666668,460.0,1927.289970625605,rbf,linear,0.1,,
8.767676767676768,460.0,1928.8472483856083,rbf,linear,0.1,,
8.868686868686869,460.0,1930.1780575177406,rbf,linear,0.1,,
8.969696969696969,460.0,1931.313301498751,rbf,linear,0.1,,
9.070707070707071,460.0,1932.282586681493,rbf,linear,0.1,,
9.171717171717171,460.0,1933.1137609487098,rbf,linear,0.1,,
9.272727272727273,460.0,1933.8326254846656,rbf,linear,0.1,,
9.373737373737374,460.0,1934.462789396337,rbf,linear,0.1,,
9.474747474747474,460.0,1935.0256347051848,rbf,linear,0.1,,
9.575757575757574,460.0,1935.540361422314,rbf,linear,0.1,,
9.676767676767676,460.0,1936.0240868742017,rbf,linear,0.1,,
9.777777777777779,460.0,1936.491978639707,rbf,linear,0.1,,
9.878787878787879,460.0,1936.957405463081,rbf,linear,0.1,,
9.97979797979798,460.0,1937.4320948531647,rbf,linear,0.1,,
10.080808080808081,460.0,1937.9262896027603,rbf,linear,0.1,,
10.181818181818182,460.0,1938.448898178521,rbf,linear,0.1,,
