Time,Temperature,E,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,223.14370531616473,rbf,linear,0.1,,
2.101010101010101,460.0,221.6407646847413,rbf,linear,0.1,,
2.202020202020202,460.0,220.15533497097968,rbf,linear,0.1,,
2.303030303030303,460.0,218.68768897331668,rbf,linear,0.1,,
2.404040404040404,460.0,217.23815342862346,rbf,linear,0.1,,
2.505050505050505,460.0,215.80711746809342,rbf,linear,0.1,,
2.606060606060606,460.0,214.39504092616113,rbf,linear,0.1,,
2.707070707070707,460.0,213.00246190650788,rbf,linear,0.1,,
2.808080808080808,460.0,211.63000276845827,rbf,linear,0.1,,
2.909090909090909,460.0,210.2783734156533,rbf,linear,0.1,,
3.0101010101010104,460.0,208.94837046883146,rbf,linear,0.1,,
3.111111111111111,460.0,207.64087063162248,rbf,linear,0.1,,
3.212121212121212,460.0,206.35681638992168,rbf,linear,0.1,,
3.313131313131313,460.0,205.09719223384096,rbf,linear,0.1,,
3.4141414141414144,460.0,203.86298999374586,rbf,linear,0.1,,
3.515151515151515,460.0,202.655162769507,rbf,linear,0.1,,
3.616161616161616,460.0,201.4745683704106,rbf,linear,0.1,,
3.717171717171717,460.0,200.32190509301688,rbf,linear,0.1,,
3.8181818181818183,460.0,199.197644752441,rbf,linear,0.1,,
3.919191919191919,460.0,198.10196963607456,rbf,linear,0.1,,
4.020202020202021,460.0,197.03472084469448,rbf,linear,0.1,,
4.121212121212121,460.0,195.99536482105964,rbf,linear,0.1,,
4.222222222222222,460.0,194.9829826238604,rbf,linear,0.1,,
4.3232323232323235,460.0,193.9962831063444,rbf,linear,0.1,,
4.424242424242424,460.0,193.03363747133167,rbf,linear,0.1,,
4.525252525252525,460.0,192.09312968609512,rbf,linear,0.1,,
4.626262626262626,460.0,191.17261566941718,rbf,linear,0.1,,
4.727272727272727,460.0,190.26978421128314,rbf,linear,0.1,,
4.828282828282829,460.0,189.38221395223084,rbf,linear,0.1,,
4.929292929292929,460.0,188.50742284461234,rbf,linear,0.1,,
5.03030303030303,460.0,187.64290872741134,rbf,linear,0.1,,
5.1313131313131315,460.0,186.786181512677,rbf,linear,0.1,,
5.232323232323232,460.0,185.93478876065512,rbf,linear,0.1,,
5.333333333333334,460.0,185.08633704168554,rbf,linear,0.1,,
5.434343434343434,460.0,184.23851147694256,rbf,linear,0.1,,
5.5353535353535355,460.0,183.38909529489612,rbf,linear,0.1,,
5.636363636363637,460.0,182.53599024476134,rbf,linear,0.1,,
5.737373737373737,460.0,181.67723743082965,rbf,linear,0.1,,
5.838383838383838,460.0,180.81103680830608,rbf,linear,0.1,,
5.9393939393939394,460.0,179.93576252414044,rbf,linear,0.1,,
6.040404040404041,460.0,179.4167190095321,rbf,linear,0.1,,
6.141414141414141,460.0,179.4360162595338,rbf,linear,0.1,,
6.242424242424242,460.0,179.44243304412225,rbf,linear,0.1,,
6.343434343434343,460.0,179.43500902588468,rbf,linear,0.1,,
6.444444444444445,460.0,179.4128858562408,rbf,linear,0.1,,
6.545454545454545,460.0,179.37526388808817,rbf,linear,0.1,,
6.646464646464646,460.0,179.32135648790657,rbf,linear,0.1,,
6.747474747474747,460.0,179.25034631294645,rbf,linear,0.1,,
6.848484848484849,460.0,179.16134748573973,rbf,linear,0.1,,
6.94949494949495,460.0,179.05337691521424,rbf,linear,0.1,,
7.05050505050505,460.0,178.9253373332308,rbf,linear,0.1,,
7.151515151515151,460.0,178.77601406192906,rbf,linear,0.1,,
7.252525252525253,460.0,178.60408707189143,rbf,linear,0.1,,
7.353535353535354,460.0,178.40815937790506,rbf,linear,0.1,,
7.454545454545454,460.0,178.1868020258218,rbf,linear,0.1,,
7.555555555555555,460.0,177.9386146470101,rbf,linear,0.1,,
7.656565656565657,460.0,177.66229871433396,rbf,linear,0.1,,
7.757575757575758,460.0,177.3567383696267,rbf,linear,0.1,,
7.858585858585858,460.0,177.0210814384051,rbf,linear,0.1,,
7.959595959595959,460.0,176.65481167550635,rbf,linear,0.1,,
8.06060606060606,460.0,176.6851688116989,rbf,linear,0.1,,
8.161616161616163,460.0,176.9699909197494,rbf,linear,0.1,,
8.262626262626263,460.0,177.22507972794563,rbf,linear,0.1,,
8.363636363636363,460.0,177.45153694442212,rbf,linear,0.1,,
8.464646464646464,460.0,177.65080011267355,rbf,linear,0.1,,
8.565656565656566,460.0,177.82457238192447,rbf,linear,0.1,,
8.666666666666668,460.0,177.97474470014558,rbf,linear,0.1,,
8.767676767676768,460.0,178.10331879958298,rbf,linear,0.1,,
8.868686868686869,460.0,178.21233744818278,rbf,linear,0.1,,
8.969696969696969,460.0,178.30382599075767,rbf,linear,0.1,,
9.070707070707071,460.0,178.37974685438058,rbf,linear,0.1,,
9.171717171717171,460.0,178.44196684887535,rbf,linear,0.1,,
9.272727272727273,460.0,178.492235896847,rbf,linear,0.1,,
9.373737373737374,460.0,178.53217522860783,rbf,linear,0.1,,
9.474747474747474,460.0,178.56327293026231,rbf,linear,0.1,,
9.575757575757574,460.0,178.58688487370998,rbf,linear,0.1,,
9.676767676767676,460.0,178.60423934564736,rbf,linear,0.1,,
9.777777777777779,460.0,178.61644402932788,rbf,linear,0.1,,
9.878787878787879,460.0,178.624494317278,rbf,linear,0.1,,
9.97979797979798,460.0,178.62928221480115,rbf,linear,0.1,,
10.080808080808081,460.0,178.63160532233604,rbf,linear,0.1,,
10.181818181818182,460.0,178.63217556054056,rbf,linear,0.1,,
10.282828282828282,460.0,178.63162743194624,rbf,linear,0.1,,
10.383838383838384,460.0,178.630525705699,rbf,linear,0.1,,
10.484848484848484,460.0,178.62937247567785,rbf,linear,0.1,,
10.585858585858587,460.0,178.62861358451906,rbf,linear,0.1,,
10.686868686868687,460.0,178.62864443273907,rbf,linear,0.1,,
10.787878787878787,460.0,178.62981520787972,rbf,linear,0.1,,
10.88888888888889,460.0,178.63243557685416,rbf,linear,0.1,,
10.98989898989899,460.0,178.6367788879694,rbf,linear,0.1,,
11.09090909090909,460.0,178.6430859292287,rbf,linear,0.1,,
11.191919191919192,460.0,178.65156828771248,rbf,linear,0.1,,
11.292929292929292,460.0,178.66241135194554,rbf,linear,0.1,,
11.393939393939394,460.0,178.67577699573528,rbf,linear,0.1,,
11.494949494949495,460.0,178.69180597837453,rbf,linear,0.1,,
11.595959595959595,460.0,178.71062009256082,rbf,linear,0.1,,
11.696969696969697,460.0,178.7323240880265,rbf,linear,0.1,,
11.797979797979798,460.0,178.7570073957668,rbf,linear,0.1,,
11.8989898989899,460.0,178.78474567492742,rbf,linear,0.1,,
12.0,460.0,178.81560220187197,rbf,linear,0.1,,
2.0,461.4141414141414,222.32687290794877,rbf,linear,0.1,,
2.101010101010101,461.4141414141414,220.82390017525756,rbf,linear,0.1,,
2.202020202020202,461.4141414141414,219.33845014936085,rbf,linear,0.1,,
2.303030303030303,461.4141414141414,217.8707868680211,rbf,linear,0.1,,
2.404040404040404,461.4141414141414,216.42123188364027,rbf,linear,0.1,,
2.505050505050505,461.4141414141414,214.99017435688776,rbf,linear,0.1,,
2.606060606060606,461.4141414141414,213.5780813683602,rbf,linear,0.1,,
2.707070707070707,461.4141414141414,212.18550786125994,rbf,linear,0.1,,
2.808080808080808,461.4141414141414,210.81310534351792,rbf,linear,0.1,,
2.909090909090909,461.4141414141414,209.46162812548567,rbf,linear,0.1,,
3.0101010101010104,461.4141414141414,208.13193546521143,rbf,linear,0.1,,
3.111111111111111,461.4141414141414,206.8249875821266,rbf,linear,0.1,,
3.212121212121212,461.4141414141414,205.54183316948087,rbf,linear,0.1,,
3.313131313131313,461.4141414141414,204.28358592807362,rbf,linear,0.1,,
3.4141414141414144,461.4141414141414,203.0513879522483,rbf,linear,0.1,,
