Time,Temperature,HV,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,484.6577482268821,rbf,cubic,0.1,,
2.101010101010101,460.0,492.7994743730056,rbf,cubic,0.1,,
2.202020202020202,460.0,500.52256062178384,rbf,cubic,0.1,,
2.303030303030303,460.0,507.8418970446579,rbf,cubic,0.1,,
2.404040404040404,460.0,514.7719099889138,rbf,cubic,0.1,,
2.505050505050505,460.0,521.3265315704328,rbf,cubic,0.1,,
2.606060606060606,460.0,527.5191728046655,rbf,cubic,0.1,,
2.707070707070707,460.0,533.3627018398225,rbf,cubic,0.1,,
2.808080808080808,460.0,538.8694289421652,rbf,cubic,0.1,,
2.909090909090909,460.0,544.0511000187,rbf,cubic,0.1,,
3.0101010101010104,460.0,548.9189005054035,rbf,cubic,0.1,,
3.111111111111111,460.0,553.4834713442741,rbf,cubic,0.1,,
3.212121212121212,460.0,557.7549384553723,rbf,cubic,0.1,,
3.313131313131313,460.0,561.7429565138692,rbf,cubic,0.1,,
3.4141414141414144,460.0,565.4567669165556,rbf,cubic,0.1,,
3.515151515151515,460.0,568.9052685575866,rbf,cubic,0.1,,
3.616161616161616,460.0,572.0970984950112,rbf,cubic,0.1,,
3.717171717171717,460.0,575.040717946776,rbf,cubic,0.1,,
3.8181818181818183,460.0,577.7444975890194,rbf,cubic,0.1,,
3.919191919191919,460.0,580.216795200706,rbf,cubic,0.1,,
4.020202020202021,460.0,582.4660186598323,rbf,cubic,0.1,,
4.121212121212121,460.0,584.500668366886,rbf,cubic,0.1,,
4.222222222222222,460.0,586.3293553194626,rbf,cubic,0.1,,
4.3232323232323235,460.0,587.9607939589417,rbf,cubic,0.1,,
4.424242424242424,460.0,589.4037719977084,rbf,cubic,0.1,,
4.525252525252525,460.0,590.6671020946517,rbf,cubic,0.1,,
4.626262626262626,460.0,591.7595619942161,rbf,cubic,0.1,,
4.727272727272727,460.0,592.6898303666029,rbf,cubic,0.1,,
4.828282828282829,460.0,593.4664251597278,rbf,cubic,0.1,,
4.929292929292929,460.0,594.0976500804654,rbf,cubic,0.1,,
5.03030303030303,460.0,594.5915532246621,rbf,cubic,0.1,,
5.1313131313131315,460.0,594.9559001985206,rbf,cubic,0.1,,
5.232323232323232,460.0,595.1981625439323,rbf,cubic,0.1,,
5.333333333333334,460.0,595.3255210109054,rbf,cubic,0.1,,
5.434343434343434,460.0,595.3448822355746,rbf,cubic,0.1,,
5.5353535353535355,460.0,595.2629066559861,rbf,cubic,0.1,,
