Time,Temperature,At,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,10.697054742020743,rbf,linear,0.1,,
2.101010101010101,460.0,10.542772352120588,rbf,linear,0.1,,
2.202020202020202,460.0,10.390159407181578,rbf,linear,0.1,,
2.303030303030303,460.0,10.23927397576594,rbf,linear,0.1,,
2.404040404040404,460.0,10.090170772947973,rbf,linear,0.1,,
2.505050505050505,460.0,9.942900120260719,rbf,linear,0.1,,
2.606060606060606,460.0,9.797506875565624,rbf,linear,0.1,,
2.707070707070707,460.0,9.65402939161829,rbf,linear,0.1,,
2.808080808080808,460.0,9.512498586973631,rbf,linear,0.1,,
2.909090909090909,460.0,9.372937241858107,rbf,linear,0.1,,
3.0101010101010104,460.0,9.235359662685152,rbf,linear,0.1,,
3.111111111111111,460.0,9.09977188778958,rbf,linear,0.1,,
3.212121212121212,460.0,8.96617262661987,rbf,linear,0.1,,
3.313131313131313,460.0,8.834555124822424,rbf,linear,0.1,,
3.4141414141414144,460.0,8.704910115860194,rbf,linear,0.1,,
3.515151515151515,460.0,8.577229944025335,rbf,linear,0.1,,
3.616161616161616,460.0,8.451513817705283,rbf,linear,0.1,,
3.717171717171717,460.0,8.327773982160291,rbf,linear,0.1,,
3.8181818181818183,460.0,8.206042413477814,rbf,linear,0.1,,
3.919191919191919,460.0,8.086377474891307,rbf,linear,0.1,,
4.020202020202021,460.0,7.968869898093794,rbf,linear,0.1,,
4.121212121212121,460.0,7.8536474995581464,rbf,linear,0.1,,
4.222222222222222,460.0,7.740878224644341,rbf,linear,0.1,,
4.3232323232323235,460.0,7.630771391801965,rbf,linear,0.1,,
4.424242424242424,460.0,7.523577306864945,rbf,linear,0.1,,
4.525252525252525,460.0,7.419585643659666,rbf,linear,0.1,,
4.626262626262626,460.0,7.319123076310614,rbf,linear,0.1,,
4.727272727272727,460.0,7.222550581407344,rbf,linear,0.1,,
4.828282828282829,460.0,7.130260631344994,rbf,linear,0.1,,
4.929292929292929,460.0,7.042674228913324,rbf,linear,0.1,,
5.03030303030303,460.0,6.960237449928923,rbf,linear,0.1,,
5.1313131313131315,460.0,6.883416921155102,rbf,linear,0.1,,
5.232323232323232,460.0,6.8126935114294,rbf,linear,0.1,,
5.333333333333334,460.0,6.748553495892492,rbf,linear,0.1,,
5.434343434343434,460.0,6.691476604649576,rbf,linear,0.1,,
5.5353535353535355,460.0,6.641920717372879,rbf,linear,0.1,,
5.636363636363637,460.0,6.600303516994583,rbf,linear,0.1,,
5.737373737373737,460.0,6.566982119354441,rbf,linear,0.1,,
5.838383838383838,460.0,6.542232429359053,rbf,linear,0.1,,
5.9393939393939394,460.0,6.5262305472978825,rbf,linear,0.1,,
6.040404040404041,460.0,6.509072044951037,rbf,linear,0.1,,
6.141414141414141,460.0,6.4857147664370105,rbf,linear,0.1,,
6.242424242424242,460.0,6.470929730144009,rbf,linear,0.1,,
6.343434343434343,460.0,6.464426736443407,rbf,linear,0.1,,
6.444444444444445,460.0,6.465820577100737,rbf,linear,0.1,,
6.545454545454545,460.0,6.474652177928511,rbf,linear,0.1,,
6.646464646464646,460.0,6.490412166208929,rbf,linear,0.1,,
6.747474747474747,460.0,6.51256436821529,rbf,linear,0.1,,
6.848484848484849,460.0,6.540567213754027,rbf,linear,0.1,,
6.94949494949495,460.0,6.573891693114983,rbf,linear,0.1,,
7.05050505050505,460.0,6.612035182231673,rbf,linear,0.1,,
7.151515151515151,460.0,6.654530996546799,rbf,linear,0.1,,
7.252525252525253,460.0,6.700953905276775,rbf,linear,0.1,,
7.353535353535354,460.0,6.750922050126091,rbf,linear,0.1,,
7.454545454545454,460.0,6.804095814457748,rbf,linear,0.1,,
7.555555555555555,460.0,6.860174236117886,rbf,linear,0.1,,
7.656565656565657,460.0,6.9188895930767105,rbf,linear,0.1,,
7.757575757575758,460.0,6.98000083565428,rbf,linear,0.1,,
7.858585858585858,460.0,7.043286584636652,rbf,linear,0.1,,
7.959595959595959,460.0,7.108538430553505,rbf,linear,0.1,,
8.06060606060606,460.0,7.1234713218460355,rbf,linear,0.1,,
8.161616161616163,460.0,7.1052484551075406,rbf,linear,0.1,,
8.262626262626263,460.0,7.088394997760575,rbf,linear,0.1,,
8.363636363636363,460.0,7.072713635965676,rbf,linear,0.1,,
8.464646464646464,460.0,7.058008177909069,rbf,linear,0.1,,
8.565656565656566,460.0,7.044085670509065,rbf,linear,0.1,,
8.666666666666668,460.0,7.030759094088247,rbf,linear,0.1,,
8.767676767676768,460.0,7.017850135717078,rbf,linear,0.1,,
8.868686868686869,460.0,7.0051916532292875,rbf,linear,0.1,,
8.969696969696969,460.0,6.992629587017702,rbf,linear,0.1,,
9.070707070707071,460.0,6.980024216333078,rbf,linear,0.1,,
9.171717171717171,460.0,6.96725076651643,rbf,linear,0.1,,
9.272727272727273,460.0,6.954199444814098,rbf,linear,0.1,,
9.373737373737374,460.0,6.9407750180310686,rbf,linear,0.1,,
9.474747474747474,460.0,6.926896053887104,rbf,linear,0.1,,
9.575757575757574,460.0,6.9124939393393365,rbf,linear,0.1,,
9.676767676767676,460.0,6.897511771669012,rbf,linear,0.1,,
9.777777777777779,460.0,6.881903197756193,rbf,linear,0.1,,
9.878787878787879,460.0,6.865631257331105,rbf,linear,0.1,,
9.97979797979798,460.0,6.848667268947033,rbf,linear,0.1,,
10.080808080808081,460.0,6.830989783624459,rbf,linear,0.1,,
10.181818181818182,460.0,6.812583620527184,rbf,linear,0.1,,
10.282828282828282,460.0,6.793438991262251,rbf,linear,0.1,,
