Time,Temperature,A32,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,10.3167696619694,rbf,linear,1.0,,
2.101010101010101,460.0,10.153146850256391,rbf,linear,1.0,,
2.202020202020202,460.0,9.990987889371544,rbf,linear,1.0,,
2.303030303030303,460.0,9.830371479607344,rbf,linear,1.0,,
2.404040404040404,460.0,9.671379742794091,rbf,linear,1.0,,
2.505050505050505,460.0,9.51409820458954,rbf,linear,1.0,,
2.606060606060606,460.0,9.35861574402544,rbf,linear,1.0,,
2.707070707070707,460.0,9.20502450140091,rbf,linear,1.0,,
2.808080808080808,460.0,9.053419732492246,rbf,linear,1.0,,
2.909090909090909,460.0,8.903899593316133,rbf,linear,1.0,,
3.0101010101010104,460.0,8.756564835763372,rbf,linear,1.0,,
3.111111111111111,460.0,8.611518391222537,rbf,linear,1.0,,
3.212121212121212,460.0,8.468864818410761,rbf,linear,1.0,,
3.313131313131313,460.0,8.32870959531787,rbf,linear,1.0,,
3.4141414141414144,460.0,8.191158246267827,rbf,linear,1.0,,
3.515151515151515,460.0,8.056315316260896,rbf,linear,1.0,,
3.616161616161616,460.0,7.92428323718445,rbf,linear,1.0,,
3.717171717171717,460.0,7.795161172194734,rbf,linear,1.0,,
3.8181818181818183,460.0,7.66904396890844,rbf,linear,1.0,,
3.919191919191919,460.0,7.546021387503997,rbf,linear,1.0,,
4.020202020202021,460.0,7.426177782467411,rbf,linear,1.0,,
4.121212121212121,460.0,7.3095923951020625,rbf,linear,1.0,,
4.222222222222222,460.0,7.196340354939589,rbf,linear,1.0,,
4.3232323232323235,460.0,7.086494400288542,rbf,linear,1.0,,
4.424242424242424,460.0,6.980127229334807,rbf,linear,1.0,,
4.525252525252525,460.0,6.877314303946018,rbf,linear,1.0,,
4.626262626262626,460.0,6.778136863178597,rbf,linear,1.0,,
4.727272727272727,460.0,6.68268486601039,rbf,linear,1.0,,
4.828282828282829,460.0,6.591059566444635,rbf,linear,1.0,,
4.929292929292929,460.0,6.503375417708975,rbf,linear,1.0,,
5.03030303030303,460.0,6.419760997157515,rbf,linear,1.0,,
5.1313131313131315,460.0,6.340358639058319,rbf,linear,1.0,,
5.232323232323232,460.0,6.265322468709759,rbf,linear,1.0,,
5.333333333333334,460.0,6.1948145682765325,rbf,linear,1.0,,
5.434343434343434,460.0,6.128999098386264,rbf,linear,1.0,,
5.5353535353535355,460.0,6.068034373974234,rbf,linear,1.0,,
5.636363636363637,460.0,6.012063158121495,rbf,linear,1.0,,
5.737373737373737,460.0,5.96120177523987,rbf,linear,1.0,,
5.838383838383838,460.0,5.915528997319322,rbf,linear,1.0,,
5.9393939393939394,460.0,5.875075929861946,rbf,linear,1.0,,
6.040404040404041,460.0,5.848367629389738,rbf,linear,1.0,,
6.141414141414141,460.0,5.83959462155916,rbf,linear,1.0,,
6.242424242424242,460.0,5.8357885583027995,rbf,linear,1.0,,
6.343434343434343,460.0,5.836749179177855,rbf,linear,1.0,,
6.444444444444445,460.0,5.8422278197988335,rbf,linear,1.0,,
6.545454545454545,460.0,5.851937633566793,rbf,linear,1.0,,
6.646464646464646,460.0,5.865565108135957,rbf,linear,1.0,,
6.747474747474747,460.0,5.88278162518209,rbf,linear,1.0,,
6.848484848484849,460.0,5.903254057023129,rbf,linear,1.0,,
6.94949494949495,460.0,5.926653739815818,rbf,linear,1.0,,
7.05050505050505,460.0,5.952663510677259,rbf,linear,1.0,,
7.151515151515151,460.0,5.980982778803609,rbf,linear,1.0,,
7.252525252525253,460.0,6.011330791724987,rbf,linear,1.0,,
7.353535353535354,460.0,6.043448361259101,rbf,linear,1.0,,
7.454545454545454,460.0,6.0770983502331175,rbf,linear,1.0,,
7.555555555555555,460.0,6.112065215738455,rbf,linear,1.0,,
7.656565656565657,460.0,6.148153879131621,rbf,linear,1.0,,
7.757575757575758,460.0,6.185188161532117,rbf,linear,1.0,,
7.858585858585858,460.0,6.223008992690594,rbf,linear,1.0,,
7.959595959595959,460.0,6.2614725709324945,rbf,linear,1.0,,
8.06060606060606,460.0,6.298756050623949,rbf,linear,1.0,,
8.161616161616163,460.0,6.335305326670002,rbf,linear,1.0,,
8.262626262626263,460.0,6.37214118791338,rbf,linear,1.0,,
8.363636363636363,460.0,6.4091657494317795,rbf,linear,1.0,,
8.464646464646464,460.0,6.44629008532569,rbf,linear,1.0,,
8.565656565656566,460.0,6.483433681150323,rbf,linear,1.0,,
8.666666666666668,460.0,6.520524017888823,rbf,linear,1.0,,
8.767676767676768,460.0,6.557496222893326,rbf,linear,1.0,,
8.868686868686869,460.0,6.594292736325807,rbf,linear,1.0,,
8.969696969696969,460.0,6.630862959462147,rbf,linear,1.0,,
9.070707070707071,460.0,6.667162868660073,rbf,linear,1.0,,
9.171717171717171,460.0,6.7031545926454905,rbf,linear,1.0,,
9.272727272727273,460.0,6.738805959879947,rbf,linear,1.0,,
9.373737373737374,460.0,6.774090027440045,rbf,linear,1.0,,
9.474747474747474,460.0,6.808984604115276,rbf,linear,1.0,,
9.575757575757574,460.0,6.84347177952433,rbf,linear,1.0,,
9.676767676767676,460.0,6.877537469003134,rbf,linear,1.0,,
9.777777777777779,460.0,6.911170981578804,rbf,linear,1.0,,
9.878787878787879,460.0,6.944364615975769,rbf,linear,1.0,,
9.97979797979798,460.0,6.97711328754239,rbf,linear,1.0,,
10.080808080808081,460.0,7.0094141873275015,rbf,linear,1.0,,
10.181818181818182,460.0,7.041266473276769,rbf,linear,1.0,,
10.282828282828282,460.0,7.072670992614125,rbf,linear,1.0,,
