Time,Temperature,delta_R,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,0.2645806573224252,rbf,cubic,0.0,,
2.101010101010101,460.0,0.2683206742559373,rbf,cubic,0.0,,
2.202020202020202,460.0,0.27161522016672357,rbf,cubic,0.0,,
2.303030303030303,460.0,0.27447573515761,rbf,cubic,0.0,,
2.404040404040404,460.0,0.2769114507363495,rbf,cubic,0.0,,
2.505050505050505,460.0,0.2789291944915453,rbf,cubic,0.0,,
2.606060606060606,460.0,0.28053323086434584,rbf,cubic,0.0,,
2.707070707070707,460.0,0.2817251546520947,rbf,cubic,0.0,,
2.808080808080808,460.0,0.282503856302509,rbf,cubic,0.0,,
2.909090909090909,460.0,0.2828655799000105,rbf,cubic,0.0,,
3.0101010101010104,460.0,0.2828040954877297,rbf,cubic,0.0,,
3.111111111111111,460.0,0.28231100632555234,rbf,cubic,0.0,,
3.212121212121212,460.0,0.28137620805575714,rbf,cubic,0.0,,
3.313131313131313,460.0,0.279988509702465,rbf,cubic,0.0,,
3.4141414141414144,460.0,0.27813641532496064,rbf,cubic,0.0,,
3.515151515151515,460.0,0.2758090498333681,rbf,cubic,0.0,,
3.616161616161616,460.0,0.27299719370850584,rbf,cubic,0.0,,
3.717171717171717,460.0,0.26969437115400424,rbf,cubic,0.0,,
3.8181818181818183,460.0,0.26589791791212514,rbf,cubic,0.0,,
3.919191919191919,460.0,0.26160994291407974,rbf,cubic,0.0,,
4.020202020202021,460.0,0.2568380963442412,rbf,cubic,0.0,,
4.121212121212121,460.0,0.2515960682033029,rbf,cubic,0.0,,
4.222222222222222,460.0,0.24590376566547134,rbf,cubic,0.0,,
4.3232323232323235,460.0,0.23978715046760685,rbf,cubic,0.0,,
4.424242424242424,460.0,0.23327775252742408,rbf,cubic,0.0,,
4.525252525252525,460.0,0.22641190555169002,rbf,cubic,0.0,,
4.626262626262626,460.0,0.2192297688486414,rbf,cubic,0.0,,
4.727272727272727,460.0,0.21177420452672657,rbf,cubic,0.0,,
4.828282828282829,460.0,0.2040895719898247,rbf,cubic,0.0,,
4.929292929292929,460.0,0.19622048602032052,rbf,cubic,0.0,,
5.03030303030303,460.0,0.1882105657972261,rbf,cubic,0.0,,
5.1313131313131315,460.0,0.1801011846981464,rbf,cubic,0.0,,
5.232323232323232,460.0,0.1719302183734694,rbf,cubic,0.0,,
5.333333333333334,460.0,0.1637307836697463,rbf,cubic,0.0,,
5.434343434343434,460.0,0.1555299644516451,rbf,cubic,0.0,,
5.5353535353535355,460.0,0.1473475318220776,rbf,cubic,0.0,,
5.636363636363637,460.0,0.1391946838854196,rbf,cubic,0.0,,
5.737373737373737,460.0,0.13107285081007178,rbf,cubic,0.0,,
5.838383838383838,460.0,0.12297262999211399,rbf,cubic,0.0,,
5.9393939393939394,460.0,0.11487292838854472,rbf,cubic,0.0,,
6.040404040404041,460.0,0.10674175576229634,rbf,cubic,0.0,,
6.141414141414141,460.0,0.09858773344879866,rbf,cubic,0.0,,
6.242424242424242,460.0,0.09047613807821783,rbf,cubic,0.0,,
6.343434343434343,460.0,0.08246509451997888,rbf,cubic,0.0,,
6.444444444444445,460.0,0.0746018868086027,rbf,cubic,0.0,,
6.545454545454545,460.0,0.06692418166880396,rbf,cubic,0.0,,
6.646464646464646,460.0,0.059461479427412076,rbf,cubic,0.0,,
6.747474747474747,460.0,0.05223671451838284,rbf,cubic,0.0,,
6.848484848484849,460.0,0.045267937509028924,rbf,cubic,0.0,,
6.94949494949495,460.0,0.03857002798203395,rbf,cubic,0.0,,
7.05050505050505,460.0,0.03215640748165173,rbf,cubic,0.0,,
7.151515151515151,460.0,0.02604073933625258,rbf,cubic,0.0,,
7.252525252525253,460.0,0.02023861398804673,rbf,cubic,0.0,,
7.353535353535354,460.0,0.014769222429377659,rbf,cubic,0.0,,
7.454545454545454,460.0,0.009657015809614027,rbf,cubic,0.0,,
7.555555555555555,460.0,0.004933336960055659,rbf,cubic,0.0,,
7.656565656565657,460.0,0.0006379916316689246,rbf,cubic,0.0,,
7.757575757575758,460.0,-0.003179292736476363,rbf,cubic,0.0,,
7.858585858585858,460.0,-0.006457590054184933,rbf,cubic,0.0,,
7.959595959595959,460.0,-0.009123758752842928,rbf,cubic,0.0,,
8.06060606060606,460.0,-0.011099210520230525,rbf,cubic,0.0,,
8.161616161616163,460.0,-0.012403653733698113,rbf,cubic,0.0,,
8.262626262626263,460.0,-0.013129556372294843,rbf,cubic,0.0,,
8.363636363636363,460.0,-0.013359063510017472,rbf,cubic,0.0,,
8.464646464646464,460.0,-0.013162675228567212,rbf,cubic,0.0,,
8.565656565656566,460.0,-0.012600407131310744,rbf,cubic,0.0,,
8.666666666666668,460.0,-0.011723129964527134,rbf,cubic,0.0,,
8.767676767676768,460.0,-0.010573990438688653,rbf,cubic,0.0,,
8.868686868686869,460.0,-0.009189825425167308,rbf,cubic,0.0,,
8.969696969696969,460.0,-0.007602499637088315,rbf,cubic,0.0,,
9.070707070707071,460.0,-0.005840118012882578,rbf,cubic,0.0,,
9.171717171717171,460.0,-0.003928084467637135,rbf,cubic,0.0,,
9.272727272727273,460.0,-0.001889996008983062,rbf,cubic,0.0,,
9.373737373737374,460.0,0.0002516256440621536,rbf,cubic,0.0,,
9.474747474747474,460.0,0.0024747538952485776,rbf,cubic,0.0,,
9.575757575757574,460.0,0.004757412283327133,rbf,cubic,0.0,,
9.676767676767676,460.0,0.007077346021245483,rbf,cubic,0.0,,
9.777777777777779,460.0,0.009411791069188527,rbf,cubic,0.0,,
