Time,Temperature,HV,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,717.1383663953623,rbf,linear,0.1,,
2.101010101010101,460.0,713.1905993499465,rbf,linear,0.1,,
2.202020202020202,460.0,709.2983153680118,rbf,linear,0.1,,
2.303030303030303,460.0,705.4615401380581,rbf,linear,0.1,,
2.404040404040404,460.0,701.680360787171,rbf,linear,0.1,,
2.505050505050505,460.0,697.954940651334,rbf,linear,0.1,,
2.606060606060606,460.0,694.2855335978824,rbf,linear,0.1,,
2.707070707070707,460.0,690.6724967422283,rbf,linear,0.1,,
2.808080808080808,460.0,687.1162999490954,rbf,linear,0.1,,
2.909090909090909,460.0,683.6175299815064,rbf,linear,0.1,,
3.0101010101010104,460.0,680.1768865993616,rbf,linear,0.1,,
3.111111111111111,460.0,676.7951673979372,rbf,linear,0.1,,
3.212121212121212,460.0,673.4732378577514,rbf,linear,0.1,,
3.313131313131313,460.0,670.2119831575524,rbf,linear,0.1,,
3.4141414141414144,460.0,667.0122390347608,rbf,linear,0.1,,
3.515151515151515,460.0,663.8747006041287,rbf,linear,0.1,,
3.616161616161616,460.0,660.7998106874069,rbf,linear,0.1,,
3.717171717171717,460.0,657.7876327204333,rbf,linear,0.1,,
3.8181818181818183,460.0,654.8377171524986,rbf,linear,0.1,,
3.919191919191919,460.0,651.9489734962,rbf,linear,0.1,,
4.020202020202021,460.0,649.1195616835856,rbf,linear,0.1,,
4.121212121212121,460.0,646.3468152177458,rbf,linear,0.1,,
4.222222222222222,460.0,643.6272045728887,rbf,linear,0.1,,
4.3232323232323235,460.0,640.956343176658,rbf,linear,0.1,,
4.424242424242424,460.0,638.3290317155513,rbf,linear,0.1,,
4.525252525252525,460.0,635.7393312724273,rbf,linear,0.1,,
4.626262626262626,460.0,633.1806532712128,rbf,linear,0.1,,
4.727272727272727,460.0,630.6458547532243,rbf,linear,0.1,,
4.828282828282829,460.0,628.1273305905318,rbf,linear,0.1,,
4.929292929292929,460.0,625.6170987484124,rbf,linear,0.1,,
5.03030303030303,460.0,623.1068794490387,rbf,linear,0.1,,
5.1313131313131315,460.0,620.5881730984667,rbf,linear,0.1,,
5.232323232323232,460.0,618.0523444674694,rbf,linear,0.1,,
5.333333333333334,460.0,615.4907214503552,rbf,linear,0.1,,
5.434343434343434,460.0,612.8947154884302,rbf,linear,0.1,,
5.5353535353535355,460.0,610.2559672848961,rbf,linear,0.1,,
5.636363636363637,460.0,607.5665158558587,rbf,linear,0.1,,
5.737373737373737,460.0,604.8189818387315,rbf,linear,0.1,,
5.838383838383838,460.0,602.0067485748671,rbf,linear,0.1,,
5.9393939393939394,460.0,599.1241187020876,rbf,linear,0.1,,
6.040404040404041,460.0,597.771211784371,rbf,linear,0.1,,
6.141414141414141,460.0,598.7468174362617,rbf,linear,0.1,,
6.242424242424242,460.0,599.6411659396047,rbf,linear,0.1,,
6.343434343434343,460.0,600.4525650357102,rbf,linear,0.1,,
6.444444444444445,460.0,601.1800166269285,rbf,linear,0.1,,
6.545454545454545,460.0,601.8229694064693,rbf,linear,0.1,,
6.646464646464646,460.0,602.3810499839811,rbf,linear,0.1,,
6.747474747474747,460.0,602.8538000847012,rbf,linear,0.1,,
6.848484848484849,460.0,603.2404439098525,rbf,linear,0.1,,
6.94949494949495,460.0,603.5397044755247,rbf,linear,0.1,,
7.05050505050505,460.0,603.7496824651467,rbf,linear,0.1,,
7.151515151515151,460.0,603.8678068265821,rbf,linear,0.1,,
7.252525252525253,460.0,603.8908630756144,rbf,linear,0.1,,
7.353535353535354,460.0,603.8151023316693,rbf,linear,0.1,,
7.454545454545454,460.0,603.6364304070672,rbf,linear,0.1,,
7.555555555555555,460.0,603.3506707465017,rbf,linear,0.1,,
7.656565656565657,460.0,602.9538871692948,rbf,linear,0.1,,
7.757575757575758,460.0,602.4427427324736,rbf,linear,0.1,,
7.858585858585858,460.0,601.814861434534,rbf,linear,0.1,,
7.959595959595959,460.0,601.0691528339133,rbf,linear,0.1,,
8.06060606060606,460.0,601.4396841505104,rbf,linear,0.1,,
8.161616161616163,460.0,602.5173582987135,rbf,linear,0.1,,
