technique,property,kernel,smooth_requested,smooth_effective,grid_size,n_samples,rmse,mae,r2
rbf,Rp0.2,linear,1.0,1.0,100,56,105.32016623574982,81.2648384289498,0.8127262943834034
rbf,Rm,linear,1.0,1.0,100,56,107.25281096722587,82.1790150316478,0.770556496160454
rbf,At,linear,1.0,1.0,100,56,0.9322329950210637,0.6326131838628714,0.946514409213798
rbf,HV,linear,1.0,1.0,100,56,32.41751099443678,24.29146196952963,0.6910663223624792
rbf,E,linear,1.0,1.0,100,56,10.007282464583085,7.112619292339512,-2.4828950504938154
rbf,v,linear,1.0,1.0,100,56,0.01800176951637062,0.014121715611010829,-1.7184300086332853
rbf,Z,linear,1.0,1.0,100,56,2.9175430400265614,2.10489782212294,0.9294704634266648
rbf,A32,linear,1.0,1.0,100,56,0.9208084641478428,0.5965785700413033,0.9500319338787618
rbf,R_bar,linear,1.0,1.0,100,56,0.03575543262965262,0.026519732739343885,-0.053089754970039094
rbf,delta_R,linear,1.0,1.0,100,56,0.049367554516563085,0.0398448523285577,0.6118080321656441
