technique,property,kernel,smooth_requested,smooth_effective,grid_size,n_samples,rmse,mae,r2
rbf,Rp0.2,cubic,1.0,1.0,100,56,367.3217591204086,288.70086666556574,-1.277964979905232
rbf,Rm,cubic,1.0,1.0,100,56,288.157559684915,222.0106703721766,-0.6562215632421093
rbf,At,cubic,1.0,1.0,100,56,10.835923684821433,8.486083587093662,-6.226362317044233
rbf,HV,cubic,1.0,1.0,100,56,73.69515169793195,58.15863561088233,-0.5965545254445073
rbf,E,cubic,1.0,1.0,100,56,21.699542267845995,16.918897587290278,-15.376052324286746
rbf,v,cubic,1.0,1.0,100,56,0.025459074561130095,0.022623366519885797,-4.4371709484510955
rbf,Z,cubic,1.0,1.0,100,56,19.673100962369716,15.915443397205847,-2.206875713901537
rbf,A32,cubic,1.0,1.0,100,56,9.891501465780664,7.77396277551894,-4.766049621575326
rbf,R_bar,cubic,1.0,1.0,100,56,0.34234769383556907,0.2665648938723627,-95.54196332333818
rbf,delta_R,cubic,1.0,1.0,100,56,0.1967253686824587,0.15703830415542758,-5.1643040519121435
