technique,property,kernel,smooth_requested,smooth_effective,grid_size,n_samples,rmse,mae,r2
rbf,Rp0.2,linear,0.5,0.5,100,56,58.278414580143966,46.86755449671585,0.9426584815265223
rbf,Rm,linear,0.5,0.5,100,56,58.87558859694177,47.33256640283119,0.9308600719371193
rbf,At,linear,0.5,0.5,100,56,0.5977487537670055,0.4152749847364346,0.9780100006885891
rbf,HV,linear,0.5,0.5,100,56,17.718042246815433,13.897859091732077,0.9077136676519693
rbf,E,linear,0.5,0.5,100,56,5.401216991967008,3.9918877575791916,-0.014591739317213248
rbf,v,linear,0.5,0.5,100,56,0.010374492089514924,0.008630524245179213,0.09713784430944095
rbf,Z,linear,0.5,0.5,100,56,1.9537508095923208,1.4530728945024853,0.9683717743096444
rbf,A32,linear,0.5,0.5,100,56,0.5932363217055722,0.3914241625263989,0.9792599689116003
rbf,R_bar,linear,0.5,0.5,100,56,0.020723553948040676,0.015690202573502524,0.6462391365425433
rbf,delta_R,linear,0.5,0.5,100,56,0.038912940329921986,0.031069293803037978,0.7588143790513836
