technique,property,kernel,smooth_requested,smooth_effective,grid_size,n_samples,rmse,mae,r2
rbf,Rp0.2,thin_plate,0.5,0.5,100,56,168.09847789509035,128.28208655758175,0.5229308932201752
rbf,Rm,thin_plate,0.5,0.5,100,56,173.2516710636106,130.07622855793358,0.4012944778312133
rbf,At,thin_plate,0.5,0.5,100,56,4.332908526971969,3.6785718093248305,-0.1554386700890198
rbf,HV,thin_plate,0.5,0.5,100,56,53.32735167001305,39.73733609266207,0.1640006234125021
rbf,E,thin_plate,0.5,0.5,100,56,14.024565162560874,9.473005426879705,-5.840484778240047
rbf,v,thin_plate,0.5,0.5,100,56,0.03925058214898056,0.030664716954402687,-11.923494627355401
rbf,Z,thin_plate,0.5,0.5,100,56,12.517258078256782,10.09863297215887,-0.2982397434471502
rbf,A32,thin_plate,0.5,0.5,100,56,4.398143681798851,3.7405999728049553,-0.13996826754712188
rbf,R_bar,thin_plate,0.5,0.5,100,56,0.09093656878804639,0.07756030069479243,-5.81174591675708
rbf,delta_R,thin_plate,0.5,0.5,100,56,0.18070573644029306,0.12933532681522025,-4.201243604733433
