technique,property,kernel,smooth_requested,smooth_effective,grid_size,n_samples,rmse,mae,r2
rbf,Rp0.2,cubic,0.1,0.1,100,56,35.225018885112476,27.816247973227185,0.979051342253524
rbf,Rm,cubic,0.1,0.1,100,56,62.969863581125196,51.362538753741894,0.9209095758939723
rbf,At,cubic,0.1,0.1,100,56,1.2070289214327596,0.9265003348520469,0.9103349469734016
rbf,HV,cubic,0.1,0.1,100,56,4.990043666840821,3.966133828985282,0.9926799404704759
rbf,E,cubic,0.1,0.1,100,56,5.096945260613431,3.646337319781395,0.09650030477584481
rbf,v,cubic,0.1,0.1,100,56,0.04026438239387577,0.029889411514962272,-12.599716202814896
rbf,Z,cubic,0.1,0.1,100,56,10.481822849854058,7.972283727231224,0.08964639100940097
rbf,A32,cubic,0.1,0.1,100,56,1.1695069075229432,0.8673353070373493,0.9193954572538621
rbf,R_bar,cubic,0.1,0.1,100,56,0.01607087847738826,0.011212284201306178,0.7872544192463087
rbf,delta_R,cubic,0.1,0.1,100,56,0.18067796854146886,0.13586329109330741,-4.1996452436367
