technique,property,kernel,smooth_requested,smooth_effective,grid_size,n_samples,rmse,mae,r2
rbf,Rp0.2,thin_plate,0.1,0.1,100,56,37.649106953475176,27.55928251764214,0.9760688763709087
rbf,Rm,thin_plate,0.1,0.1,100,56,44.10824414427605,33.12305440056453,0.9611940840199061
rbf,At,thin_plate,0.1,0.1,100,56,2.225085528913259,1.4523237103652098,0.6952938108767164
rbf,HV,thin_plate,0.1,0.1,100,56,7.423202135641355,5.761493511852056,0.9838009892313756
rbf,E,thin_plate,0.1,0.1,100,56,8.365252447655813,6.027367751647444,-1.4336951402955438
rbf,v,thin_plate,0.1,0.1,100,56,0.036140614093726146,0.023534430593631674,-9.956675947887607
rbf,Z,thin_plate,0.1,0.1,100,56,8.700824383182276,5.968454933522752,0.37272599081445035
rbf,A32,thin_plate,0.1,0.1,100,56,2.286456544440711,1.5283679181836416,0.6919084127313283
rbf,R_bar,thin_plate,0.1,0.1,100,56,0.030279346797056614,0.022078920090271757,0.24477854822370448
rbf,delta_R,thin_plate,0.1,0.1,100,56,0.25640521608044775,0.1826108223043422,-9.47169604805589
