technique,property,kernel,smooth_requested,smooth_effective,grid_size,n_samples,rmse,mae,r2
rbf,Rp0.2,thin_plate,0.0,0.0,100,56,8.323243136020723e-13,5.911715561524034e-13,1.0
rbf,Rm,thin_plate,0.0,0.0,100,56,4.841155236339337e-13,3.637978807091713e-13,1.0
rbf,At,thin_plate,0.0,0.0,100,56,1.370982342521813e-14,1.0539717247108153e-14,1.0
rbf,HV,thin_plate,0.0,0.0,100,56,1.0378140918593055e-13,8.337034766251842e-14,1.0
rbf,E,thin_plate,0.0,0.0,100,56,4.2790171204903857e-14,3.410605131648481e-14,1.0
rbf,v,thin_plate,0.0,0.0,100,56,1.9068706655153886e-16,1.4432899320127036e-16,1.0
rbf,Z,thin_plate,0.0,0.0,100,56,6.230261936310139e-14,5.5185485810701114e-14,1.0
rbf,A32,thin_plate,0.0,0.0,100,56,1.4020846535822155e-14,1.0539717247108153e-14,1.0
rbf,R_bar,thin_plate,0.0,0.0,100,56,1.5700924586837752e-16,1.3322676295501878e-16,1.0
rbf,delta_R,thin_plate,0.0,0.0,100,56,9.562692782088219e-16,6.950455397574056e-16,1.0
