technique,property,kernel,smooth_requested,smooth_effective,grid_size,n_samples,rmse,mae,r2
rbf,Rp0.2,cubic,0.0,0.0,100,56,1.3451608044987588e-12,1.1065518871570626e-12,1.0
rbf,Rm,cubic,0.0,0.0,100,56,1.2286596835207361e-12,9.39811191832026e-13,1.0
rbf,At,cubic,0.0,0.0,100,56,6.966814757776201e-14,5.642893559828129e-14,1.0
rbf,HV,cubic,0.0,0.0,100,56,3.549870370078678e-13,2.0842586915629605e-13,1.0
rbf,E,cubic,0.0,0.0,100,56,2.1154612643304513e-13,1.8000415972589204e-13,1.0
rbf,v,cubic,0.0,0.0,100,56,1.024578066825886e-15,7.105427357601002e-16,1.0
rbf,Z,cubic,0.0,0.0,100,56,1.5120264828317398e-13,1.0184445879228103e-13,1.0
rbf,A32,cubic,0.0,0.0,100,56,4.357206955415248e-14,3.4579746473658206e-14,1.0
rbf,R_bar,cubic,0.0,0.0,100,56,1.5645874844552325e-15,1.1176245114559909e-15,1.0
rbf,delta_R,cubic,0.0,0.0,100,56,4.2735346215010104e-15,3.1305643350943613e-15,1.0
