technique,property,kernel,smooth_requested,smooth_effective,grid_size,n_samples,rmse,mae,r2
rbf,Rp0.2,linear,0.0,0.0,100,56,2.9353815278586935e-13,1.9705718538413446e-13,1.0
rbf,Rm,linear,0.0,0.0,100,56,1.6605025469748885e-13,1.2126596023639043e-13,1.0
rbf,At,linear,0.0,0.0,100,56,3.432247492722581e-15,2.2500519965736505e-15,1.0
rbf,HV,linear,0.0,0.0,100,56,6.226884551155832e-14,3.789561257387201e-14,1.0
rbf,E,linear,0.0,0.0,100,56,2.7457979941780647e-14,1.8947806286936004e-14,1.0
rbf,v,linear,0.0,0.0,100,56,7.166458808248763e-17,6.29126380620922e-17,1.0
rbf,Z,linear,0.0,0.0,100,56,1.4769777779544185e-14,1.3381888190148553e-14,1.0
rbf,A32,linear,0.0,0.0,100,56,4.205191072793762e-15,3.641531520770513e-15,1.0
rbf,R_bar,linear,0.0,0.0,100,56,1.2161883888976234e-16,1.0362081563168128e-16,1.0
rbf,delta_R,linear,0.0,0.0,100,56,1.69368335550883e-16,1.3158622361456994e-16,1.0
