technique,property,kernel,smooth_requested,smooth_effective,grid_size,n_samples,rmse,mae,r2
rbf,Rp0.2,linear,0.1,0.1,100,56,13.648754455162514,11.16984432031789,0.9968548615085105
rbf,Rm,linear,0.1,0.1,100,56,13.623449284034463,11.304651715716622,0.9962980328713028
rbf,At,linear,0.1,0.1,100,56,0.18656645489605386,0.13926830502253756,0.9978578248574119
rbf,HV,linear,0.1,0.1,100,56,4.07492045868463,3.275953937296788,0.995118602296436
rbf,E,linear,0.1,0.1,100,56,1.2344507574713606,0.9884866731627445,0.9470024720561472
rbf,v,linear,0.1,0.1,100,56,0.0029197769670622122,0.002483949953722205,0.9284866507323583
rbf,Z,linear,0.1,0.1,100,56,0.6448773454526942,0.4868661645042714,0.996554194752514
rbf,A32,linear,0.1,0.1,100,56,0.18572082979820362,0.13264602499198258,0.9979672912015208
rbf,R_bar,linear,0.1,0.1,100,56,0.005346651593029471,0.0041625793510740175,0.9764524849610835
rbf,delta_R,linear,0.1,0.1,100,56,0.015168379937946098,0.012091114538520818,0.9633527228253403
