technique,property,variogram_model,nugget,grid_size,n_samples,rmse,mae,r2,mean_sigma_at_samples
kriging,Rp0.2,exponential,0.0,100,56,1.470084083897996e-11,1.2126596023639044e-11,1.0,2.453463685097929e-06
kriging,Rm,exponential,0.0,100,56,1.3107061969396763e-11,1.1626373937663933e-11,1.0,2.215038013406311e-05
kriging,At,exponential,0.0,100,56,1.0471268240645899e-13,6.951476431519647e-14,1.0,1.5176808306241404e-07
kriging,HV,exponential,0.0,100,56,9.90331344240241e-12,7.874708292850604e-12,1.0,0.0
kriging,E,exponential,0.0,100,56,4.539134749844526e-12,3.2154427268930402e-12,1.0,0.0
kriging,v,exponential,0.0,100,56,8.183581363487839e-16,7.253457094217689e-16,1.0,1.315376028505726e-11
kriging,Z,exponential,0.0,100,56,2.0550946529339362e-13,1.6058265828178265e-13,1.0,6.656000777188003e-07
kriging,A32,exponential,0.0,100,56,5.734221852302387e-14,4.2454928461665984e-14,1.0,6.464496825495535e-08
kriging,R_bar,exponential,0.0,100,56,2.3811631099687444e-16,1.8503717077085943e-16,1.0,1.8886597336509034e-10
kriging,delta_R,exponential,0.0,100,56,9.549644703132622e-16,8.1348296154803985e-16,1.0,5.6942523181333133e-11
