Time,Temperature,v_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,0.006745545932403892,kriging,,,spherical,0.0
2.101010101010101,460.0,0.0066696259724278555,kriging,,,spherical,0.0
2.202020202020202,460.0,0.0065923136985908525,kriging,,,spherical,0.0
2.303030303030303,460.0,0.006513559542963217,kriging,,,spherical,0.0
2.404040404040404,460.0,0.006433310604625456,kriging,,,spherical,0.0
2.505050505050505,460.0,0.00635151032088843,kriging,,,spherical,0.0
2.606060606060606,460.0,0.006268098095572517,kriging,,,spherical,0.0
2.707070707070707,460.0,0.006183008877276481,kriging,,,spherical,0.0
2.808080808080808,460.0,0.006096172679150167,kriging,,,spherical,0.0
2.909090909090909,460.0,0.00600751402992518,kriging,,,spherical,0.0
3.0101010101010104,460.0,0.005916951343767266,kriging,,,spherical,0.0
3.111111111111111,460.0,0.0058243961937602074,kriging,,,spherical,0.0
3.212121212121212,460.0,0.005729752470351505,kriging,,,spherical,0.0
3.313131313131313,460.0,0.005632915401655163,kriging,,,spherical,0.0
3.4141414141414144,460.0,0.005533770406809445,kriging,,,spherical,0.0
3.515151515151515,460.0,0.005432191746204482,kriging,,,spherical,0.0
3.616161616161616,460.0,0.00532804092273598,kriging,,,spherical,0.0
3.717171717171717,460.0,0.005221164775479444,kriging,,,spherical,0.0
3.8181818181818183,460.0,0.005111393190130905,kriging,,,spherical,0.0
3.919191919191919,460.0,0.004998536327517718,kriging,,,spherical,0.0
4.020202020202021,460.0,0.004882381239938541,kriging,,,spherical,0.0
4.121212121212121,460.0,0.004762687701302289,kriging,,,spherical,0.0
4.222222222222222,460.0,0.004639183015320677,kriging,,,spherical,0.0
4.3232323232323235,460.0,0.004511555477559183,kriging,,,spherical,0.0
4.424242424242424,460.0,0.004379446038033636,kriging,,,spherical,0.0
4.525252525252525,460.0,0.004242437518654189,kriging,,,spherical,0.0
4.626262626262626,460.0,0.004100040446547958,kriging,,,spherical,0.0
4.727272727272727,460.0,0.003951674105604522,kriging,,,spherical,0.0
4.828282828282829,460.0,0.003796640670031035,kriging,,,spherical,0.0
4.929292929292929,460.0,0.0036340890543404684,kriging,,,spherical,0.0
5.03030303030303,460.0,0.003462962987880805,kriging,,,spherical,0.0
5.1313131313131315,460.0,0.0032819239757742587,kriging,,,spherical,0.0
5.232323232323232,460.0,0.0030892324711290923,kriging,,,spherical,0.0
5.333333333333334,460.0,0.0028825556603763913,kriging,,,spherical,0.0
5.434343434343434,460.0,0.002658637409738686,kriging,,,spherical,0.0
5.5353535353535355,460.0,0.002412685926732789,kriging,,,spherical,0.0
5.636363636363637,460.0,0.0021371121106907214,kriging,,,spherical,0.0
5.737373737373737,460.0,0.001818504168025978,kriging,,,spherical,0.0
5.838383838383838,460.0,0.00142835635409445,kriging,,,spherical,0.0
5.9393939393939394,460.0,0.0008757870687159722,kriging,,,spherical,0.0
6.040404040404041,460.0,0.0007083757133896364,kriging,,,spherical,0.0
6.141414141414141,460.0,0.001290751879647351,kriging,,,spherical,0.0
6.242424242424242,460.0,0.0016435502958570493,kriging,,,spherical,0.0
6.343434343434343,460.0,0.0018992972395624325,kriging,,,spherical,0.0
6.444444444444445,460.0,0.0020938373286081835,kriging,,,spherical,0.0
6.545454545454545,460.0,0.002243132538718514,kriging,,,spherical,0.0
6.646464646464646,460.0,0.0023557849929403915,kriging,,,spherical,0.0
6.747474747474747,460.0,0.002436869702801716,kriging,,,spherical,0.0
6.848484848484849,460.0,0.0024894642978746037,kriging,,,spherical,0.0
6.94949494949495,460.0,0.0025153506968272703,kriging,,,spherical,0.0
7.05050505050505,460.0,0.002515350700065033,kriging,,,spherical,0.0
7.151515151515151,460.0,0.002489464307291424,kriging,,,spherical,0.0
7.252525252525253,460.0,0.0024368697175236793,kriging,,,spherical,0.0
7.353535353535354,460.0,0.0023557850115635773,kriging,,,spherical,0.0
7.454545454545454,460.0,0.0022431325593923455,kriging,,,spherical,0.0
7.555555555555555,460.0,0.002093837349163257,kriging,,,spherical,0.0
7.656565656565657,460.0,0.001899297257697439,kriging,,,spherical,0.0
7.757575757575758,460.0,0.0016435503094198985,kriging,,,spherical,0.0
7.858585858585858,460.0,0.00129075188709504,kriging,,,spherical,0.0
7.959595959595959,460.0,0.0007083757147660005,kriging,,,spherical,0.0
8.06060606060606,460.0,0.0008698769758420751,kriging,,,spherical,0.0
8.161616161616163,460.0,0.0014024213505204285,kriging,,,spherical,0.0
8.262626262626263,460.0,0.0017643590060477448,kriging,,,spherical,0.0
8.363636363636363,460.0,0.002048191229997815,kriging,,,spherical,0.0
8.464646464646464,460.0,0.002283207601999902,kriging,,,spherical,0.0
8.565656565656566,460.0,0.002483283387951854,kriging,,,spherical,0.0
8.666666666666668,460.0,0.0026563052674777547,kriging,,,spherical,0.0
8.767676767676768,460.0,0.0028072620462683794,kriging,,,spherical,0.0
8.868686868686869,460.0,0.002939539188929298,kriging,,,spherical,0.0
8.969696969696969,460.0,0.003055549546066434,kriging,,,spherical,0.0
9.070707070707071,460.0,0.003157074388554303,kriging,,,spherical,0.0
9.171717171717171,460.0,0.00324546242001051,kriging,,,spherical,0.0
9.272727272727273,460.0,0.003321752838448168,kriging,,,spherical,0.0
9.373737373737374,460.0,0.0033867549152235515,kriging,,,spherical,0.0
9.474747474747474,460.0,0.00344110125348101,kriging,,,spherical,0.0
9.575757575757574,460.0,0.0034852843388807632,kriging,,,spherical,0.0
9.676767676767676,460.0,0.003519682021006951,kriging,,,spherical,0.0
9.777777777777779,460.0,0.003544575352111196,kriging,,,spherical,0.0
9.878787878787879,460.0,0.003560160915824404,kriging,,,spherical,0.0
9.97979797979798,460.0,0.0035665589829244827,kriging,,,spherical,0.0
10.080808080808081,460.0,0.003563818313881062,kriging,,,spherical,0.0
10.181818181818182,460.0,0.003551918065765754,kriging,,,spherical,0.0
10.282828282828282,460.0,0.003530766979925424,kriging,,,spherical,0.0
10.383838383838384,460.0,0.0035001997756471596,kriging,,,spherical,0.0
10.484848484848484,460.0,0.0034599704112317628,kriging,,,spherical,0.0
10.585858585858587,460.0,0.0034097415513260677,kriging,,,spherical,0.0
10.686868686868687,460.0,0.0033490691353672748,kriging,,,spherical,0.0
10.787878787878787,460.0,0.003277380277196402,kriging,,,spherical,0.0
10.88888888888889,460.0,0.0031939416671978504,kriging,,,spherical,0.0
10.98989898989899,460.0,0.003097813873825579,kriging,,,spherical,0.0
11.09090909090909,460.0,0.00298778381718521,kriging,,,spherical,0.0
11.191919191919192,460.0,0.0028622618885718078,kriging,,,spherical,0.0
11.292929292929292,460.0,0.0027191187522127114,kriging,,,spherical,0.0
11.393939393939394,460.0,0.002555412593069875,kriging,,,spherical,0.0
11.494949494949495,460.0,0.002366901139571531,kriging,,,spherical,0.0
11.595959595959595,460.0,0.0021470850560403928,kriging,,,spherical,0.0
11.696969696969697,460.0,0.0018850744071234663,kriging,,,spherical,0.0
11.797979797979798,460.0,0.0015597866663673732,kriging,,,spherical,0.0
11.8989898989899,460.0,0.0011173127973869443,kriging,,,spherical,0.0
12.0,460.0,0.0,kriging,,,spherical,0.0
2.0,461.4141414141414,0.006930458839862617,kriging,,,spherical,0.0
2.101010101010101,461.4141414141414,0.0068621788581139445,kriging,,,spherical,0.0
2.202020202020202,461.4141414141414,0.006792975288944762,kriging,,,spherical,0.0
2.303030303030303,461.4141414141414,0.0067228383321483775,kriging,,,spherical,0.0
2.404040404040404,461.4141414141414,0.006651759162407042,kriging,,,spherical,0.0
2.505050505050505,461.4141414141414,0.006579730165191256,kriging,,,spherical,0.0
