Time,Temperature,E_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,2.055050284004659,kriging,,,spherical,0.0
2.101010101010101,460.0,2.0299164274141455,kriging,,,spherical,0.0
2.202020202020202,460.0,2.0044209230094445,kriging,,,spherical,0.0
2.303030303030303,460.0,1.9785494129038548,kriging,,,spherical,0.0
2.404040404040404,460.0,1.9522865643233698,kriging,,,spherical,0.0
2.505050505050505,460.0,1.9256159735504927,kriging,,,spherical,0.0
2.606060606060606,460.0,1.898520057305956,kriging,,,spherical,0.0
2.707070707070707,460.0,1.8709799294999323,kriging,,,spherical,0.0
2.808080808080808,460.0,1.842975260864703,kriging,,,spherical,0.0
2.909090909090909,460.0,1.8144841184701002,kriging,,,spherical,0.0
3.0101010101010104,460.0,1.7854827814747283,kriging,,,spherical,0.0
3.111111111111111,460.0,1.755945528664526,kriging,,,spherical,0.0
3.212121212121212,460.0,1.7258443923048403,kriging,,,spherical,0.0
3.313131313131313,460.0,1.695148871534853,kriging,,,spherical,0.0
3.4141414141414144,460.0,1.6638255968589868,kriging,,,spherical,0.0
3.515151515151515,460.0,1.6318379351261347,kriging,,,spherical,0.0
3.616161616161616,460.0,1.5991455215513903,kriging,,,spherical,0.0
3.717171717171717,460.0,1.5657037015922401,kriging,,,spherical,0.0
3.8181818181818183,460.0,1.531462860483022,kriging,,,spherical,0.0
3.919191919191919,460.0,1.4963676114720446,kriging,,,spherical,0.0
4.020202020202021,460.0,1.4603558045403988,kriging,,,spherical,0.0
4.121212121212121,460.0,1.4233573045242336,kriging,,,spherical,0.0
4.222222222222222,460.0,1.3852924694396318,kriging,,,spherical,0.0
4.3232323232323235,460.0,1.3460702338242747,kriging,,,spherical,0.0
4.424242424242424,460.0,1.3055856639852326,kriging,,,spherical,0.0
4.525252525252525,460.0,1.2637167955098165,kriging,,,spherical,0.0
4.626262626262626,460.0,1.2203204772249336,kriging,,,spherical,0.0
4.727272727272727,460.0,1.1752268109759672,kriging,,,spherical,0.0
4.828282828282829,460.0,1.1282315595012706,kriging,,,spherical,0.0
4.929292929292929,460.0,1.0790855332660925,kriging,,,spherical,0.0
5.03030303030303,460.0,1.027479341903842,kriging,,,spherical,0.0
5.1313131313131315,460.0,0.9730207648190795,kriging,,,spherical,0.0
5.232323232323232,460.0,0.9151998375087446,kriging,,,spherical,0.0
5.333333333333334,460.0,0.8533323602407249,kriging,,,spherical,0.0
5.434343434343434,460.0,0.7864628695175,kriging,,,spherical,0.0
5.5353535353535355,460.0,0.7131845731513732,kriging,,,spherical,0.0
5.636363636363637,460.0,0.6312682408925215,kriging,,,spherical,0.0
5.737373737373737,460.0,0.5367720324427515,kriging,,,spherical,0.0
5.838383838383838,460.0,0.42131271021122385,kriging,,,spherical,0.0
5.9393939393939394,460.0,0.25814422082054395,kriging,,,spherical,0.0
6.040404040404041,460.0,0.2087043232343518,kriging,,,spherical,0.0
6.141414141414141,460.0,0.38025510805796825,kriging,,,spherical,0.0
6.242424242424242,460.0,0.48415424455248307,kriging,,,spherical,0.0
6.343434343434343,460.0,0.5594561870037645,kriging,,,spherical,0.0
6.444444444444445,460.0,0.6167262383201075,kriging,,,spherical,0.0
6.545454545454545,460.0,0.6606701878313119,kriging,,,spherical,0.0
6.646464646464646,460.0,0.6938245394211588,kriging,,,spherical,0.0
6.747474747474747,460.0,0.7176860201946496,kriging,,,spherical,0.0
6.848484848484849,460.0,0.733162419788462,kriging,,,spherical,0.0
6.94949494949495,460.0,0.7407793974878921,kriging,,,spherical,0.0
7.05050505050505,460.0,0.7407793978087599,kriging,,,spherical,0.0
7.151515151515151,460.0,0.7331624207215418,kriging,,,spherical,0.0
7.252525252525253,460.0,0.7176860216533681,kriging,,,spherical,0.0
7.353535353535354,460.0,0.6938245412662946,kriging,,,spherical,0.0
7.454545454545454,460.0,0.6606701898793669,kriging,,,spherical,0.0
7.555555555555555,460.0,0.6167262403561747,kriging,,,spherical,0.0
7.656565656565657,460.0,0.5594561888000233,kriging,,,spherical,0.0
7.757575757575758,460.0,0.48415424589556383,kriging,,,spherical,0.0
7.858585858585858,460.0,0.38025510879514723,kriging,,,spherical,0.0
7.959595959595959,460.0,0.20870432337091205,kriging,,,spherical,0.0
8.06060606060606,460.0,0.2562681106504325,kriging,,,spherical,0.0
8.161616161616163,460.0,0.41308666168354746,kriging,,,spherical,0.0
8.262626262626263,460.0,0.5196124123414123,kriging,,,spherical,0.0
8.363636363636363,460.0,0.6031105619084135,kriging,,,spherical,0.0
8.464646464646464,460.0,0.6722172888327397,kriging,,,spherical,0.0
8.565656565656566,460.0,0.7310252410184755,kriging,,,spherical,0.0
8.666666666666668,460.0,0.7818615443937625,kriging,,,spherical,0.0
8.767676767676768,460.0,0.8261988178688909,kriging,,,spherical,0.0
8.868686868686869,460.0,0.8650367912124447,kriging,,,spherical,0.0
8.969696969696969,460.0,0.8990882596729092,kriging,,,spherical,0.0
9.070707070707071,460.0,0.92887964149696,kriging,,,spherical,0.0
9.171717171717171,460.0,0.9548096658554514,kriging,,,spherical,0.0
9.272727272727273,460.0,0.9771856675694925,kriging,,,spherical,0.0
9.373737373737374,460.0,0.9962470602433412,kriging,,,spherical,0.0
9.474747474747474,460.0,1.0121810475678277,kriging,,,spherical,0.0
9.575757575757574,460.0,1.0251334070409246,kriging,,,spherical,0.0
9.676767676767676,460.0,1.0352160086417488,kriging,,,spherical,0.0
9.777777777777779,460.0,1.0425120789201137,kriging,,,spherical,0.0
9.878787878787879,460.0,1.0470798394055905,kriging,,,spherical,0.0
