Time,Temperature,Z_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,5.932789620798157,kriging,,,spherical,0.0
2.101010101010101,460.0,5.860103911456051,kriging,,,spherical,0.0
2.202020202020202,460.0,5.786377990853464,kriging,,,spherical,0.0
2.303030303030303,460.0,5.711570454849784,kriging,,,spherical,0.0
2.404040404040404,460.0,5.635637087757842,kriging,,,spherical,0.0
2.505050505050505,460.0,5.5585305853068805,kriging,,,spherical,0.0
2.606060606060606,460.0,5.480200241377317,kriging,,,spherical,0.0
2.707070707070707,460.0,5.400591592534769,kriging,,,spherical,0.0
2.808080808080808,460.0,5.319646013193016,kriging,,,spherical,0.0
2.909090909090909,460.0,5.237300252749262,kriging,,,spherical,0.0
3.0101010101010104,460.0,5.153485904183667,kriging,,,spherical,0.0
3.111111111111111,460.0,5.068128791278187,kriging,,,spherical,0.0
3.212121212121212,460.0,4.981148258679893,kriging,,,spherical,0.0
3.313131313131313,460.0,4.892456345269276,kriging,,,spherical,0.0
3.4141414141414144,460.0,4.801956816473996,kriging,,,spherical,0.0
3.515151515151515,460.0,4.709544024935987,kriging,,,spherical,0.0
3.616161616161616,460.0,4.615101560737533,kriging,,,spherical,0.0
3.717171717171717,460.0,4.5185006416187425,kriging,,,spherical,0.0
3.8181818181818183,460.0,4.419598179156504,kriging,,,spherical,0.0
3.919191919191919,460.0,4.318234437389739,kriging,,,spherical,0.0
4.020202020202021,460.0,4.214230173638472,kriging,,,spherical,0.0
4.121212121212121,460.0,4.107383114187823,kriging,,,spherical,0.0
4.222222222222222,460.0,3.9974635652252646,kriging,,,spherical,0.0
4.3232323232323235,460.0,3.8842088844724567,kriging,,,spherical,0.0
4.424242424242424,460.0,3.7673164295451174,kriging,,,spherical,0.0
4.525252525252525,460.0,3.646434436024464,kriging,,,spherical,0.0
4.626262626262626,460.0,3.5211500296346596,kriging,,,spherical,0.0
4.727272727272727,460.0,3.3909731880516327,kriging,,,spherical,0.0
4.828282828282829,460.0,3.2553148416467623,kriging,,,spherical,0.0
4.929292929292929,460.0,3.11345625993143,kriging,,,spherical,0.0
5.03030303030303,460.0,2.9645050669685205,kriging,,,spherical,0.0
5.1313131313131315,460.0,2.8073299662775444,kriging,,,spherical,0.0
5.232323232323232,460.0,2.6404600307219463,kriging,,,spherical,0.0
5.333333333333334,460.0,2.461921749592216,kriging,,,spherical,0.0
5.434343434343434,460.0,2.2689591415102486,kriging,,,spherical,0.0
5.5353535353535355,460.0,2.057514338160493,kriging,,,spherical,0.0
5.636363636363637,460.0,1.8211570725020574,kriging,,,spherical,0.0
5.737373737373737,460.0,1.548516846529368,kriging,,,spherical,0.0
5.838383838383838,460.0,1.215411281383395,kriging,,,spherical,0.0
5.9393939393939394,460.0,0.7446870685931176,kriging,,,spherical,0.0
6.040404040404041,460.0,0.6020579783916822,kriging,,,spherical,0.0
6.141414141414141,460.0,1.0969365291828654,kriging,,,spherical,0.0
6.242424242424242,460.0,1.396657138865661,kriging,,,spherical,0.0
6.343434343434343,460.0,1.6138821195642739,kriging,,,spherical,0.0
6.444444444444445,460.0,1.779089797789872,kriging,,,spherical,0.0
6.545454545454545,460.0,1.905855263109581,kriging,,,spherical,0.0
6.646464646464646,460.0,2.0014957465600234,kriging,,,spherical,0.0
6.747474747474747,460.0,2.0703289710887804,kriging,,,spherical,0.0
6.848484848484849,460.0,2.1149737113586737,kriging,,,spherical,0.0
6.94949494949495,460.0,2.1369463815047345,kriging,,,spherical,0.0
7.05050505050505,460.0,2.1369463824515704,kriging,,,spherical,0.0
7.151515151515151,460.0,2.114973714112372,kriging,,,spherical,0.0
7.252525252525253,460.0,2.070328975392967,kriging,,,spherical,0.0
7.353535353535354,460.0,2.001495752006896,kriging,,,spherical,0.0
7.454545454545454,460.0,1.9058552691557995,kriging,,,spherical,0.0
7.555555555555555,460.0,1.7790898038023946,kriging,,,spherical,0.0
7.656565656565657,460.0,1.6138821248706758,kriging,,,spherical,0.0
7.757575757575758,460.0,1.3966571428326326,kriging,,,spherical,0.0
7.858585858585858,460.0,1.096936531361472,kriging,,,spherical,0.0
7.959595959595959,460.0,0.6020579787915443,kriging,,,spherical,0.0
8.06060606060606,460.0,0.7392665582074287,kriging,,,spherical,0.0
8.161616161616163,460.0,1.1916446523089939,kriging,,,spherical,0.0
8.262626262626263,460.0,1.4989400503225538,kriging,,,spherical,0.0
8.363636363636363,460.0,1.7398062217771086,kriging,,,spherical,0.0
8.464646464646464,460.0,1.9391565438061693,kriging,,,spherical,0.0
8.565656565656566,460.0,2.1087974097720883,kriging,,,spherical,0.0
8.666666666666668,460.0,2.255442099002366,kriging,,,spherical,0.0
8.767676767676768,460.0,2.3833388338322363,kriging,,,spherical,0.0
8.868686868686869,460.0,2.495371656064113,kriging,,,spherical,0.0
8.969696969696969,460.0,2.5935968623874732,kriging,,,spherical,0.0
9.070707070707071,460.0,2.679533089631105,kriging,,,spherical,0.0
9.171717171717171,460.0,2.7543306161280774,kriging,,,spherical,0.0
9.272727272727273,460.0,2.818876063939579,kriging,,,spherical,0.0
9.373737373737374,460.0,2.8738601137220363,kriging,,,spherical,0.0
9.474747474747474,460.0,2.9198228284747763,kriging,,,spherical,0.0
9.575757575757574,460.0,2.9571847623062797,kriging,,,spherical,0.0
9.676767676767676,460.0,2.98626865026022,kriging,,,spherical,0.0
9.777777777777779,460.0,3.0073145941407904,kriging,,,spherical,0.0
9.878787878787879,460.0,3.020490558599306,kriging,,,spherical,0.0
9.97979797979798,460.0,3.0258993150263667,kriging,,,spherical,0.0
10.080808080808081,460.0,3.023582530681511,kriging,,,spherical,0.0
10.181818181818182,460.0,3.0135223923851764,kriging,,,spherical,0.0
10.282828282828282,460.0,2.995640914863079,kriging,,,spherical,0.0
10.383838383838384,460.0,2.9697968701281416,kriging,,,spherical,0.0
10.484848484848484,460.0,2.9357800498142206,kriging,,,spherical,0.0
10.585858585858587,460.0,2.8933022979430705,kriging,,,spherical,0.0
10.686868686868687,460.0,2.8419843738935957,kriging,,,spherical,0.0
10.787878787878787,460.0,2.7813371398120674,kriging,,,spherical,0.0
10.88888888888889,460.0,2.7107346661772613,kriging,,,spherical,0.0
10.98989898989899,460.0,2.629375339972431,kriging,,,spherical,0.0
11.09090909090909,460.0,2.5362244028083625,kriging,,,spherical,0.0
11.191919191919192,460.0,2.429926414913954,kriging,,,spherical,0.0
11.292929292929292,460.0,2.3086664145290063,kriging,,,spherical,0.0
11.393939393939394,460.0,2.1699379026572854,kriging,,,spherical,0.0
11.494949494949495,460.0,2.010127797420737,kriging,,,spherical,0.0
11.595959595959595,460.0,1.823702893548835,kriging,,,spherical,0.0
11.696969696969697,460.0,1.6013956189305134,kriging,,,spherical,0.0
11.797979797979798,460.0,1.3252708888844005,kriging,,,spherical,0.0
11.8989898989899,460.0,0.9494838032681528,kriging,,,spherical,0.0
12.0,460.0,1.362080667298546e-06,kriging,,,spherical,0.0
2.0,461.4141414141414,6.025993897455487,kriging,,,spherical,0.0
2.101010101010101,461.4141414141414,5.960373019553267,kriging,,,spherical,0.0
2.202020202020202,461.4141414141414,5.894119091393518,kriging,,,spherical,0.0
2.303030303030303,461.4141414141414,5.82722466247463,kriging,,,spherical,0.0
2.404040404040404,461.4141414141414,5.759683140953208,kriging,,,spherical,0.0
2.505050505050505,461.4141414141414,5.6914889974993,kriging,,,spherical,0.0
2.606060606060606,461.4141414141414,5.622638006336501,kriging,,,spherical,0.0
2.707070707070707,461.4141414141414,5.553127530164705,kriging,,,spherical,0.0
2.808080808080808,461.4141414141414,5.482956856866973,kriging,,,spherical,0.0
2.909090909090909,461.4141414141414,5.4121275973065055,kriging,,,spherical,0.0
3.0101010101010104,461.4141414141414,5.340644155152287,kriging,,,spherical,0.0
3.111111111111111,461.4141414141414,5.268514281547253,kriging,,,spherical,0.0
3.212121212121212,461.4141414141414,5.195749729551559,kriging,,,spherical,0.0
3.313131313131313,461.4141414141414,5.122367025683798,kriging,,,spherical,0.0
3.4141414141414144,461.4141414141414,5.048388378445817,kriging,,,spherical,0.0
3.515151515151515,461.4141414141414,4.973842746441504,kriging,,,spherical,0.0
3.616161616161616,461.4141414141414,4.898767091368886,kriging,,,spherical,0.0
3.717171717171717,461.4141414141414,4.8232078435324865,kriging,,,spherical,0.0
3.8181818181818183,461.4141414141414,4.747222609139187,kriging,,,spherical,0.0
3.919191919191919,461.4141414141414,4.670882148793403,kriging,,,spherical,0.0
4.020202020202021,461.4141414141414,4.594272654247334,kriging,,,spherical,0.0
4.121212121212121,461.4141414141414,4.517498344026343,kriging,,,spherical,0.0
4.222222222222222,461.4141414141414,4.440684385798774,kriging,,,spherical,0.0
4.3232323232323235,461.4141414141414,4.363980131234246,kriging,,,spherical,0.0
4.424242424242424,461.4141414141414,4.287562613513599,kriging,,,spherical,0.0
4.525252525252525,461.4141414141414,4.211640203518829,kriging,,,spherical,0.0
4.626262626262626,461.4141414141414,4.136456242259182,kriging,,,spherical,0.0
4.727272727272727,461.4141414141414,4.062292358502989,kriging,,,spherical,0.0
4.828282828282829,461.4141414141414,3.9894710382929657,kriging,,,spherical,0.0
4.929292929292929,461.4141414141414,3.918356838713771,kriging,,,spherical,0.0
5.03030303030303,461.4141414141414,3.8493554446841176,kriging,,,spherical,0.0
5.1313131313131315,461.4141414141414,3.7829095856426953,kriging,,,spherical,0.0
5.232323232323232,461.4141414141414,3.7194907158814146,kriging,,,spherical,0.0
5.333333333333334,461.4141414141414,3.6595854054705175,kriging,,,spherical,0.0
5.434343434343434,461.4141414141414,3.603675699006479,kriging,,,spherical,0.0
5.5353535353535355,461.4141414141414,3.5522133827885205,kriging,,,spherical,0.0
5.636363636363637,461.4141414141414,3.5055892024939204,kriging,,,spherical,0.0
5.737373737373737,461.4141414141414,3.4640995008468916,kriging,,,spherical,0.0
5.838383838383838,461.4141414141414,3.427914206812757,kriging,,,spherical,0.0
5.9393939393939394,461.4141414141414,3.3970511267029586,kriging,,,spherical,0.0
6.040404040404041,461.4141414141414,3.3713615379012776,kriging,,,spherical,0.0
6.141414141414141,461.4141414141414,3.350530847003413,kriging,,,spherical,0.0
6.242424242424242,461.4141414141414,3.334095671767276,kriging,,,spherical,0.0
6.343434343434343,461.4141414141414,3.3214757671787396,kriging,,,spherical,0.0
6.444444444444445,461.4141414141414,3.3120166387354932,kriging,,,spherical,0.0
6.545454545454545,461.4141414141414,3.305037231762222,kriging,,,spherical,0.0
6.646464646464646,461.4141414141414,3.2998770388862635,kriging,,,spherical,0.0
6.747474747474747,461.4141414141414,3.295938071731357,kriging,,,spherical,0.0
6.848484848484849,461.4141414141414,3.292718807259463,kriging,,,spherical,0.0
6.94949494949495,461.4141414141414,3.289838830974199,kriging,,,spherical,0.0
7.05050505050505,461.4141414141414,3.28705405041347,kriging,,,spherical,0.0
7.151515151515151,461.4141414141414,3.284262910874358,kriging,,,spherical,0.0
7.252525252525253,461.4141414141414,3.281504105051805,kriging,,,spherical,0.0
7.353535353535354,461.4141414141414,3.278946055853146,kriging,,,spherical,0.0
7.454545454545454,461.4141414141414,3.276868242812516,kriging,,,spherical,0.0
7.555555555555555,461.4141414141414,3.2756344992206725,kriging,,,spherical,0.0
7.656565656565657,461.4141414141414,3.275658918298717,kriging,,,spherical,0.0
7.757575757575758,461.4141414141414,3.277366018802111,kriging,,,spherical,0.0
7.858585858585858,461.4141414141414,3.2811481672012635,kriging,,,spherical,0.0
7.959595959595959,461.4141414141414,3.287324536198328,kriging,,,spherical,0.0
8.06060606060606,461.4141414141414,3.296106556555651,kriging,,,spherical,0.0
8.161616161616163,461.4141414141414,3.3075744259444764,kriging,,,spherical,0.0
8.262626262626263,461.4141414141414,3.3216676486954753,kriging,,,spherical,0.0
8.363636363636363,461.4141414141414,3.3381901488263863,kriging,,,spherical,0.0
8.464646464646464,461.4141414141414,3.3568279516123445,kriging,,,spherical,0.0
8.565656565656566,461.4141414141414,3.3771755360740796,kriging,,,spherical,0.0
8.666666666666668,461.4141414141414,3.3987661888179996,kriging,,,spherical,0.0
8.767676767676768,461.4141414141414,3.4211020453950223,kriging,,,spherical,0.0
8.868686868686869,461.4141414141414,3.4436806291788344,kriging,,,spherical,0.0
8.969696969696969,461.4141414141414,3.4660160981702153,kriging,,,spherical,0.0
9.070707070707071,461.4141414141414,3.487654679580056,kriging,,,spherical,0.0
9.171717171717171,461.4141414141414,3.5081846889747528,kriging,,,spherical,0.0
9.272727272727273,461.4141414141414,3.5272420510357696,kriging,,,spherical,0.0
9.373737373737374,461.4141414141414,3.5445124297705983,kriging,,,spherical,0.0
9.474747474747474,461.4141414141414,3.559731045994207,kriging,,,spherical,0.0
9.575757575757574,461.4141414141414,3.572681112035088,kriging,,,spherical,0.0
9.676767676767676,461.4141414141414,3.583191624108139,kriging,,,spherical,0.0
9.777777777777779,461.4141414141414,3.591135068182446,kriging,,,spherical,0.0
9.878787878787879,461.4141414141414,3.596425438209351,kriging,,,spherical,0.0
9.97979797979798,461.4141414141414,3.5990168430695424,kriging,,,spherical,0.0
10.080808080808081,461.4141414141414,3.598902888198918,kriging,,,spherical,0.0
