Time,Temperature,Rp0.2_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,0.23403295583461206,kriging,,,gaussian,0.0
2.101010101010101,460.0,0.21622171894954498,kriging,,,gaussian,0.0
2.202020202020202,460.0,0.2097964433239452,kriging,,,gaussian,0.0
2.303030303030303,460.0,0.1891312292518816,kriging,,,gaussian,0.0
2.404040404040404,460.0,0.1860135547653988,kriging,,,gaussian,0.0
2.505050505050505,460.0,0.17577075235657716,kriging,,,gaussian,0.0
2.606060606060606,460.0,0.1615378771176277,kriging,,,gaussian,0.0
2.707070707070707,460.0,0.15052721121982218,kriging,,,gaussian,0.0
2.808080808080808,460.0,0.13833093554346837,kriging,,,gaussian,0.0
2.909090909090909,460.0,0.13246927671643519,kriging,,,gaussian,0.0
3.0101010101010104,460.0,0.10967493336609278,kriging,,,gaussian,0.0
3.111111111111111,460.0,0.11719452494188566,kriging,,,gaussian,0.0
3.212121212121212,460.0,0.09919999951977572,kriging,,,gaussian,0.0
3.313131313131313,460.0,0.09785236061305126,kriging,,,gaussian,0.0
3.4141414141414144,460.0,0.08009175576742747,kriging,,,gaussian,0.0
3.515151515151515,460.0,0.08428183514419775,kriging,,,gaussian,0.0
3.616161616161616,460.0,0.06766946735282284,kriging,,,gaussian,0.0
3.717171717171717,460.0,0.05927068675009333,kriging,,,gaussian,0.0
3.8181818181818183,460.0,0.07797907737342682,kriging,,,gaussian,0.0
3.919191919191919,460.0,0.03443785708745256,kriging,,,gaussian,0.0
4.020202020202021,460.0,0.06109642893119089,kriging,,,gaussian,0.0
4.121212121212121,460.0,0.03565390601152212,kriging,,,gaussian,0.0
4.222222222222222,460.0,0.05003306472072466,kriging,,,gaussian,0.0
4.3232323232323235,460.0,0.008375632834161444,kriging,,,gaussian,0.0
4.424242424242424,460.0,0.055032910736150326,kriging,,,gaussian,0.0
4.525252525252525,460.0,0.0,kriging,,,gaussian,0.0
4.626262626262626,460.0,0.023840425295703502,kriging,,,gaussian,0.0
4.727272727272727,460.0,0.0,kriging,,,gaussian,0.0
4.828282828282829,460.0,0.0,kriging,,,gaussian,0.0
4.929292929292929,460.0,0.0,kriging,,,gaussian,0.0
5.03030303030303,460.0,0.034840984176157566,kriging,,,gaussian,0.0
5.1313131313131315,460.0,0.0,kriging,,,gaussian,0.0
5.232323232323232,460.0,0.0,kriging,,,gaussian,0.0
5.333333333333334,460.0,0.0,kriging,,,gaussian,0.0
5.434343434343434,460.0,0.0,kriging,,,gaussian,0.0
5.5353535353535355,460.0,0.0,kriging,,,gaussian,0.0
5.636363636363637,460.0,0.0,kriging,,,gaussian,0.0
5.737373737373737,460.0,0.0,kriging,,,gaussian,0.0
5.838383838383838,460.0,0.026325902279259756,kriging,,,gaussian,0.0
5.9393939393939394,460.0,0.0,kriging,,,gaussian,0.0
6.040404040404041,460.0,0.011776374258082955,kriging,,,gaussian,0.0
6.141414141414141,460.0,0.0,kriging,,,gaussian,0.0
6.242424242424242,460.0,0.0,kriging,,,gaussian,0.0
6.343434343434343,460.0,0.0,kriging,,,gaussian,0.0
6.444444444444445,460.0,0.0,kriging,,,gaussian,0.0
6.545454545454545,460.0,0.0,kriging,,,gaussian,0.0
6.646464646464646,460.0,0.0,kriging,,,gaussian,0.0
6.747474747474747,460.0,0.0,kriging,,,gaussian,0.0
6.848484848484849,460.0,0.0,kriging,,,gaussian,0.0
6.94949494949495,460.0,0.0,kriging,,,gaussian,0.0
7.05050505050505,460.0,0.05095043565571409,kriging,,,gaussian,0.0
7.151515151515151,460.0,0.0,kriging,,,gaussian,0.0
7.252525252525253,460.0,0.0,kriging,,,gaussian,0.0
7.353535353535354,460.0,0.0,kriging,,,gaussian,0.0
7.454545454545454,460.0,0.0,kriging,,,gaussian,0.0
7.555555555555555,460.0,0.0,kriging,,,gaussian,0.0
7.656565656565657,460.0,0.0,kriging,,,gaussian,0.0
7.757575757575758,460.0,0.0,kriging,,,gaussian,0.0
7.858585858585858,460.0,0.0,kriging,,,gaussian,0.0
7.959595959595959,460.0,0.024315510505075365,kriging,,,gaussian,0.0
8.06060606060606,460.0,0.0,kriging,,,gaussian,0.0
8.161616161616163,460.0,0.0,kriging,,,gaussian,0.0
8.262626262626263,460.0,0.0,kriging,,,gaussian,0.0
8.363636363636363,460.0,0.0,kriging,,,gaussian,0.0
8.464646464646464,460.0,0.025918255508361264,kriging,,,gaussian,0.0
8.565656565656566,460.0,0.025691501861376077,kriging,,,gaussian,0.0
8.666666666666668,460.0,0.0517412179370834,kriging,,,gaussian,0.0
8.767676767676768,460.0,0.0,kriging,,,gaussian,0.0
8.868686868686869,460.0,0.0,kriging,,,gaussian,0.0
8.969696969696969,460.0,0.0,kriging,,,gaussian,0.0
9.070707070707071,460.0,0.0,kriging,,,gaussian,0.0
9.171717171717171,460.0,0.0,kriging,,,gaussian,0.0
9.272727272727273,460.0,0.0,kriging,,,gaussian,0.0
9.373737373737374,460.0,0.0,kriging,,,gaussian,0.0
9.474747474747474,460.0,0.0,kriging,,,gaussian,0.0
9.575757575757574,460.0,0.0366493280169629,kriging,,,gaussian,0.0
9.676767676767676,460.0,0.0,kriging,,,gaussian,0.0
9.777777777777779,460.0,0.0,kriging,,,gaussian,0.0
9.878787878787879,460.0,0.0,kriging,,,gaussian,0.0
9.97979797979798,460.0,0.016602773229982215,kriging,,,gaussian,0.0
10.080808080808081,460.0,0.0,kriging,,,gaussian,0.0
10.181818181818182,460.0,0.0,kriging,,,gaussian,0.0
10.282828282828282,460.0,0.0,kriging,,,gaussian,0.0
