Time,Temperature,At,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,11.033745598020685,kriging,,,gaussian,0.0
2.101010101010101,460.0,10.745399702322732,kriging,,,gaussian,0.0
2.202020202020202,460.0,10.46869678375308,kriging,,,gaussian,0.0
2.303030303030303,460.0,10.20343373366958,kriging,,,gaussian,0.0
2.404040404040404,460.0,9.94941097604062,kriging,,,gaussian,0.0
2.505050505050505,460.0,9.706425089807576,kriging,,,gaussian,0.0
2.606060606060606,460.0,9.474275288607338,kriging,,,gaussian,0.0
2.707070707070707,460.0,9.252758115907188,kriging,,,gaussian,0.0
2.808080808080808,460.0,9.041670718190073,kriging,,,gaussian,0.0
2.909090909090909,460.0,8.840808598880306,kriging,,,gaussian,0.0
3.0101010101010104,460.0,8.649969491542816,kriging,,,gaussian,0.0
3.111111111111111,460.0,8.468946689321852,kriging,,,gaussian,0.0
3.212121212121212,460.0,8.297536190509065,kriging,,,gaussian,0.0
3.313131313131313,460.0,8.135532806471332,kriging,,,gaussian,0.0
3.4141414141414144,460.0,7.9827298887788904,kriging,,,gaussian,0.0
3.515151515151515,460.0,7.838921570314495,kriging,,,gaussian,0.0
3.616161616161616,460.0,7.703901612981488,kriging,,,gaussian,0.0
3.717171717171717,460.0,7.577462018312783,kriging,,,gaussian,0.0
3.8181818181818183,460.0,7.459395585690692,kriging,,,gaussian,0.0
3.919191919191919,460.0,7.349494367265397,kriging,,,gaussian,0.0
4.020202020202021,460.0,7.247549935430693,kriging,,,gaussian,0.0
4.121212121212121,460.0,7.153353881599748,kriging,,,gaussian,0.0
4.222222222222222,460.0,7.066696755194235,kriging,,,gaussian,0.0
4.3232323232323235,460.0,6.987369261642095,kriging,,,gaussian,0.0
4.424242424242424,460.0,6.915161435752129,kriging,,,gaussian,0.0
4.525252525252525,460.0,6.849863276384153,kriging,,,gaussian,0.0
4.626262626262626,460.0,6.791264412021751,kriging,,,gaussian,0.0
4.727272727272727,460.0,6.739153529959937,kriging,,,gaussian,0.0
4.828282828282829,460.0,6.693319533536328,kriging,,,gaussian,0.0
4.929292929292929,460.0,6.65355070759136,kriging,,,gaussian,0.0
5.03030303030303,460.0,6.6196360729504296,kriging,,,gaussian,0.0
5.1313131313131315,460.0,6.591362063757406,kriging,,,gaussian,0.0
5.232323232323232,460.0,6.568516453676195,kriging,,,gaussian,0.0
5.333333333333334,460.0,6.550887388571238,kriging,,,gaussian,0.0
5.434343434343434,460.0,6.538261435929522,kriging,,,gaussian,0.0
5.5353535353535355,460.0,6.5304244684030195,kriging,,,gaussian,0.0
5.636363636363637,460.0,6.527163241795792,kriging,,,gaussian,0.0
5.737373737373737,460.0,6.528263634672712,kriging,,,gaussian,0.0
5.838383838383838,460.0,6.533511740018912,kriging,,,gaussian,0.0
5.9393939393939394,460.0,6.542692657203877,kriging,,,gaussian,0.0
6.040404040404041,460.0,6.555591808508075,kriging,,,gaussian,0.0
6.141414141414141,460.0,6.57199407192944,kriging,,,gaussian,0.0
6.242424242424242,460.0,6.591684463875601,kriging,,,gaussian,0.0
6.343434343434343,460.0,6.6144474021698585,kriging,,,gaussian,0.0
6.444444444444445,460.0,6.640066757299171,kriging,,,gaussian,0.0
6.545454545454545,460.0,6.668327411503996,kriging,,,gaussian,0.0
6.646464646464646,460.0,6.699012086921965,kriging,,,gaussian,0.0
6.747474747474747,460.0,6.731905608452776,kriging,,,gaussian,0.0
6.848484848484849,460.0,6.7667899605491515,kriging,,,gaussian,0.0
6.94949494949495,460.0,6.803450039816437,kriging,,,gaussian,0.0
7.05050505050505,460.0,6.841667046935916,kriging,,,gaussian,0.0
7.151515151515151,460.0,6.881225863429929,kriging,,,gaussian,0.0
7.252525252525253,460.0,6.9219075097194676,kriging,,,gaussian,0.0
7.353535353535354,460.0,6.963495682227055,kriging,,,gaussian,0.0
7.454545454545454,460.0,7.005771278364832,kriging,,,gaussian,0.0
7.555555555555555,460.0,7.048518212803046,kriging,,,gaussian,0.0
7.656565656565657,460.0,7.091517214297236,kriging,,,gaussian,0.0
7.757575757575758,460.0,7.134551207844194,kriging,,,gaussian,0.0
7.858585858585858,460.0,7.177400725824862,kriging,,,gaussian,0.0
7.959595959595959,460.0,7.219848853911385,kriging,,,gaussian,0.0
8.06060606060606,460.0,7.261676366435654,kriging,,,gaussian,0.0
8.161616161616163,460.0,7.302664510175413,kriging,,,gaussian,0.0
8.262626262626263,460.0,7.342594628580547,kriging,,,gaussian,0.0
8.363636363636363,460.0,7.381247991002316,kriging,,,gaussian,0.0
8.464646464646464,460.0,7.418406781722156,kriging,,,gaussian,0.0
8.565656565656566,460.0,7.453850713279634,kriging,,,gaussian,0.0
8.666666666666668,460.0,7.487360845442586,kriging,,,gaussian,0.0
8.767676767676768,460.0,7.518718694816556,kriging,,,gaussian,0.0
8.868686868686869,460.0,7.547704480847145,kriging,,,gaussian,0.0
8.969696969696969,460.0,7.5740990772471335,kriging,,,gaussian,0.0
9.070707070707071,460.0,7.5976837704930364,kriging,,,gaussian,0.0
9.171717171717171,460.0,7.618238500168026,kriging,,,gaussian,0.0
9.272727272727273,460.0,7.635544482678685,kriging,,,gaussian,0.0
9.373737373737374,460.0,7.649382094884912,kriging,,,gaussian,0.0
9.474747474747474,460.0,7.659531822080251,kriging,,,gaussian,0.0
9.575757575757574,460.0,7.665774159928888,kriging,,,gaussian,0.0
9.676767676767676,460.0,7.667890104580205,kriging,,,gaussian,0.0
9.777777777777779,460.0,7.665659834880863,kriging,,,gaussian,0.0
9.878787878787879,460.0,7.658864021305324,kriging,,,gaussian,0.0
9.97979797979798,460.0,7.647283281050375,kriging,,,gaussian,0.0
10.080808080808081,460.0,7.630698450844191,kriging,,,gaussian,0.0
10.181818181818182,460.0,7.608889325216967,kriging,,,gaussian,0.0
10.282828282828282,460.0,7.581637716426767,kriging,,,gaussian,0.0
10.383838383838384,460.0,7.5487234743593685,kriging,,,gaussian,0.0
10.484848484848484,460.0,7.509927820109041,kriging,,,gaussian,0.0
10.585858585858587,460.0,7.465030974492906,kriging,,,gaussian,0.0
10.686868686868687,460.0,7.413814672408041,kriging,,,gaussian,0.0
10.787878787878787,460.0,7.356059224198099,kriging,,,gaussian,0.0
10.88888888888889,460.0,7.291545673733337,kriging,,,gaussian,0.0
10.98989898989899,460.0,7.220054600280635,kriging,,,gaussian,0.0
11.09090909090909,460.0,7.141368930218955,kriging,,,gaussian,0.0
11.191919191919192,460.0,7.055267953102712,kriging,,,gaussian,0.0
11.292929292929292,460.0,6.961534413487436,kriging,,,gaussian,0.0
11.393939393939394,460.0,6.859948804662801,kriging,,,gaussian,0.0
11.494949494949495,460.0,6.750293826663627,kriging,,,gaussian,0.0
11.595959595959595,460.0,6.632349967044207,kriging,,,gaussian,0.0
11.696969696969697,460.0,6.505900198873522,kriging,,,gaussian,0.0
11.797979797979798,460.0,6.370725955726736,kriging,,,gaussian,0.0
11.8989898989899,460.0,6.226609678460394,kriging,,,gaussian,0.0
12.0,460.0,6.073332879675886,kriging,,,gaussian,0.0
2.0,461.4141414141414,15.519958382017673,kriging,,,gaussian,0.0
2.101010101010101,461.4141414141414,15.156296623297779,kriging,,,gaussian,0.0
2.202020202020202,461.4141414141414,14.805921685992683,kriging,,,gaussian,0.0
2.303030303030303,461.4141414141414,14.468635826077662,kriging,,,gaussian,0.0
2.404040404040404,461.4141414141414,14.144239219669105,kriging,,,gaussian,0.0
2.505050505050505,461.4141414141414,13.83253162112992,kriging,,,gaussian,0.0
2.606060606060606,461.4141414141414,13.53331134741833,kriging,,,gaussian,0.0
2.707070707070707,461.4141414141414,13.246377463469205,kriging,,,gaussian,0.0
2.808080808080808,461.4141414141414,12.971528732624325,kriging,,,gaussian,0.0
2.909090909090909,461.4141414141414,12.708561435990056,kriging,,,gaussian,0.0
3.0101010101010104,461.4141414141414,12.457274803054299,kriging,,,gaussian,0.0
3.111111111111111,461.4141414141414,12.2174640587961,kriging,,,gaussian,0.0
3.212121212121212,461.4141414141414,11.988925878692152,kriging,,,gaussian,0.0
3.313131313131313,461.4141414141414,11.77145575365684,kriging,,,gaussian,0.0
3.4141414141414144,461.4141414141414,11.56484964637976,kriging,,,gaussian,0.0
3.515151515151515,461.4141414141414,11.3689019829234,kriging,,,gaussian,0.0
3.616161616161616,461.4141414141414,11.183407136615022,kriging,,,gaussian,0.0
3.717171717171717,461.4141414141414,11.008158651608937,kriging,,,gaussian,0.0
3.8181818181818183,461.4141414141414,10.842951237282222,kriging,,,gaussian,0.0
3.919191919191919,461.4141414141414,10.687576534083199,kriging,,,gaussian,0.0
4.020202020202021,461.4141414141414,10.541828345822385,kriging,,,gaussian,0.0
4.121212121212121,461.4141414141414,10.405498651705527,kriging,,,gaussian,0.0
4.222222222222222,461.4141414141414,10.278378672399134,kriging,,,gaussian,0.0
4.3232323232323235,461.4141414141414,10.160260434556214,kriging,,,gaussian,0.0
4.424242424242424,461.4141414141414,10.05093492011085,kriging,,,gaussian,0.0
4.525252525252525,461.4141414141414,9.95019324626725,kriging,,,gaussian,0.0
4.626262626262626,461.4141414141414,9.85782431913431,kriging,,,gaussian,0.0
4.727272727272727,461.4141414141414,9.773618904910201,kriging,,,gaussian,0.0
4.828282828282829,461.4141414141414,9.697367209841033,kriging,,,gaussian,0.0
4.929292929292929,461.4141414141414,9.6288570515642,kriging,,,gaussian,0.0
5.03030303030303,461.4141414141414,9.567877204801789,kriging,,,gaussian,0.0
5.1313131313131315,461.4141414141414,9.51421771327116,kriging,,,gaussian,0.0
5.232323232323232,461.4141414141414,9.467665479246628,kriging,,,gaussian,0.0
5.333333333333334,461.4141414141414,9.428008278524393,kriging,,,gaussian,0.0
5.434343434343434,461.4141414141414,9.395034095375603,kriging,,,gaussian,0.0
5.5353535353535355,461.4141414141414,9.368529054465343,kriging,,,gaussian,0.0
5.636363636363637,461.4141414141414,9.348280755820241,kriging,,,gaussian,0.0
5.737373737373737,461.4141414141414,9.33407557499262,kriging,,,gaussian,0.0
5.838383838383838,461.4141414141414,9.325699894428563,kriging,,,gaussian,0.0
5.9393939393939394,461.4141414141414,9.322938907516658,kriging,,,gaussian,0.0
6.040404040404041,461.4141414141414,9.32557886584667,kriging,,,gaussian,0.0
6.141414141414141,461.4141414141414,9.33340458271146,kriging,,,gaussian,0.0
6.242424242424242,461.4141414141414,9.346201490980286,kriging,,,gaussian,0.0
6.343434343434343,461.4141414141414,9.36375409012336,kriging,,,gaussian,0.0
6.444444444444445,461.4141414141414,9.385846902425095,kriging,,,gaussian,0.0
6.545454545454545,461.4141414141414,9.412264454599129,kriging,,,gaussian,0.0
6.646464646464646,461.4141414141414,9.442790291728102,kriging,,,gaussian,0.0
6.747474747474747,461.4141414141414,9.477208483627905,kriging,,,gaussian,0.0
6.848484848484849,461.4141414141414,9.515302442810516,kriging,,,gaussian,0.0
6.94949494949495,461.4141414141414,9.55685626700007,kriging,,,gaussian,0.0
7.05050505050505,461.4141414141414,9.601651227004965,kriging,,,gaussian,0.0
7.151515151515151,461.4141414141414,9.649472066858266,kriging,,,gaussian,0.0
7.252525252525253,461.4141414141414,9.700099944201392,kriging,,,gaussian,0.0
7.353535353535354,461.4141414141414,9.753318176726761,kriging,,,gaussian,0.0
7.454545454545454,461.4141414141414,9.808908874809827,kriging,,,gaussian,0.0
7.555555555555555,461.4141414141414,9.866654380373689,kriging,,,gaussian,0.0
7.656565656565657,461.4141414141414,9.926335837121439,kriging,,,gaussian,0.0
7.757575757575758,461.4141414141414,9.987735498330395,kriging,,,gaussian,0.0
7.858585858585858,461.4141414141414,10.050634431154355,kriging,,,gaussian,0.0
