Time,Temperature,At_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,2.0776529417875276,kriging,,,spherical,0.0
2.101010101010101,460.0,2.0521985286879487,kriging,,,spherical,0.0
2.202020202020202,460.0,2.026379835355278,kriging,,,spherical,0.0
2.303030303030303,460.0,2.0001823621294013,kriging,,,spherical,0.0
2.404040404040404,460.0,1.973590624750807,kriging,,,spherical,0.0
2.505050505050505,460.0,1.9465880573435723,kriging,,,spherical,0.0
2.606060606060606,460.0,1.9191569027101125,kriging,,,spherical,0.0
2.707070707070707,460.0,1.8912780878471345,kriging,,,spherical,0.0
2.808080808080808,460.0,1.8629310821729925,kriging,,,spherical,0.0
2.909090909090909,460.0,1.8340937354331561,kriging,,,spherical,0.0
3.0101010101010104,460.0,1.8047420916042094,kriging,,,spherical,0.0
3.111111111111111,460.0,1.7748501742995242,kriging,,,spherical,0.0
3.212121212121212,460.0,1.7443897381504336,kriging,,,spherical,0.0
3.313131313131313,460.0,1.7133299793204793,kriging,,,spherical,0.0
3.4141414141414144,460.0,1.6816371966247499,kriging,,,spherical,0.0
3.515151515151515,460.0,1.6492743925359072,kriging,,,spherical,0.0
3.616161616161616,460.0,1.6162008004969768,kriging,,,spherical,0.0
3.717171717171717,460.0,1.582371321177066,kriging,,,spherical,0.0
3.8181818181818183,460.0,1.5477358452511263,kriging,,,spherical,0.0
3.919191919191919,460.0,1.5122384334544847,kriging,,,spherical,0.0
4.020202020202021,460.0,1.475816315302181,kriging,,,spherical,0.0
4.121212121212121,460.0,1.4383986548797083,kriging,,,spherical,0.0
4.222222222222222,460.0,1.3999050138004303,kriging,,,spherical,0.0
4.3232323232323235,460.0,1.3602434151803564,kriging,,,spherical,0.0
4.424242424242424,460.0,1.3193078741656785,kriging,,,spherical,0.0
4.525252525252525,460.0,1.2769752034493278,kriging,,,spherical,0.0
4.626262626262626,460.0,1.2331008151542753,kriging,,,spherical,0.0
4.727272727272727,460.0,1.1875131042871871,kriging,,,spherical,0.0
4.828282828282829,460.0,1.1400057796558156,kriging,,,spherical,0.0
4.929292929292929,460.0,1.0903271430518104,kriging,,,spherical,0.0
5.03030303030303,460.0,1.038164685924343,kriging,,,spherical,0.0
5.1313131313131315,460.0,0.9831222301490719,kriging,,,spherical,0.0
5.232323232323232,460.0,0.924684659518175,kriging,,,spherical,0.0
5.333333333333334,460.0,0.8621608539021517,kriging,,,spherical,0.0
5.434343434343434,460.0,0.7945856732602684,kriging,,,spherical,0.0
5.5353535353535355,460.0,0.7205380589360783,kriging,,,spherical,0.0
5.636363636363637,460.0,0.6377661422336556,kriging,,,spherical,0.0
5.737373737373737,460.0,0.5422879938841093,kriging,,,spherical,0.0
5.838383838383838,460.0,0.425634985503827,kriging,,,spherical,0.0
5.9393939393939394,460.0,0.2607881582960777,kriging,,,spherical,0.0
6.040404040404041,460.0,0.21083969091762206,kriging,,,spherical,0.0
6.141414141414141,460.0,0.38414532664708856,kriging,,,spherical,0.0
6.242424242424242,460.0,0.48910697980214307,kriging,,,spherical,0.0
6.343434343434343,460.0,0.5651788025073493,kriging,,,spherical,0.0
6.444444444444445,460.0,0.6230342534182384,kriging,,,spherical,0.0
6.545454545454545,460.0,0.6674273060583189,kriging,,,spherical,0.0
6.646464646464646,460.0,0.7009204424235823,kriging,,,spherical,0.0
6.747474747474747,460.0,0.7250257218238266,kriging,,,spherical,0.0
6.848484848484849,460.0,0.7406602347404423,kriging,,,spherical,0.0
6.94949494949495,460.0,0.7483550268510206,kriging,,,spherical,0.0
7.05050505050505,460.0,0.7483550271828877,kriging,,,spherical,0.0
7.151515151515151,460.0,0.7406602357046815,kriging,,,spherical,0.0
7.252525252525253,460.0,0.7250257233314159,kriging,,,spherical,0.0
7.353535353535354,460.0,0.7009204443306594,kriging,,,spherical,0.0
7.454545454545454,460.0,0.6674273081756293,kriging,,,spherical,0.0
7.555555555555555,460.0,0.6230342555237827,kriging,,,spherical,0.0
7.656565656565657,460.0,0.5651788043654801,kriging,,,spherical,0.0
7.757575757575758,460.0,0.48910698119162216,kriging,,,spherical,0.0
7.858585858585858,460.0,0.38414532740966145,kriging,,,spherical,0.0
7.959595959595959,460.0,0.21083969105876688,kriging,,,spherical,0.0
8.06060606060606,460.0,0.2588899046814527,kriging,,,spherical,0.0
8.161616161616163,460.0,0.4173119519954316,kriging,,,spherical,0.0
8.262626262626263,460.0,0.5249262832775619,kriging,,,spherical,0.0
8.363636363636363,460.0,0.6092772112031472,kriging,,,spherical,0.0
8.464646464646464,460.0,0.6790893585203646,kriging,,,spherical,0.0
8.565656565656566,460.0,0.738497304318031,kriging,,,spherical,0.0
8.666666666666668,460.0,0.7898520277198943,kriging,,,spherical,0.0
8.767676767676768,460.0,0.8346412490387828,kriging,,,spherical,0.0
8.868686868686869,460.0,0.8738749548608493,kriging,,,spherical,0.0
8.969696969696969,460.0,0.9082732568266642,kriging,,,spherical,0.0
9.070707070707071,460.0,0.938367978997906,kriging,,,spherical,0.0
9.171717171717171,460.0,0.9645619469114283,kriging,,,spherical,0.0
9.272727272727273,460.0,0.9871656541211005,kriging,,,spherical,0.0
9.373737373737374,460.0,1.0064209758301426,kriging,,,spherical,0.0
9.474747474747474,460.0,1.0225170411929265,kriging,,,spherical,0.0
9.575757575757574,460.0,1.03560112754984,kriging,,,spherical,0.0
9.676767676767676,460.0,1.0457862561701534,kriging,,,spherical,0.0
9.777777777777779,460.0,1.0531565103020852,kriging,,,spherical,0.0
9.878787878787879,460.0,1.0577707108835148,kriging,,,spherical,0.0
