Time,Temperature,v_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,1.8985154013426573e-05,kriging,,,gaussian,0.0
2.101010101010101,460.0,1.801873355914664e-05,kriging,,,gaussian,0.0
2.202020202020202,460.0,1.7082753026808887e-05,kriging,,,gaussian,0.0
2.303030303030303,460.0,1.6177272834847635e-05,kriging,,,gaussian,0.0
2.404040404040404,460.0,1.5301792633855986e-05,kriging,,,gaussian,0.0
2.505050505050505,460.0,1.445595970314889e-05,kriging,,,gaussian,0.0
2.606060606060606,460.0,1.363905308043127e-05,kriging,,,gaussian,0.0
2.707070707070707,460.0,1.285102140609669e-05,kriging,,,gaussian,0.0
2.808080808080808,460.0,1.2090928629096374e-05,kriging,,,gaussian,0.0
2.909090909090909,460.0,1.1358380649073771e-05,kriging,,,gaussian,0.0
3.0101010101010104,460.0,1.065330583315502e-05,kriging,,,gaussian,0.0
3.111111111111111,460.0,9.975878355547091e-06,kriging,,,gaussian,0.0
3.212121212121212,460.0,9.323933881476073e-06,kriging,,,gaussian,0.0
3.313131313131313,460.0,8.698980546020356e-06,kriging,,,gaussian,0.0
3.4141414141414144,460.0,8.09930361422569e-06,kriging,,,gaussian,0.0
3.515151515151515,460.0,7.524527509237913e-06,kriging,,,gaussian,0.0
3.616161616161616,460.0,6.974247602006045e-06,kriging,,,gaussian,0.0
3.717171717171717,460.0,6.44818309189082e-06,kriging,,,gaussian,0.0
3.8181818181818183,460.0,5.946782131952191e-06,kriging,,,gaussian,0.0
3.919191919191919,460.0,5.467398818290746e-06,kriging,,,gaussian,0.0
4.020202020202021,460.0,5.01181523566406e-06,kriging,,,gaussian,0.0
4.121212121212121,460.0,4.577509899019566e-06,kriging,,,gaussian,0.0
4.222222222222222,460.0,4.166012693810194e-06,kriging,,,gaussian,0.0
4.3232323232323235,460.0,3.775935070747612e-06,kriging,,,gaussian,0.0
4.424242424242424,460.0,3.4064343901051063e-06,kriging,,,gaussian,0.0
4.525252525252525,460.0,3.0571723691101183e-06,kriging,,,gaussian,0.0
4.626262626262626,460.0,2.7260392478731978e-06,kriging,,,gaussian,0.0
4.727272727272727,460.0,2.4193501189262045e-06,kriging,,,gaussian,0.0
4.828282828282829,460.0,2.1276729660359197e-06,kriging,,,gaussian,0.0
4.929292929292929,460.0,1.8566716508014156e-06,kriging,,,gaussian,0.0
5.03030303030303,460.0,1.6043258037930722e-06,kriging,,,gaussian,0.0
5.1313131313131315,460.0,1.3667460737197755e-06,kriging,,,gaussian,0.0
5.232323232323232,460.0,1.1449048130782242e-06,kriging,,,gaussian,0.0
5.333333333333334,460.0,9.527854290547897e-07,kriging,,,gaussian,0.0
5.434343434343434,460.0,7.604090259838305e-07,kriging,,,gaussian,0.0
5.5353535353535355,460.0,5.962107004933962e-07,kriging,,,gaussian,0.0
5.636363636363637,460.0,4.3902943791317167e-07,kriging,,,gaussian,0.0
5.737373737373737,460.0,2.9227249155922824e-07,kriging,,,gaussian,0.0
5.838383838383838,460.0,1.5437104256896346e-07,kriging,,,gaussian,0.0
5.9393939393939394,460.0,1.1243647885804447e-07,kriging,,,gaussian,0.0
6.040404040404041,460.0,0.0,kriging,,,gaussian,0.0
6.141414141414141,460.0,6.220690101669868e-08,kriging,,,gaussian,0.0
6.242424242424242,460.0,1.8133935805557916e-07,kriging,,,gaussian,0.0
6.343434343434343,460.0,2.5059656244832946e-07,kriging,,,gaussian,0.0
6.444444444444445,460.0,3.0449336100845965e-07,kriging,,,gaussian,0.0
6.545454545454545,460.0,3.464926455223546e-07,kriging,,,gaussian,0.0
6.646464646464646,460.0,3.66709704254477e-07,kriging,,,gaussian,0.0
6.747474747474747,460.0,3.836280762066113e-07,kriging,,,gaussian,0.0
6.848484848484849,460.0,4.112196455280002e-07,kriging,,,gaussian,0.0
6.94949494949495,460.0,3.972862426497608e-07,kriging,,,gaussian,0.0
7.05050505050505,460.0,3.988967156654201e-07,kriging,,,gaussian,0.0
7.151515151515151,460.0,3.705130532271632e-07,kriging,,,gaussian,0.0
7.252525252525253,460.0,3.5717956847584066e-07,kriging,,,gaussian,0.0
7.353535353535354,460.0,3.051368044517959e-07,kriging,,,gaussian,0.0
7.454545454545454,460.0,2.7098291029074753e-07,kriging,,,gaussian,0.0
7.555555555555555,460.0,2.498929515336711e-07,kriging,,,gaussian,0.0
7.656565656565657,460.0,2.1146908785443059e-07,kriging,,,gaussian,0.0
7.757575757575758,460.0,1.7187102040375867e-07,kriging,,,gaussian,0.0
7.858585858585858,460.0,7.803628823058066e-08,kriging,,,gaussian,0.0
7.959595959595959,460.0,0.0,kriging,,,gaussian,0.0
8.06060606060606,460.0,2.9288795109370075e-08,kriging,,,gaussian,0.0
8.161616161616163,460.0,1.331117247307876e-07,kriging,,,gaussian,0.0
8.262626262626263,460.0,1.578939133362961e-07,kriging,,,gaussian,0.0
8.363636363636363,460.0,2.7596164317106796e-07,kriging,,,gaussian,0.0
8.464646464646464,460.0,3.2109329855404465e-07,kriging,,,gaussian,0.0
8.565656565656566,460.0,3.932310492813977e-07,kriging,,,gaussian,0.0
8.666666666666668,460.0,4.777656508424665e-07,kriging,,,gaussian,0.0
8.767676767676768,460.0,5.508155031744942e-07,kriging,,,gaussian,0.0
8.868686868686869,460.0,6.231398214353921e-07,kriging,,,gaussian,0.0
8.969696969696969,460.0,7.005471904209931e-07,kriging,,,gaussian,0.0
9.070707070707071,460.0,7.707168162702903e-07,kriging,,,gaussian,0.0
9.171717171717171,460.0,8.399721465156302e-07,kriging,,,gaussian,0.0
9.272727272727273,460.0,9.128529092112875e-07,kriging,,,gaussian,0.0
9.373737373737374,460.0,9.754190539343214e-07,kriging,,,gaussian,0.0
9.474747474747474,460.0,1.0375722170004033e-06,kriging,,,gaussian,0.0
9.575757575757574,460.0,1.0946413073925325e-06,kriging,,,gaussian,0.0
9.676767676767676,460.0,1.1489573142984469e-06,kriging,,,gaussian,0.0
9.777777777777779,460.0,1.1974163891621653e-06,kriging,,,gaussian,0.0
9.878787878787879,460.0,1.2357877424633021e-06,kriging,,,gaussian,0.0
9.97979797979798,460.0,1.2776175257335362e-06,kriging,,,gaussian,0.0
10.080808080808081,460.0,1.3047519654057213e-06,kriging,,,gaussian,0.0
10.181818181818182,460.0,1.3298847977896615e-06,kriging,,,gaussian,0.0
10.282828282828282,460.0,1.346698479230911e-06,kriging,,,gaussian,0.0
10.383838383838384,460.0,1.3575576003197347e-06,kriging,,,gaussian,0.0
10.484848484848484,460.0,1.355013754978641e-06,kriging,,,gaussian,0.0
10.585858585858587,460.0,1.3469510629680982e-06,kriging,,,gaussian,0.0
10.686868686868687,460.0,1.3278970131505382e-06,kriging,,,gaussian,0.0
10.787878787878787,460.0,1.30252243463855e-06,kriging,,,gaussian,0.0
10.88888888888889,460.0,1.256385538864293e-06,kriging,,,gaussian,0.0
10.98989898989899,460.0,1.2099170278218582e-06,kriging,,,gaussian,0.0
11.09090909090909,460.0,1.1468077824475767e-06,kriging,,,gaussian,0.0
11.191919191919192,460.0,1.0668827782604676e-06,kriging,,,gaussian,0.0
