Time,Temperature,A32_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,2.1837962682594885,kriging,,,exponential,0.0
2.101010101010101,460.0,2.1584838284284555,kriging,,,exponential,0.0
2.202020202020202,460.0,2.1327540257708204,kriging,,,exponential,0.0
2.303030303030303,460.0,2.106590747141197,kriging,,,exponential,0.0
2.404040404040404,460.0,2.0799767990150655,kriging,,,exponential,0.0
2.505050505050505,460.0,2.052893801572682,kriging,,,exponential,0.0
2.606060606060606,460.0,2.025322068969212,kriging,,,exponential,0.0
2.707070707070707,460.0,1.997240473518051,kriging,,,exponential,0.0
2.808080808080808,460.0,1.9686262910586825,kriging,,,exponential,0.0
2.909090909090909,460.0,1.939455024215229,kriging,,,exponential,0.0
3.0101010101010104,460.0,1.9097001995470992,kriging,,,exponential,0.0
3.111111111111111,460.0,1.8793331337084063,kriging,,,exponential,0.0
3.212121212121212,460.0,1.8483226626143192,kriging,,,exponential,0.0
3.313131313131313,460.0,1.8166348261869005,kriging,,,exponential,0.0
3.4141414141414144,460.0,1.7842324994217091,kriging,,,exponential,0.0
3.515151515151515,460.0,1.7510749581441334,kriging,,,exponential,0.0
3.616161616161616,460.0,1.7171173647188935,kriging,,,exponential,0.0
3.717171717171717,460.0,1.6823101548764123,kriging,,,exponential,0.0
3.8181818181818183,460.0,1.6465983013383918,kriging,,,exponential,0.0
3.919191919191919,460.0,1.6099204225220218,kriging,,,exponential,0.0
4.020202020202021,460.0,1.572207694462423,kriging,,,exponential,0.0
4.121212121212121,460.0,1.5333825100218097,kriging,,,exponential,0.0
4.222222222222222,460.0,1.4933568096203027,kriging,,,exponential,0.0
4.3232323232323235,460.0,1.4520299792983455,kriging,,,exponential,0.0
4.424242424242424,460.0,1.4092861704294553,kriging,,,exponential,0.0
4.525252525252525,460.0,1.3649908335760887,kriging,,,exponential,0.0
4.626262626262626,460.0,1.3189861647411365,kriging,,,exponential,0.0
4.727272727272727,460.0,1.2710850148682036,kriging,,,exponential,0.0
4.828282828282829,460.0,1.2210625761136453,kriging,,,exponential,0.0
4.929292929292929,460.0,1.1686447633675414,kriging,,,exponential,0.0
5.03030303030303,460.0,1.1134915262306442,kriging,,,exponential,0.0
5.1313131313131315,460.0,1.0551720907157687,kriging,,,exponential,0.0
5.232323232323232,460.0,0.9931267722927685,kriging,,,exponential,0.0
5.333333333333334,460.0,0.9266052066171967,kriging,,,exponential,0.0
5.434343434343434,460.0,0.8545602872254405,kriging,,,exponential,0.0
5.5353535353535355,460.0,0.7754513947091524,kriging,,,exponential,0.0
5.636363636363637,460.0,0.6868389795958944,kriging,,,exponential,0.0
5.737373737373737,460.0,0.5844123973358298,kriging,,,exponential,0.0
5.838383838383838,460.0,0.45901073396375847,kriging,,,exponential,0.0
5.9393939393939394,460.0,0.2814295001505382,kriging,,,exponential,0.0
6.040404040404041,460.0,0.2276191004989352,kriging,,,exponential,0.0
6.141414141414141,460.0,0.41470990924932377,kriging,,,exponential,0.0
6.242424242424242,460.0,0.5280147761022381,kriging,,,exponential,0.0
6.343434343434343,460.0,0.6101298430339979,kriging,,,exponential,0.0
6.444444444444445,460.0,0.672579064760136,kriging,,,exponential,0.0
6.545454545454545,460.0,0.7204954453574981,kriging,,,exponential,0.0
6.646464646464646,460.0,0.756645884097118,kriging,,,exponential,0.0
6.747474747474747,460.0,0.7826631218721203,kriging,,,exponential,0.0
6.848484848484849,460.0,0.7995374749851251,kriging,,,exponential,0.0
6.94949494949495,460.0,0.8078424040753357,kriging,,,exponential,0.0
7.05050505050505,460.0,0.8078424045767411,kriging,,,exponential,0.0
7.151515151515151,460.0,0.7995374764434943,kriging,,,exponential,0.0
7.252525252525253,460.0,0.7826631241518809,kriging,,,exponential,0.0
7.353535353535354,460.0,0.7566458869808814,kriging,,,exponential,0.0
7.454545454545454,460.0,0.7204954485583918,kriging,,,exponential,0.0
7.555555555555555,460.0,0.6725790679423207,kriging,,,exponential,0.0
7.656565656565657,460.0,0.6101298458409545,kriging,,,exponential,0.0
7.757575757575758,460.0,0.5280147782011897,kriging,,,exponential,0.0
7.858585858585858,460.0,0.4147099104017626,kriging,,,exponential,0.0
7.959595959595959,460.0,0.22761910071226962,kriging,,,exponential,0.0
8.06060606060606,460.0,0.2794891349979179,kriging,,,exponential,0.0
8.161616161616163,460.0,0.45050028528202835,kriging,,,exponential,0.0
8.262626262626263,460.0,0.5666538336688006,kriging,,,exponential,0.0
8.363636363636363,460.0,0.6576889502241614,kriging,,,exponential,0.0
8.464646464646464,460.0,0.7330261477496143,kriging,,,exponential,0.0
8.565656565656566,460.0,0.7971301195608428,kriging,,,exponential,0.0
8.666666666666668,460.0,0.8525397516916647,kriging,,,exponential,0.0
8.767676767676768,460.0,0.9008618039634717,kriging,,,exponential,0.0
8.868686868686869,460.0,0.9431871664963788,kriging,,,exponential,0.0
8.969696969696969,460.0,0.9802936982059788,kriging,,,exponential,0.0
9.070707070707071,460.0,1.012755917370633,kriging,,,exponential,0.0
9.171717171717171,460.0,1.0410090215372003,kriging,,,exponential,0.0
9.272727272727273,460.0,1.0653884807965148,kriging,,,exponential,0.0
9.373737373737374,460.0,1.086155644888418,kriging,,,exponential,0.0
9.474747474747474,460.0,1.1035148832888897,kriging,,,exponential,0.0
9.575757575757574,460.0,1.1176253498896724,kriging,,,exponential,0.0
9.676767676767676,460.0,1.1286091858161102,kriging,,,exponential,0.0
9.777777777777779,460.0,1.1365572626258273,kriging,,,exponential,0.0
9.878787878787879,460.0,1.1415331519405838,kriging,,,exponential,0.0
