Time,Temperature,delta_R,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,0.0914584535561458,kriging,,,spherical,0.0
2.101010101010101,460.0,0.0925360481438185,kriging,,,spherical,0.0
2.202020202020202,460.0,0.09358101251485323,kriging,,,spherical,0.0
2.303030303030303,460.0,0.09459349748161247,kriging,,,spherical,0.0
2.404040404040404,460.0,0.09557365385645837,kriging,,,spherical,0.0
2.505050505050505,460.0,0.09652163245175359,kriging,,,spherical,0.0
2.606060606060606,460.0,0.09743758407986053,kriging,,,spherical,0.0
2.707070707070707,460.0,0.09832165955314161,kriging,,,spherical,0.0
2.808080808080808,460.0,0.09917400968395923,kriging,,,spherical,0.0
2.909090909090909,460.0,0.09999478528467586,kriging,,,spherical,0.0
3.0101010101010104,460.0,0.10078413716765403,kriging,,,spherical,0.0
3.111111111111111,460.0,0.10154221614525602,kriging,,,spherical,0.0
3.212121212121212,460.0,0.10226917302984426,kriging,,,spherical,0.0
3.313131313131313,460.0,0.10296515863378136,kriging,,,spherical,0.0
3.4141414141414144,460.0,0.10363032376942953,kriging,,,spherical,0.0
3.515151515151515,460.0,0.10426481924915143,kriging,,,spherical,0.0
3.616161616161616,460.0,0.10486879588530937,kriging,,,spherical,0.0
3.717171717171717,460.0,0.10544240449026589,kriging,,,spherical,0.0
3.8181818181818183,460.0,0.10598579587638333,kriging,,,spherical,0.0
3.919191919191919,460.0,0.10649912085602406,kriging,,,spherical,0.0
4.020202020202021,460.0,0.1069825302415506,kriging,,,spherical,0.0
4.121212121212121,460.0,0.10743617484532544,kriging,,,spherical,0.0
4.222222222222222,460.0,0.10786020547971088,kriging,,,spherical,0.0
4.3232323232323235,460.0,0.10825477295706963,kriging,,,spherical,0.0
4.424242424242424,460.0,0.10862002808976379,kriging,,,spherical,0.0
4.525252525252525,460.0,0.10895612169015598,kriging,,,spherical,0.0
4.626262626262626,460.0,0.10926320457060865,kriging,,,spherical,0.0
4.727272727272727,460.0,0.1095414275434841,kriging,,,spherical,0.0
4.828282828282829,460.0,0.10979094142114497,kriging,,,spherical,0.0
4.929292929292929,460.0,0.11001189701595351,kriging,,,spherical,0.0
5.03030303030303,460.0,0.11020444514027224,kriging,,,spherical,0.0
5.1313131313131315,460.0,0.11036817294032643,kriging,,,spherical,0.0
5.232323232323232,460.0,0.11049157440322883,kriging,,,spherical,0.0
5.333333333333334,460.0,0.11057035683175163,kriging,,,spherical,0.0
5.434343434343434,460.0,0.11060491975468967,kriging,,,spherical,0.0
5.5353535353535355,460.0,0.11059566270083789,kriging,,,spherical,0.0
5.636363636363637,460.0,0.11054298519899118,kriging,,,spherical,0.0
5.737373737373737,460.0,0.11044728677794452,kriging,,,spherical,0.0
5.838383838383838,460.0,0.11030896696649295,kriging,,,spherical,0.0
5.9393939393939394,460.0,0.11012842529343117,kriging,,,spherical,0.0
6.040404040404041,460.0,0.10766379384360453,kriging,,,spherical,0.0
6.141414141414141,460.0,0.10179534908700086,kriging,,,spherical,0.0
6.242424242424242,460.0,0.0958892499323982,kriging,,,spherical,0.0
6.343434343434343,460.0,0.08994830224946739,kriging,,,spherical,0.0
6.444444444444445,460.0,0.08397531190787938,kriging,,,spherical,0.0
6.545454545454545,460.0,0.077973084777305,kriging,,,spherical,0.0
6.646464646464646,460.0,0.07194442672741501,kriging,,,spherical,0.0
6.747474747474747,460.0,0.06589214362788044,kriging,,,spherical,0.0
6.848484848484849,460.0,0.05981904134837206,kriging,,,spherical,0.0
6.94949494949495,460.0,0.05372792575856075,kriging,,,spherical,0.0
7.05050505050505,460.0,0.047621602728117385,kriging,,,spherical,0.0
7.151515151515151,460.0,0.041502878126712855,kriging,,,spherical,0.0
7.252525252525253,460.0,0.03537455782401795,kriging,,,spherical,0.0
7.353535353535354,460.0,0.029239447689703574,kriging,,,spherical,0.0
7.454545454545454,460.0,0.02310035359344065,kriging,,,spherical,0.0
7.555555555555555,460.0,0.016960081404900004,kriging,,,spherical,0.0
7.656565656565657,460.0,0.010821436993752447,kriging,,,spherical,0.0
7.757575757575758,460.0,0.004687226229668889,kriging,,,spherical,0.0
7.858585858585858,460.0,-0.0014397450176797013,kriging,,,spherical,0.0
7.959595959595959,460.0,-0.007556670878622656,kriging,,,spherical,0.0
8.06060606060606,460.0,-0.009875810263229232,kriging,,,spherical,0.0
8.161616161616163,460.0,-0.009657591048400957,kriging,,,spherical,0.0
8.262626262626263,460.0,-0.009425241583115649,kriging,,,spherical,0.0
8.363636363636363,460.0,-0.009178663963303206,kriging,,,spherical,0.0
8.464646464646464,460.0,-0.00891776028489363,kriging,,,spherical,0.0
8.565656565656566,460.0,-0.008642432643816844,kriging,,,spherical,0.0
8.666666666666668,460.0,-0.008352583136002841,kriging,,,spherical,0.0
8.767676767676768,460.0,-0.008048113857381458,kriging,,,spherical,0.0
8.868686868686869,460.0,-0.007728926903882627,kriging,,,spherical,0.0
8.969696969696969,460.0,-0.007394924371436415,kriging,,,spherical,0.0
9.070707070707071,460.0,-0.007046008355972768,kriging,,,spherical,0.0
9.171717171717171,460.0,-0.006682080953421526,kriging,,,spherical,0.0
9.272727272727273,460.0,-0.006303044259712606,kriging,,,spherical,0.0
9.373737373737374,460.0,-0.005908800370776096,kriging,,,spherical,0.0
9.474747474747474,460.0,-0.005499251382541798,kriging,,,spherical,0.0
9.575757575757574,460.0,-0.0050742993909396635,kriging,,,spherical,0.0
9.676767676767676,460.0,-0.004633846491899737,kriging,,,spherical,0.0
9.777777777777779,460.0,-0.004177794781351881,kriging,,,spherical,0.0
