Time,Temperature,delta_R_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,0.025093457964156955,kriging,,,exponential,0.0
2.101010101010101,460.0,0.024802599037655314,kriging,,,exponential,0.0
2.202020202020202,460.0,0.024506944298994627,kriging,,,exponential,0.0
2.303030303030303,460.0,0.02420630859604066,kriging,,,exponential,0.0
2.404040404040404,460.0,0.023900494362291465,kriging,,,exponential,0.0
2.505050505050505,460.0,0.023589290399823052,kriging,,,exponential,0.0
2.606060606060606,460.0,0.023272470503502524,kriging,,,exponential,0.0
2.707070707070707,460.0,0.022949791900352717,kriging,,,exponential,0.0
2.808080808080808,460.0,0.02262099347271379,kriging,,,exponential,0.0
2.909090909090909,460.0,0.022285793727349696,kriging,,,exponential,0.0
3.0101010101010104,460.0,0.02194388846455871,kriging,,,exponential,0.0
3.111111111111111,460.0,0.02159494809116693,kriging,,,exponential,0.0
3.212121212121212,460.0,0.02123861450844967,kriging,,,exponential,0.0
3.313131313131313,460.0,0.020874497489622387,kriging,,,exponential,0.0
3.4141414141414144,460.0,0.020502170440520207,kriging,,,exponential,0.0
3.515151515151515,460.0,0.020121165409810057,kriging,,,exponential,0.0
3.616161616161616,460.0,0.019730967179410867,kriging,,,exponential,0.0
3.717171717171717,460.0,0.019331006218663523,kriging,,,exponential,0.0
3.8181818181818183,460.0,0.018920650222840067,kriging,,,exponential,0.0
3.919191919191919,460.0,0.01849919387148456,kriging,,,exponential,0.0
4.020202020202021,460.0,0.01806584632558409,kriging,,,exponential,0.0
4.121212121212121,460.0,0.017619715820879147,kriging,,,exponential,0.0
4.222222222222222,460.0,0.017159790486703557,kriging,,,exponential,0.0
4.3232323232323235,460.0,0.016684914193147844,kriging,,,exponential,0.0
4.424242424242424,460.0,0.01619375575254344,kriging,,,exponential,0.0
4.525252525252525,460.0,0.015684769090870552,kriging,,,exponential,0.0
4.626262626262626,460.0,0.015156140921763867,kriging,,,exponential,0.0
4.727272727272727,460.0,0.014605720762103383,kriging,,,exponential,0.0
4.828282828282829,460.0,0.014030925401040997,kriging,,,exponential,0.0
4.929292929292929,460.0,0.013428605394952556,kriging,,,exponential,0.0
5.03030303030303,460.0,0.012794853309535755,kriging,,,exponential,0.0
5.1313131313131315,460.0,0.012124719228369519,kriging,,,exponential,0.0
5.232323232323232,460.0,0.011411771956142746,kriging,,,exponential,0.0
5.333333333333334,460.0,0.010647389243373093,kriging,,,exponential,0.0
5.434343434343434,460.0,0.009819539050916964,kriging,,,exponential,0.0
5.5353535353535355,460.0,0.008910518505503022,kriging,,,exponential,0.0
5.636363636363637,460.0,0.007892295352766043,kriging,,,exponential,0.0
5.737373737373737,460.0,0.006715337051615582,kriging,,,exponential,0.0
5.838383838383838,460.0,0.005274377825170874,kriging,,,exponential,0.0
5.9393939393939394,460.0,0.0032338361726577773,kriging,,,exponential,0.0
6.040404040404041,460.0,0.0026155142955591178,kriging,,,exponential,0.0
6.141414141414141,460.0,0.004765328101943809,kriging,,,exponential,0.0
6.242424242424242,460.0,0.006067286058696164,kriging,,,exponential,0.0
6.343434343434343,460.0,0.007010849806038735,kriging,,,exponential,0.0
6.444444444444445,460.0,0.0077284382325223016,kriging,,,exponential,0.0
6.545454545454545,460.0,0.00827903340736767,kriging,,,exponential,0.0
6.646464646464646,460.0,0.008694429079792768,kriging,,,exponential,0.0
6.747474747474747,460.0,0.00899338666805469,kriging,,,exponential,0.0
6.848484848484849,460.0,0.009187285649712326,kriging,,,exponential,0.0
6.94949494949495,460.0,0.009282715517898823,kriging,,,exponential,0.0
7.05050505050505,460.0,0.00928271552366084,kriging,,,exponential,0.0
7.151515151515151,460.0,0.009187285666468953,kriging,,,exponential,0.0
7.252525252525253,460.0,0.008993386694251301,kriging,,,exponential,0.0
7.353535353535354,460.0,0.008694429112929933,kriging,,,exponential,0.0
7.454545454545454,460.0,0.008279033444148227,kriging,,,exponential,0.0
7.555555555555555,460.0,0.007728438269087131,kriging,,,exponential,0.0
7.656565656565657,460.0,0.007010849838294365,kriging,,,exponential,0.0
7.757575757575758,460.0,0.006067286082814835,kriging,,,exponential,0.0
7.858585858585858,460.0,0.004765328115184662,kriging,,,exponential,0.0
7.959595959595959,460.0,0.002615514298003885,kriging,,,exponential,0.0
8.06060606060606,460.0,0.0032115399210125776,kriging,,,exponential,0.0
8.161616161616163,460.0,0.005176586383613824,kriging,,,exponential,0.0
8.262626262626263,460.0,0.006511277829116614,kriging,,,exponential,0.0
8.363636363636363,460.0,0.007557339641184725,kriging,,,exponential,0.0
8.464646464646464,460.0,0.008423020582122015,kriging,,,exponential,0.0
8.565656565656566,460.0,0.00915962332892881,kriging,,,exponential,0.0
8.666666666666668,460.0,0.009796321587603593,kriging,,,exponential,0.0
8.767676767676768,460.0,0.010351578234385695,kriging,,,exponential,0.0
8.868686868686869,460.0,0.010837928415485865,kriging,,,exponential,0.0
8.969696969696969,460.0,0.011264310313634535,kriging,,,exponential,0.0
9.070707070707071,460.0,0.011637325575035454,kriging,,,exponential,0.0
9.171717171717171,460.0,0.011961974946125525,kriging,,,exponential,0.0
9.272727272727273,460.0,0.012242113230019672,kriging,,,exponential,0.0
9.373737373737374,460.0,0.012480743531378798,kriging,,,exponential,0.0
9.474747474747474,460.0,0.012680214208861208,kriging,,,exponential,0.0
9.575757575757574,460.0,0.012842354060133234,kriging,,,exponential,0.0
9.676767676767676,460.0,0.01296856657839267,kriging,,,exponential,0.0
9.777777777777779,460.0,0.01305989594603607,kriging,,,exponential,0.0
9.878787878787879,460.0,0.013117072648711411,kriging,,,exponential,0.0
9.97979797979798,460.0,0.01314054365261071,kriging,,,exponential,0.0
10.080808080808081,460.0,0.013130490175487508,kriging,,,exponential,0.0
10.181818181818182,460.0,0.013086834743133128,kriging,,,exponential,0.0
10.282828282828282,460.0,0.013009238183505483,kriging,,,exponential,0.0
10.383838383838384,460.0,0.012897086282058315,kriging,,,exponential,0.0
10.484848484848484,460.0,0.012749464846480131,kriging,,,exponential,0.0
10.585858585858587,460.0,0.012565120736572045,kriging,,,exponential,0.0
10.686868686868687,460.0,0.012342404773717308,kriging,,,exponential,0.0
10.787878787878787,460.0,0.01207918998721472,kriging,,,exponential,0.0
10.88888888888889,460.0,0.011772754741890601,kriging,,,exponential,0.0
10.98989898989899,460.0,0.011419613733705683,kriging,,,exponential,0.0
11.09090909090909,460.0,0.011015268295321824,kriging,,,exponential,0.0
11.191919191919192,460.0,0.010553826027206153,kriging,,,exponential,0.0
11.292929292929292,460.0,0.010027397510896086,kriging,,,exponential,0.0
11.393939393939394,460.0,0.009425088187532944,kriging,,,exponential,0.0
11.494949494949495,460.0,0.008731195002126716,kriging,,,exponential,0.0
11.595959595959595,460.0,0.007921671690496923,kriging,,,exponential,0.0
11.696969696969697,460.0,0.006956246347312192,kriging,,,exponential,0.0
11.797979797979798,460.0,0.005756988647262321,kriging,,,exponential,0.0
11.8989898989899,460.0,0.004124710804268378,kriging,,,exponential,0.0
12.0,460.0,0.0,kriging,,,exponential,0.0
2.0,461.4141414141414,0.02554746369247076,kriging,,,exponential,0.0
2.101010101010101,461.4141414141414,0.02528559588230051,kriging,,,exponential,0.0
2.202020202020202,461.4141414141414,0.02502065868779258,kriging,,,exponential,0.0
2.303030303030303,461.4141414141414,0.02475261261702792,kriging,,,exponential,0.0
2.404040404040404,461.4141414141414,0.024481421590374097,kriging,,,exponential,0.0
2.505050505050505,461.4141414141414,0.02420705380433886,kriging,,,exponential,0.0
2.606060606060606,461.4141414141414,0.023929482755290023,kriging,,,exponential,0.0
2.707070707070707,461.4141414141414,0.023648688452043255,kriging,,,exponential,0.0
2.808080808080808,461.4141414141414,0.023364658851576903,kriging,,,exponential,0.0
2.909090909090909,461.4141414141414,0.02307739155826872,kriging,,,exponential,0.0
3.0101010101010104,461.4141414141414,0.02278689583418848,kriging,,,exponential,0.0
3.111111111111111,461.4141414141414,0.02249319497617188,kriging,,,exponential,0.0
3.212121212121212,461.4141414141414,0.02219632912476075,kriging,,,exponential,0.0
3.313131313131313,461.4141414141414,0.021896358580533692,kriging,,,exponential,0.0
3.4141414141414144,461.4141414141414,0.021593367714758335,kriging,,,exponential,0.0
3.515151515151515,461.4141414141414,0.02128746957334806,kriging,,,exponential,0.0
3.616161616161616,461.4141414141414,0.020978811285073982,kriging,,,exponential,0.0
3.717171717171717,461.4141414141414,0.020667580395756925,kriging,,,exponential,0.0
3.8181818181818183,461.4141414141414,0.020354012257835237,kriging,,,exponential,0.0
3.919191919191919,461.4141414141414,0.020038398606214824,kriging,,,exponential,0.0
4.020202020202021,461.4141414141414,0.019721097442182253,kriging,,,exponential,0.0
4.121212121212121,461.4141414141414,0.0194025443206234,kriging,,,exponential,0.0
4.222222222222222,461.4141414141414,0.019083265082210452,kriging,,,exponential,0.0
4.3232323232323235,461.4141414141414,0.018763889978309526,kriging,,,exponential,0.0
4.424242424242424,461.4141414141414,0.018445168984382445,kriging,,,exponential,0.0
4.525252525252525,461.4141414141414,0.018127987865461662,kriging,,,exponential,0.0
4.626262626262626,461.4141414141414,0.017813384219274014,kriging,,,exponential,0.0
4.727272727272727,461.4141414141414,0.017502562253574074,kriging,,,exponential,0.0
4.828282828282829,461.4141414141414,0.017196904437347605,kriging,,,exponential,0.0
4.929292929292929,461.4141414141414,0.01689797740715974,kriging,,,exponential,0.0
5.03030303030303,461.4141414141414,0.016607528663321828,kriging,,,exponential,0.0
5.1313131313131315,461.4141414141414,0.016327469787997977,kriging,,,exponential,0.0
5.232323232323232,461.4141414141414,0.01605984140482126,kriging,,,exponential,0.0
5.333333333333334,461.4141414141414,0.015806755255665578,kriging,,,exponential,0.0
5.434343434343434,461.4141414141414,0.015570310077563269,kriging,,,exponential,0.0
5.5353535353535355,461.4141414141414,0.015352480887355432,kriging,,,exponential,0.0
5.636363636363637,461.4141414141414,0.015154986030509791,kriging,,,exponential,0.0
5.737373737373737,461.4141414141414,0.014979142539675116,kriging,,,exponential,0.0
5.838383838383838,461.4141414141414,0.014825726729402054,kriging,,,exponential,0.0
5.9393939393939394,461.4141414141414,0.014694861458469367,kriging,,,exponential,0.0
6.040404040404041,461.4141414141414,0.014585951830184548,kriging,,,exponential,0.0
6.141414141414141,461.4141414141414,0.014497685850722551,kriging,,,exponential,0.0
6.242424242424242,461.4141414141414,0.014428106231087699,kriging,,,exponential,0.0
6.343434343434343,461.4141414141414,0.014374746786442977,kriging,,,exponential,0.0
6.444444444444445,461.4141414141414,0.014334815649217379,kriging,,,exponential,0.0
6.545454545454545,461.4141414141414,0.014305401093963202,kriging,,,exponential,0.0
6.646464646464646,461.4141414141414,0.014283675446779892,kriging,,,exponential,0.0
6.747474747474747,461.4141414141414,0.014267077241944134,kriging,,,exponential,0.0
6.848484848484849,461.4141414141414,0.014253458951878486,kriging,,,exponential,0.0
6.94949494949495,461.4141414141414,0.014241194593792555,kriging,,,exponential,0.0
7.05050505050505,461.4141414141414,0.014229246524418291,kriging,,,exponential,0.0
7.151515151515151,461.4141414141414,0.014217193184046977,kriging,,,exponential,0.0
7.252525252525253,461.4141414141414,0.014205219837748601,kriging,,,exponential,0.0
7.353535353535354,461.4141414141414,0.014194073462893753,kriging,,,exponential,0.0
7.454545454545454,461.4141414141414,0.01418498204445739,kriging,,,exponential,0.0
7.555555555555555,461.4141414141414,0.014179538803489648,kriging,,,exponential,0.0
7.656565656565657,461.4141414141414,0.014179554125169441,kriging,,,exponential,0.0
7.757575757575758,461.4141414141414,0.014186882374919505,kriging,,,exponential,0.0
7.858585858585858,461.4141414141414,0.014203236671689583,kriging,,,exponential,0.0
7.959595959595959,461.4141414141414,0.014230010287570056,kriging,,,exponential,0.0
8.06060606060606,461.4141414141414,0.014268126300967571,kriging,,,exponential,0.0
8.161616161616163,461.4141414141414,0.014317935416383584,kriging,,,exponential,0.0
8.262626262626263,461.4141414141414,0.014379174926957639,kriging,,,exponential,0.0
8.363636363636363,461.4141414141414,0.014450991185571367,kriging,,,exponential,0.0
8.464646464646464,461.4141414141414,0.01453201683645494,kriging,,,exponential,0.0
8.565656565656566,461.4141414141414,0.014620485802582532,kriging,,,exponential,0.0
8.666666666666668,461.4141414141414,0.014714365660957643,kriging,,,exponential,0.0
8.767676767676768,461.4141414141414,0.014811488596226467,kriging,,,exponential,0.0
8.868686868686869,461.4141414141414,0.014909667031272741,kriging,,,exponential,0.0
8.969696969696969,461.4141414141414,0.015006786145476875,kriging,,,exponential,0.0
9.070707070707071,461.4141414141414,0.015100871028549583,kriging,,,exponential,0.0
9.171717171717171,461.4141414141414,0.015190130214600132,kriging,,,exponential,0.0
9.272727272727273,461.4141414141414,0.01527297960599609,kriging,,,exponential,0.0
9.373737373737374,461.4141414141414,0.015348051624065112,kriging,,,exponential,0.0
9.474747474747474,461.4141414141414,0.01541419428870622,kriging,,,exponential,0.0
9.575757575757574,461.4141414141414,0.015470464280982985,kriging,,,exponential,0.0
9.676767676767676,461.4141414141414,0.015516117214107195,kriging,,,exponential,0.0
9.777777777777779,461.4141414141414,0.015550597531849718,kriging,,,exponential,0.0
9.878787878787879,461.4141414141414,0.01557352976813585,kriging,,,exponential,0.0
9.97979797979798,461.4141414141414,0.015584712366974179,kriging,,,exponential,0.0
10.080808080808081,461.4141414141414,0.015584114867381258,kriging,,,exponential,0.0
10.181818181818182,461.4141414141414,0.01557187897337548,kriging,,,exponential,0.0
10.282828282828282,461.4141414141414,0.015548323815685817,kriging,,,exponential,0.0
10.383838383838384,461.4141414141414,0.015513955527340863,kriging,,,exponential,0.0
10.484848484848484,461.4141414141414,0.015469481055379717,kriging,,,exponential,0.0
10.585858585858587,461.4141414141414,0.0154158258680939,kriging,,,exponential,0.0
10.686868686868687,461.4141414141414,0.015354154840869568,kriging,,,exponential,0.0
10.787878787878787,461.4141414141414,0.015285895062020428,kriging,,,exponential,0.0
10.88888888888889,461.4141414141414,0.015212758547709478,kriging,,,exponential,0.0
10.98989898989899,461.4141414141414,0.01513676186991108,kriging,,,exponential,0.0
11.09090909090909,461.4141414141414,0.01506023851373009,kriging,,,exponential,0.0
11.191919191919192,461.4141414141414,0.014985838516405803,kriging,,,exponential,0.0
11.292929292929292,461.4141414141414,0.014916508872745076,kriging,,,exponential,0.0
11.393939393939394,461.4141414141414,0.014855447776816395,kriging,,,exponential,0.0
11.494949494949495,461.4141414141414,0.014806026627255253,kriging,,,exponential,0.0
11.595959595959595,461.4141414141414,0.014771676501741637,kriging,,,exponential,0.0
11.696969696969697,461.4141414141414,0.014755740887424578,kriging,,,exponential,0.0
11.797979797979798,461.4141414141414,0.014761303539772506,kriging,,,exponential,0.0
11.8989898989899,461.4141414141414,0.014791008100763363,kriging,,,exponential,0.0
12.0,461.4141414141414,0.014846892206171483,kriging,,,exponential,0.0
2.0,462.82828282828285,0.02694041625150607,kriging,,,exponential,0.0
2.101010101010101,462.82828282828285,0.026734529399078617,kriging,,,exponential,0.0
2.202020202020202,462.82828282828285,0.026528032571438265,kriging,,,exponential,0.0
2.303030303030303,462.82828282828285,0.026321010061914608,kriging,,,exponential,0.0
2.404040404040404,462.82828282828285,0.02611355457358351,kriging,,,exponential,0.0
2.505050505050505,462.82828282828285,0.02590576782475722,kriging,,,exponential,0.0
2.606060606060606,462.82828282828285,0.025697761173858472,kriging,,,exponential,0.0
2.707070707070707,462.82828282828285,0.025489656258436834,kriging,,,exponential,0.0
2.808080808080808,462.82828282828285,0.025281585641403603,kriging,,,exponential,0.0
2.909090909090909,462.82828282828285,0.02507369345555469,kriging,,,exponential,0.0
3.0101010101010104,462.82828282828285,0.024866136035116986,kriging,,,exponential,0.0
3.111111111111111,462.82828282828285,0.02465908252036744,kriging,,,exponential,0.0
3.212121212121212,462.82828282828285,0.02445271541831691,kriging,,,exponential,0.0
3.313131313131313,462.82828282828285,0.024247231099039736,kriging,,,exponential,0.0
3.4141414141414144,462.82828282828285,0.02404284020351155,kriging,,,exponential,0.0
3.515151515151515,462.82828282828285,0.023839767934823897,kriging,,,exponential,0.0
