Time,Temperature,Rm,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,1928.4112310749642,kriging,,,exponential,0.0
2.101010101010101,460.0,1928.6812592671101,kriging,,,exponential,0.0
2.202020202020202,460.0,1928.9511640789424,kriging,,,exponential,0.0
2.303030303030303,460.0,1929.220944203803,kriging,,,exponential,0.0
2.404040404040404,460.0,1929.4905983602953,kriging,,,exponential,0.0
2.505050505050505,460.0,1929.7601252926718,kriging,,,exponential,0.0
2.606060606060606,460.0,1930.0295237713024,kriging,,,exponential,0.0
2.707070707070707,460.0,1930.2987925930204,kriging,,,exponential,0.0
2.808080808080808,460.0,1930.5679305815663,kriging,,,exponential,0.0
2.909090909090909,460.0,1930.836936588008,kriging,,,exponential,0.0
3.0101010101010104,460.0,1931.1058094911398,kriging,,,exponential,0.0
3.111111111111111,460.0,1931.3745481978629,kriging,,,exponential,0.0
3.212121212121212,460.0,1931.6431516436255,kriging,,,exponential,0.0
3.313131313131313,460.0,1931.911618792823,kriging,,,exponential,0.0
3.4141414141414144,460.0,1932.1799486391474,kriging,,,exponential,0.0
3.515151515151515,460.0,1932.448140206073,kriging,,,exponential,0.0
3.616161616161616,460.0,1932.7161925471657,kriging,,,exponential,0.0
3.717171717171717,460.0,1932.9841047465318,kriging,,,exponential,0.0
3.8181818181818183,460.0,1933.251875919201,kriging,,,exponential,0.0
3.919191919191919,460.0,1933.519505211472,kriging,,,exponential,0.0
4.020202020202021,460.0,1933.7869918013703,kriging,,,exponential,0.0
4.121212121212121,460.0,1934.0543348989504,kriging,,,exponential,0.0
4.222222222222222,460.0,1934.3215337467393,kriging,,,exponential,0.0
4.3232323232323235,460.0,1934.5885876200714,kriging,,,exponential,0.0
4.424242424242424,460.0,1934.8554958274974,kriging,,,exponential,0.0
4.525252525252525,460.0,1935.1222577111,kriging,,,exponential,0.0
4.626262626262626,460.0,1935.388872646894,kriging,,,exponential,0.0
4.727272727272727,460.0,1935.655340045205,kriging,,,exponential,0.0
4.828282828282829,460.0,1935.9216593509743,kriging,,,exponential,0.0
4.929292929292929,460.0,1936.1878300441529,kriging,,,exponential,0.0
5.03030303030303,460.0,1936.4538516400264,kriging,,,exponential,0.0
5.1313131313131315,460.0,1936.7197236895645,kriging,,,exponential,0.0
5.232323232323232,460.0,1936.985445779783,kriging,,,exponential,0.0
5.333333333333334,460.0,1937.2510175340444,kriging,,,exponential,0.0
5.434343434343434,460.0,1937.5164386123834,kriging,,,exponential,0.0
5.5353535353535355,460.0,1937.7817087118742,kriging,,,exponential,0.0
5.636363636363637,460.0,1938.0468275669214,kriging,,,exponential,0.0
5.737373737373737,460.0,1938.3117949495459,kriging,,,exponential,0.0
5.838383838383838,460.0,1938.5766106697724,kriging,,,exponential,0.0
5.9393939393939394,460.0,1938.8412745758471,kriging,,,exponential,0.0
6.040404040404041,460.0,1939.7747926999407,kriging,,,exponential,0.0
6.141414141414141,460.0,1941.7116713263101,kriging,,,exponential,0.0
6.242424242424242,460.0,1943.6484088689012,kriging,,,exponential,0.0
6.343434343434343,460.0,1945.585013155592,kriging,,,exponential,0.0
6.444444444444445,460.0,1947.5214920540727,kriging,,,exponential,0.0
6.545454545454545,460.0,1949.4578534720872,kriging,,,exponential,0.0
6.646464646464646,460.0,1951.3941053577794,kriging,,,exponential,0.0
6.747474747474747,460.0,1953.3302556999613,kriging,,,exponential,0.0
6.848484848484849,460.0,1955.2663125283875,kriging,,,exponential,0.0
6.94949494949495,460.0,1957.2022839140693,kriging,,,exponential,0.0
7.05050505050505,460.0,1959.1381779695132,kriging,,,exponential,0.0
7.151515151515151,460.0,1961.0740028489997,kriging,,,exponential,0.0
7.252525252525253,460.0,1963.0097667488376,kriging,,,exponential,0.0
7.353535353535354,460.0,1964.945477907646,kriging,,,exponential,0.0
7.454545454545454,460.0,1966.8811446065224,kriging,,,exponential,0.0
7.555555555555555,460.0,1968.816775169364,kriging,,,exponential,0.0
7.656565656565657,460.0,1970.752377963064,kriging,,,exponential,0.0
7.757575757575758,460.0,1972.687961397716,kriging,,,exponential,0.0
7.858585858585858,460.0,1974.6235339268414,kriging,,,exponential,0.0
7.959595959595959,460.0,1976.5591040476409,kriging,,,exponential,0.0
8.06060606060606,460.0,1977.772083613682,kriging,,,exponential,0.0
8.161616161616163,460.0,1978.5033434674713,kriging,,,exponential,0.0
8.262626262626263,460.0,1979.2346176545584,kriging,,,exponential,0.0
8.363636363636363,460.0,1979.9659092149723,kriging,,,exponential,0.0
8.464646464646464,460.0,1980.6972212332876,kriging,,,exponential,0.0
8.565656565656566,460.0,1981.4285568386676,kriging,,,exponential,0.0
8.666666666666668,460.0,1982.1599192050483,kriging,,,exponential,0.0
8.767676767676768,460.0,1982.8913115512541,kriging,,,exponential,0.0
8.868686868686869,460.0,1983.6227371410937,kriging,,,exponential,0.0
8.969696969696969,460.0,1984.3541992834448,kriging,,,exponential,0.0
9.070707070707071,460.0,1985.0857013324237,kriging,,,exponential,0.0
9.171717171717171,460.0,1985.8172466873648,kriging,,,exponential,0.0
9.272727272727273,460.0,1986.5488387930077,kriging,,,exponential,0.0
9.373737373737374,460.0,1987.2804811394822,kriging,,,exponential,0.0
9.474747474747474,460.0,1988.012177262414,kriging,,,exponential,0.0
9.575757575757574,460.0,1988.7439307429768,kriging,,,exponential,0.0
9.676767676767676,460.0,1989.4757452079323,kriging,,,exponential,0.0
9.777777777777779,460.0,1990.2076243296638,kriging,,,exponential,0.0
9.878787878787879,460.0,1990.9395718262256,kriging,,,exponential,0.0
