Time,Temperature,A32_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,0.004401006116383328,kriging,,,gaussian,0.0
2.101010101010101,460.0,0.004073939590096607,kriging,,,gaussian,0.0
2.202020202020202,460.0,0.00398712201782461,kriging,,,gaussian,0.0
2.303030303030303,460.0,0.00364376373281197,kriging,,,gaussian,0.0
2.404040404040404,460.0,0.003588782724299519,kriging,,,gaussian,0.0
2.505050505050505,460.0,0.0035452223527171205,kriging,,,gaussian,0.0
2.606060606060606,460.0,0.0033681762164130525,kriging,,,gaussian,0.0
2.707070707070707,460.0,0.0030493790792009345,kriging,,,gaussian,0.0
2.808080808080808,460.0,0.0030815710706489103,kriging,,,gaussian,0.0
2.909090909090909,460.0,0.0029260565024703824,kriging,,,gaussian,0.0
3.0101010101010104,460.0,0.002777873568749054,kriging,,,gaussian,0.0
3.111111111111111,460.0,0.0027631049223336536,kriging,,,gaussian,0.0
3.212121212121212,460.0,0.0027574657113449827,kriging,,,gaussian,0.0
3.313131313131313,460.0,0.002469184656141315,kriging,,,gaussian,0.0
3.4141414141414144,460.0,0.002538582663630764,kriging,,,gaussian,0.0
3.515151515151515,460.0,0.0025259005347180526,kriging,,,gaussian,0.0
3.616161616161616,460.0,0.0023216088986381905,kriging,,,gaussian,0.0
3.717171717171717,460.0,0.002342951942781158,kriging,,,gaussian,0.0
3.8181818181818183,460.0,0.0023083994680518404,kriging,,,gaussian,0.0
3.919191919191919,460.0,0.002058163944593491,kriging,,,gaussian,0.0
4.020202020202021,460.0,0.001919239532453467,kriging,,,gaussian,0.0
4.121212121212121,460.0,0.0019048272348358675,kriging,,,gaussian,0.0
4.222222222222222,460.0,0.0020028183450083313,kriging,,,gaussian,0.0
4.3232323232323235,460.0,0.002030807142287862,kriging,,,gaussian,0.0
4.424242424242424,460.0,0.001974520183006531,kriging,,,gaussian,0.0
4.525252525252525,460.0,0.0021583235480810386,kriging,,,gaussian,0.0
4.626262626262626,460.0,0.002130601633945821,kriging,,,gaussian,0.0
4.727272727272727,460.0,0.0021497268819622942,kriging,,,gaussian,0.0
4.828282828282829,460.0,0.001841648075462938,kriging,,,gaussian,0.0
4.929292929292929,460.0,0.0018559665627249614,kriging,,,gaussian,0.0
5.03030303030303,460.0,0.002102363061858334,kriging,,,gaussian,0.0
5.1313131313131315,460.0,0.001736293806366301,kriging,,,gaussian,0.0
5.232323232323232,460.0,0.0016903470797445589,kriging,,,gaussian,0.0
5.333333333333334,460.0,0.0018513609243545677,kriging,,,gaussian,0.0
5.434343434343434,460.0,0.0016864579425792657,kriging,,,gaussian,0.0
5.5353535353535355,460.0,0.0017742002529730027,kriging,,,gaussian,0.0
5.636363636363637,460.0,0.0017343608852141618,kriging,,,gaussian,0.0
5.737373737373737,460.0,0.002000522671361778,kriging,,,gaussian,0.0
5.838383838383838,460.0,0.0019362895121769494,kriging,,,gaussian,0.0
5.9393939393939394,460.0,0.0019147756064616635,kriging,,,gaussian,0.0
6.040404040404041,460.0,0.0018563036474639949,kriging,,,gaussian,0.0
6.141414141414141,460.0,0.0017971281282761584,kriging,,,gaussian,0.0
6.242424242424242,460.0,0.0019316127853974254,kriging,,,gaussian,0.0
6.343434343434343,460.0,0.0019932192871038794,kriging,,,gaussian,0.0
6.444444444444445,460.0,0.001926072841799768,kriging,,,gaussian,0.0
6.545454545454545,460.0,0.0019511452698509563,kriging,,,gaussian,0.0
6.646464646464646,460.0,0.0018478060998999325,kriging,,,gaussian,0.0
