Time,Temperature,Z_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,4.9844397717582085,kriging,,,exponential,0.0
2.101010101010101,460.0,4.926664999611266,kriging,,,exponential,0.0
2.202020202020202,460.0,4.8679376111866315,kriging,,,exponential,0.0
2.303030303030303,460.0,4.808220828784994,kriging,,,exponential,0.0
2.404040404040404,460.0,4.747475408778799,kriging,,,exponential,0.0
2.505050505050505,460.0,4.685659399862396,kriging,,,exponential,0.0
2.606060606060606,460.0,4.62272786977307,kriging,,,exponential,0.0
2.707070707070707,460.0,4.558632595293619,kriging,,,exponential,0.0
2.808080808080808,460.0,4.493321709310405,kriging,,,exponential,0.0
2.909090909090909,460.0,4.426739297406669,kriging,,,exponential,0.0
3.0101010101010104,460.0,4.35882493486596,kriging,,,exponential,0.0
3.111111111111111,460.0,4.289513152939215,kriging,,,exponential,0.0
3.212121212121212,460.0,4.2187328206761325,kriging,,,exponential,0.0
3.313131313131313,460.0,4.146406425368271,kriging,,,exponential,0.0
3.4141414141414144,460.0,4.072449230471791,kriging,,,exponential,0.0
3.515151515151515,460.0,3.9967682844604817,kriging,,,exponential,0.0
3.616161616161616,460.0,3.919261246976385,kriging,,,exponential,0.0
3.717171717171717,460.0,3.8398149892806903,kriging,,,exponential,0.0
3.8181818181818183,460.0,3.7583039135062033,kriging,,,exponential,0.0
3.919191919191919,460.0,3.674587918304143,kriging,,,exponential,0.0
4.020202020202021,460.0,3.588509915344766,kriging,,,exponential,0.0
4.121212121212121,460.0,3.4998927690091595,kriging,,,exponential,0.0
4.222222222222222,460.0,3.4085354863387516,kriging,,,exponential,0.0
4.3232323232323235,460.0,3.3142084194362953,kriging,,,exponential,0.0
4.424242424242424,460.0,3.216647147801476,kriging,,,exponential,0.0
4.525252525252525,460.0,3.1155445669773743,kriging,,,exponential,0.0
4.626262626262626,460.0,3.0105404947749768,kriging,,,exponential,0.0
4.727272727272727,460.0,2.9012077699188996,kriging,,,exponential,0.0
4.828282828282829,460.0,2.78703327624816,kriging,,,exponential,0.0
4.929292929292929,460.0,2.6673914239388776,kriging,,,exponential,0.0
5.03030303030303,460.0,2.54150605966652,kriging,,,exponential,0.0
5.1313131313131315,460.0,2.408393956641372,kriging,,,exponential,0.0
5.232323232323232,460.0,2.2667776541986826,kriging,,,exponential,0.0
5.333333333333334,460.0,2.1149444715652295,kriging,,,exponential,0.0
5.434343434343434,460.0,1.9505044243003622,kriging,,,exponential,0.0
5.5353535353535355,460.0,1.7699411016637532,kriging,,,exponential,0.0
5.636363636363637,460.0,1.567686316003977,kriging,,,exponential,0.0
5.737373737373737,460.0,1.3339011695950207,kriging,,,exponential,0.0
5.838383838383838,460.0,1.04767619181608,kriging,,,exponential,0.0
5.9393939393939394,460.0,0.6423531415836421,kriging,,,exponential,0.0
6.040404040404041,460.0,0.5195327576244644,kriging,,,exponential,0.0
6.141414141414141,460.0,0.9465610851380826,kriging,,,exponential,0.0
6.242424242424242,460.0,1.2051755414788619,kriging,,,exponential,0.0
6.343434343434343,460.0,1.3926003536848623,kriging,,,exponential,0.0
6.444444444444445,460.0,1.5351385515065559,kriging,,,exponential,0.0
6.545454545454545,460.0,1.6445060399667342,kriging,,,exponential,0.0
6.646464646464646,460.0,1.7270181713587083,kriging,,,exponential,0.0
6.747474747474747,460.0,1.7864016205394186,kriging,,,exponential,0.0
6.848484848484849,460.0,1.824916750362585,kriging,,,exponential,0.0
6.94949494949495,460.0,1.843872464986846,kriging,,,exponential,0.0
7.05050505050505,460.0,1.8438724661314951,kriging,,,exponential,0.0
7.151515151515151,460.0,1.8249167536913056,kriging,,,exponential,0.0
7.252525252525253,460.0,1.78640162574315,kriging,,,exponential,0.0
7.353535353535354,460.0,1.7270181779410256,kriging,,,exponential,0.0
7.454545454545454,460.0,1.644506047272762,kriging,,,exponential,0.0
7.555555555555555,460.0,1.535138558769884,kriging,,,exponential,0.0
7.656565656565657,460.0,1.3926003600922212,kriging,,,exponential,0.0
7.757575757575758,460.0,1.205175546269781,kriging,,,exponential,0.0
7.858585858585858,460.0,0.9465610877680972,kriging,,,exponential,0.0
7.959595959595959,460.0,0.5195327581101981,kriging,,,exponential,0.0
8.06060606060606,460.0,0.6379243249500931,kriging,,,exponential,0.0
8.161616161616163,460.0,1.0282513858022417,kriging,,,exponential,0.0
8.262626262626263,460.0,1.2933678596346456,kriging,,,exponential,0.0
8.363636363636363,460.0,1.5011523778978115,kriging,,,exponential,0.0
8.464646464646464,460.0,1.6731069366159965,kriging,,,exponential,0.0
8.565656565656566,460.0,1.8194220445166476,kriging,,,exponential,0.0
8.666666666666668,460.0,1.9458926215322174,kriging,,,exponential,0.0
8.767676767676768,460.0,2.0561860416177162,kriging,,,exponential,0.0
8.868686868686869,460.0,2.1527922239021033,kriging,,,exponential,0.0
8.969696969696969,460.0,2.237486604570053,kriging,,,exponential,0.0
9.070707070707071,460.0,2.311580501805574,kriging,,,exponential,0.0
9.171717171717171,460.0,2.3760672390213506,kriging,,,exponential,0.0
9.272727272727273,460.0,2.4317125151453083,kriging,,,exponential,0.0
9.373737373737374,460.0,2.479112851958243,kriging,,,exponential,0.0
9.474747474747474,460.0,2.518734715750312,kriging,,,exponential,0.0
9.575757575757574,460.0,2.550941369798274,kriging,,,exponential,0.0
9.676767676767676,460.0,2.5760115970141566,kriging,,,exponential,0.0
9.777777777777779,460.0,2.5941528085982326,kriging,,,exponential,0.0
9.878787878787879,460.0,2.605510104588243,kriging,,,exponential,0.0
