Time,Temperature,Rp0.2_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,130.51802120023353,kriging,,,spherical,0.0
2.101010101010101,460.0,128.9189766429151,kriging,,,spherical,0.0
2.202020202020202,460.0,127.29704802530199,kriging,,,spherical,0.0
2.303030303030303,460.0,125.65132447969697,kriging,,,spherical,0.0
2.404040404040404,460.0,123.98083328594802,kriging,,,spherical,0.0
2.505050505050505,460.0,122.28453377681298,kriging,,,spherical,0.0
2.606060606060606,460.0,120.56131044629437,kriging,,,spherical,0.0
2.707070707070707,460.0,118.80996512959402,kriging,,,spherical,0.0
2.808080808080808,460.0,117.02920809692336,kriging,,,spherical,0.0
2.909090909090909,460.0,115.21764787074864,kriging,,,spherical,0.0
3.0101010101010104,460.0,113.37377953524071,kriging,,,spherical,0.0
3.111111111111111,460.0,111.49597125551517,kriging,,,spherical,0.0
3.212121212121212,460.0,109.5824486593631,kriging,,,spherical,0.0
3.313131313131313,460.0,107.63127665179755,kriging,,,spherical,0.0
3.4141414141414144,460.0,105.64033812661266,kriging,,,spherical,0.0
3.515151515151515,460.0,103.6073089015608,kriging,,,spherical,0.0
3.616161616161616,460.0,101.52962802422361,kriging,,,spherical,0.0
3.717171717171717,460.0,99.40446235757895,kriging,,,spherical,0.0
3.8181818181818183,460.0,97.22866403715102,kriging,,,spherical,0.0
3.919191919191919,460.0,94.99871896199532,kriging,,,spherical,0.0
4.020202020202021,460.0,92.71068389436793,kriging,,,spherical,0.0
4.121212121212121,460.0,90.36010892678782,kriging,,,spherical,0.0
4.222222222222222,460.0,87.94194092508756,kriging,,,spherical,0.0
4.3232323232323235,460.0,85.4504019074815,kriging,,,spherical,0.0
4.424242424242424,460.0,82.87883391240182,kriging,,,spherical,0.0
4.525252525252525,460.0,80.21949832131531,kriging,,,spherical,0.0
4.626262626262626,460.0,77.46331213330566,kriging,,,spherical,0.0
4.727272727272727,460.0,74.59949513395729,kriging,,,spherical,0.0
4.828282828282829,460.0,71.61508812415077,kriging,,,spherical,0.0
4.929292929292929,460.0,68.49427943899772,kriging,,,spherical,0.0
5.03030303030303,460.0,65.21743731185671,kriging,,,spherical,0.0
5.1313131313131315,460.0,61.759673859022676,kriging,,,spherical,0.0
5.232323232323232,460.0,58.08862951416874,kriging,,,spherical,0.0
5.333333333333334,460.0,54.16088815624761,kriging,,,spherical,0.0
5.434343434343434,460.0,49.91581975130083,kriging,,,spherical,0.0
5.5353535353535355,460.0,45.26415348798515,kriging,,,spherical,0.0
5.636363636363637,460.0,40.06442712287732,kriging,,,spherical,0.0
5.737373737373737,460.0,34.06649612111416,kriging,,,spherical,0.0
5.838383838383838,460.0,26.7383618044205,kriging,,,spherical,0.0
5.9393939393939394,460.0,16.38269495776824,kriging,,,spherical,0.0
6.040404040404041,460.0,13.244935521046244,kriging,,,spherical,0.0
6.141414141414141,460.0,24.13198416295255,kriging,,,spherical,0.0
6.242424242424242,460.0,30.725668313066116,kriging,,,spherical,0.0
6.343434343434343,460.0,35.50449521379914,kriging,,,spherical,0.0
6.444444444444445,460.0,39.13897083609417,kriging,,,spherical,0.0
6.545454545454545,460.0,41.927739484166786,kriging,,,spherical,0.0
6.646464646464646,460.0,44.03177610849409,kriging,,,spherical,0.0
6.747474747474747,460.0,45.54606817553221,kriging,,,spherical,0.0
6.848484848484849,460.0,46.528227249008616,kriging,,,spherical,0.0
6.94949494949495,460.0,47.01161358349561,kriging,,,spherical,0.0
7.05050505050505,460.0,47.011613604317446,kriging,,,spherical,0.0
7.151515151515151,460.0,46.5282273095855,kriging,,,spherical,0.0
7.252525252525253,460.0,45.54606827022519,kriging,,,spherical,0.0
7.353535353535354,460.0,44.03177622829891,kriging,,,spherical,0.0
7.454545454545454,460.0,41.927739617178545,kriging,,,spherical,0.0
7.555555555555555,460.0,39.13897096835835,kriging,,,spherical,0.0
7.656565656565657,460.0,35.5044953305201,kriging,,,spherical,0.0
7.757575757575758,460.0,30.725668400353896,kriging,,,spherical,0.0
7.858585858585858,460.0,24.13198421089047,kriging,,,spherical,0.0
7.959595959595959,460.0,13.24493552995451,kriging,,,spherical,0.0
8.06060606060606,460.0,16.263446790472866,kriging,,,spherical,0.0
8.161616161616163,460.0,26.215509386677102,kriging,,,spherical,0.0
8.262626262626263,460.0,32.97583460233876,kriging,,,spherical,0.0
8.363636363636363,460.0,38.27475434864523,kriging,,,spherical,0.0
8.464646464646464,460.0,42.66034885305568,kriging,,,spherical,0.0
8.565656565656566,460.0,46.392352102091486,kriging,,,spherical,0.0
8.666666666666668,460.0,49.61845244967565,kriging,,,spherical,0.0
8.767676767676768,460.0,52.43210838810801,kriging,,,spherical,0.0
8.868686868686869,460.0,54.8967672082751,kriging,,,spherical,0.0
8.969696969696969,460.0,57.05766627614036,kriging,,,spherical,0.0
9.070707070707071,460.0,58.948214744230405,kriging,,,spherical,0.0
9.171717171717171,460.0,60.593718086347394,kriging,,,spherical,0.0
9.272727272727273,460.0,62.013681487095724,kriging,,,spherical,0.0
9.373737373737374,460.0,63.22329953085058,kriging,,,spherical,0.0
9.474747474747474,460.0,64.2344532986386,kriging,,,spherical,0.0
9.575757575757574,460.0,65.05639474331826,kriging,,,spherical,0.0
9.676767676767676,460.0,65.69622385358929,kriging,,,spherical,0.0
9.777777777777779,460.0,66.15922273357282,kriging,,,spherical,0.0
9.878787878787879,460.0,66.44908651073017,kriging,,,spherical,0.0
9.97979797979798,460.0,66.56807609760533,kriging,,,spherical,0.0
10.080808080808081,460.0,66.5171081503854,kriging,,,spherical,0.0
10.181818181818182,460.0,66.29579078919079,kriging,,,spherical,0.0
10.282828282828282,460.0,65.90240838200991,kriging,,,spherical,0.0
10.383838383838384,460.0,65.33385399289432,kriging,,,spherical,0.0
10.484848484848484,460.0,64.58550315649464,kriging,,,spherical,0.0
10.585858585858587,460.0,63.65101660402903,kriging,,,spherical,0.0
