Time,Temperature,Rm_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,115.80798399293,kriging,,,exponential,0.0
2.101010101010101,460.0,114.46565061257697,kriging,,,exponential,0.0
2.202020202020202,460.0,113.10118423921351,kriging,,,exponential,0.0
2.303030303030303,460.0,111.71373038338432,kriging,,,exponential,0.0
2.404040404040404,460.0,110.30237726250208,kriging,,,exponential,0.0
2.505050505050505,460.0,108.8661501840525,kriging,,,exponential,0.0
2.606060606060606,460.0,107.40400519625837,kriging,,,exponential,0.0
2.707070707070707,460.0,105.91482188563037,kriging,,,exponential,0.0
2.808080808080808,460.0,104.39739517674168,kriging,,,exponential,0.0
2.909090909090909,460.0,102.85042595952869,kriging,,,exponential,0.0
3.0101010101010104,460.0,101.27251033206706,kriging,,,exponential,0.0
3.111111111111111,460.0,99.66212719986953,kriging,,,exponential,0.0
3.212121212121212,460.0,98.0176239134243,kriging,,,exponential,0.0
3.313131313131313,460.0,96.33719955008372,kriging,,,exponential,0.0
3.4141414141414144,460.0,94.61888534930475,kriging,,,exponential,0.0
3.515151515151515,460.0,92.86052168446584,kriging,,,exponential,0.0
3.616161616161616,460.0,91.0597307897366,kriging,,,exponential,0.0
3.717171717171717,460.0,89.2138842431194,kriging,,,exponential,0.0
3.8181818181818183,460.0,87.32006391610626,kriging,,,exponential,0.0
3.919191919191919,460.0,85.3750147077162,kriging,,,exponential,0.0
4.020202020202021,460.0,83.37508684313815,kriging,,,exponential,0.0
4.121212121212121,460.0,81.31616477079507,kriging,,,exponential,0.0
4.222222222222222,460.0,79.19357864003756,kriging,,,exponential,0.0
4.3232323232323235,460.0,77.00199283417871,kriging,,,exponential,0.0
4.424242424242424,460.0,74.73526383329532,kriging,,,exponential,0.0
4.525252525252525,460.0,72.38625640259615,kriging,,,exponential,0.0
4.626262626262626,460.0,69.94660210449372,kriging,,,exponential,0.0
4.727272727272727,460.0,67.40637631587319,kriging,,,exponential,0.0
4.828282828282829,460.0,64.7536573462642,kriging,,,exponential,0.0
4.929292929292929,460.0,61.97391030315224,kriging,,,exponential,0.0
5.03030303030303,460.0,59.049102116445546,kriging,,,exponential,0.0
5.1313131313131315,460.0,55.95638859149476,kriging,,,exponential,0.0
5.232323232323232,460.0,52.666089332721114,kriging,,,exponential,0.0
5.333333333333334,460.0,49.13841208328682,kriging,,,exponential,0.0
5.434343434343434,460.0,45.317828179488,kriging,,,exponential,0.0
5.5353535353535355,460.0,41.12263767962631,kriging,,,exponential,0.0
5.636363636363637,460.0,36.423469858823026,kriging,,,exponential,0.0
5.737373737373737,460.0,30.99172873387239,kriging,,,exponential,0.0
5.838383838383838,460.0,24.34160571847691,kriging,,,exponential,0.0
5.9393939393939394,460.0,14.924369787736687,kriging,,,exponential,0.0
6.040404040404041,460.0,12.070773052524961,kriging,,,exponential,0.0
6.141414141414141,460.0,21.992307263319567,kriging,,,exponential,0.0
6.242424242424242,460.0,28.0009301360362,kriging,,,exponential,0.0
6.343434343434343,460.0,32.35553981049198,kriging,,,exponential,0.0
6.444444444444445,460.0,35.66725829593918,kriging,,,exponential,0.0
6.545454545454545,460.0,38.20829177871433,kriging,,,exponential,0.0
6.646464646464646,460.0,40.125370533606485,kriging,,,exponential,0.0
6.747474747474747,460.0,41.50507975812691,kriging,,,exponential,0.0
6.848484848484849,460.0,42.39993650076734,kriging,,,exponential,0.0
6.94949494949495,460.0,42.84035171216588,kriging,,,exponential,0.0
7.05050505050505,460.0,42.84035173875828,kriging,,,exponential,0.0
7.151515151515151,460.0,42.399936578105596,kriging,,,exponential,0.0
7.252525252525253,460.0,41.505079879025125,kriging,,,exponential,0.0
7.353535353535354,460.0,40.12537068653678,kriging,,,exponential,0.0
7.454545454545454,460.0,38.20829194846512,kriging,,,exponential,0.0
7.555555555555555,460.0,35.66725846468908,kriging,,,exponential,0.0
7.656565656565657,460.0,32.3555399593564,kriging,,,exponential,0.0
7.757575757575758,460.0,28.00093024734985,kriging,,,exponential,0.0
7.858585858585858,460.0,21.992307324429426,kriging,,,exponential,0.0
7.959595959595959,460.0,12.070773063810456,kriging,,,exponential,0.0
8.06060606060606,460.0,14.821471097147224,kriging,,,exponential,0.0
8.161616161616163,460.0,23.890291683814603,kriging,,,exponential,0.0
8.262626262626263,460.0,30.049981792186728,kriging,,,exponential,0.0
8.363636363636363,460.0,34.877626877060145,kriging,,,exponential,0.0
8.464646464646464,460.0,38.872802201755896,kriging,,,exponential,0.0
8.565656565656566,460.0,42.272273044934465,kriging,,,exponential,0.0
8.666666666666668,460.0,45.21067800702922,kriging,,,exponential,0.0
8.767676767676768,460.0,47.77322449423069,kriging,,,exponential,0.0
8.868686868686869,460.0,50.01776304297824,kriging,,,exponential,0.0
8.969696969696969,460.0,51.9855439631601,kriging,,,exponential,0.0
9.070707070707071,460.0,53.70703429265557,kriging,,,exponential,0.0
9.171717171717171,460.0,55.20531281003909,kriging,,,exponential,0.0
9.272727272727273,460.0,56.49816968899407,kriging,,,exponential,0.0
9.373737373737374,460.0,57.59946445796723,kriging,,,exponential,0.0
9.474747474747474,460.0,58.52003494891783,kriging,,,exponential,0.0
9.575757575757574,460.0,59.26832118513295,kriging,,,exponential,0.0
9.676767676767676,460.0,59.8508003814014,kriging,,,exponential,0.0
9.777777777777779,460.0,60.27229150917996,kriging,,,exponential,0.0
9.878787878787879,460.0,60.53616580849001,kriging,,,exponential,0.0
9.97979797979798,460.0,60.64448605814389,kriging,,,exponential,0.0
10.080808080808081,460.0,60.59808859016621,kriging,,,exponential,0.0
