Time,Temperature,Rm_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,121.78268224233112,kriging,,,spherical,0.0
2.101010101010101,460.0,120.29065889241603,kriging,,,spherical,0.0
2.202020202020202,460.0,118.77728307165172,kriging,,,spherical,0.0
2.303030303030303,460.0,117.24170487509609,kriging,,,spherical,0.0
2.404040404040404,460.0,115.68301668501735,kriging,,,spherical,0.0
2.505050505050505,460.0,114.10024748418499,kriging,,,spherical,0.0
2.606060606060606,460.0,112.49235642544092,kriging,,,spherical,0.0
2.707070707070707,460.0,110.85822553501484,kriging,,,spherical,0.0
2.808080808080808,460.0,109.19665140244622,kriging,,,spherical,0.0
2.909090909090909,460.0,107.50633567930896,kriging,,,spherical,0.0
3.0101010101010104,460.0,105.78587417112726,kriging,,,spherical,0.0
3.111111111111111,460.0,104.0337442588088,kriging,,,spherical,0.0
3.212121212121212,460.0,102.24829032571654,kriging,,,spherical,0.0
3.313131313131313,460.0,100.42770678934485,kriging,,,spherical,0.0
3.4141414141414144,460.0,98.57001823762118,kriging,,,spherical,0.0
3.515151515151515,460.0,96.67305604169246,kriging,,,spherical,0.0
3.616161616161616,460.0,94.73443064912706,kriging,,,spherical,0.0
3.717171717171717,460.0,92.75149853973457,kriging,,,spherical,0.0
3.8181818181818183,460.0,90.72132252998816,kriging,,,spherical,0.0
3.919191919191919,460.0,88.64062371148104,kriging,,,spherical,0.0
4.020202020202021,460.0,86.50572276034644,kriging,,,spherical,0.0
4.121212121212121,460.0,84.31246759350127,kriging,,,spherical,0.0
4.222222222222222,460.0,82.0561432740687,kriging,,,spherical,0.0
4.3232323232323235,460.0,79.73135853027263,kriging,,,spherical,0.0
4.424242424242424,460.0,77.33190100609414,kriging,,,spherical,0.0
4.525252525252525,460.0,74.85055001496998,kriging,,,spherical,0.0
4.626262626262626,460.0,72.27883046506362,kriging,,,spherical,0.0
4.727272727272727,460.0,69.60668364254336,kriging,,,spherical,0.0
4.828282828282829,460.0,66.8220176844339,kriging,,,spherical,0.0
4.929292929292929,460.0,63.91007917242237,kriging,,,spherical,0.0
5.03030303030303,460.0,60.852550259119475,kriging,,,spherical,0.0
5.1313131313131315,460.0,57.62620876255825,kriging,,,spherical,0.0
5.232323232323232,460.0,54.20086088467077,kriging,,,spherical,0.0
5.333333333333334,460.0,50.53599626807886,kriging,,,spherical,0.0
5.434343434343434,460.0,46.57504273919545,kriging,,,spherical,0.0
5.5353535353535355,460.0,42.23470422325107,kriging,,,spherical,0.0
5.636363636363637,460.0,37.38298629304471,kriging,,,spherical,0.0
5.737373737373737,460.0,31.786486142475923,kriging,,,spherical,0.0
5.838383838383838,460.0,24.948810818346743,kriging,,,spherical,0.0
5.9393939393939394,460.0,15.286230330219995,kriging,,,spherical,0.0
6.040404040404041,460.0,12.358475550319028,kriging,,,spherical,0.0
6.141414141414141,460.0,22.516873395441127,kriging,,,spherical,0.0
6.242424242424242,460.0,28.669253996044546,kriging,,,spherical,0.0
6.343434343434343,460.0,33.12824251418828,kriging,,,spherical,0.0
6.444444444444445,460.0,36.51946914906274,kriging,,,spherical,0.0
6.545454545454545,460.0,39.121590472957365,kriging,,,spherical,0.0
6.646464646464646,460.0,41.084807669265984,kriging,,,spherical,0.0
6.747474747474747,460.0,42.49775086229416,kriging,,,spherical,0.0
6.848484848484849,460.0,43.41417577631495,kriging,,,spherical,0.0
6.94949494949495,460.0,43.865209923397686,kriging,,,spherical,0.0
7.05050505050505,460.0,43.86520994283133,kriging,,,spherical,0.0
7.151515151515151,460.0,43.41417583283244,kriging,,,spherical,0.0
7.252525252525253,460.0,42.49775095064329,kriging,,,spherical,0.0
7.353535353535354,460.0,41.08480778105105,kriging,,,spherical,0.0
7.454545454545454,460.0,39.12159059707792,kriging,,,spherical,0.0
7.555555555555555,460.0,36.51946927249909,kriging,,,spherical,0.0
7.656565656565657,460.0,33.12824262310502,kriging,,,spherical,0.0
7.757575757575758,460.0,28.669254077491495,kriging,,,spherical,0.0
7.858585858585858,460.0,22.5168734401964,kriging,,,spherical,0.0
7.959595959595959,460.0,12.35847555853912,kriging,,,spherical,0.0
8.06060606060606,460.0,15.174963230572315,kriging,,,spherical,0.0
8.161616161616163,460.0,24.46095198268806,kriging,,,spherical,0.0
8.262626262626263,460.0,30.76882065877478,kriging,,,spherical,0.0
8.363636363636363,460.0,35.71309313363736,kriging,,,spherical,0.0
8.464646464646464,460.0,39.80516760015706,kriging,,,spherical,0.0
8.565656565656566,460.0,43.287394511242205,kriging,,,spherical,0.0
8.666666666666668,460.0,46.29757770203221,kriging,,,spherical,0.0
8.767676767676768,460.0,48.92292065419459,kriging,,,spherical,0.0
8.868686868686869,460.0,51.22262424433705,kriging,,,spherical,0.0
8.969696969696969,460.0,53.238898181990464,kriging,,,spherical,0.0
9.070707070707071,460.0,55.00291560454949,kriging,,,spherical,0.0
9.171717171717171,460.0,56.53828833543701,kriging,,,spherical,0.0
9.272727272727273,460.0,57.863216111992855,kriging,,,spherical,0.0
9.373737373737374,460.0,58.991876572084195,kriging,,,spherical,0.0
9.474747474747474,460.0,59.93535561709734,kriging,,,spherical,0.0
9.575757575757574,460.0,60.70228598317982,kriging,,,spherical,0.0
9.676767676767676,460.0,61.299292469413324,kriging,,,spherical,0.0
9.777777777777779,460.0,61.73130365806726,kriging,,,spherical,0.0
9.878787878787879,460.0,62.00176736830193,kriging,,,spherical,0.0
9.97979797979798,460.0,62.11279319382054,kriging,,,spherical,0.0
10.080808080808081,460.0,62.06523644064141,kriging,,,spherical,0.0
