Time,Temperature,HV_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,0.058319635394316144,kriging,,,gaussian,0.0
2.101010101010101,460.0,0.054810360391926334,kriging,,,gaussian,0.0
2.202020202020202,460.0,0.05209628638374897,kriging,,,gaussian,0.0
2.303030303030303,460.0,0.048863586209407235,kriging,,,gaussian,0.0
2.404040404040404,460.0,0.0463769871140687,kriging,,,gaussian,0.0
2.505050505050505,460.0,0.04484543856305786,kriging,,,gaussian,0.0
2.606060606060606,460.0,0.045133519262284635,kriging,,,gaussian,0.0
2.707070707070707,460.0,0.03996506154945672,kriging,,,gaussian,0.0
2.808080808080808,460.0,0.0370273980144558,kriging,,,gaussian,0.0
2.909090909090909,460.0,0.03521455290815379,kriging,,,gaussian,0.0
3.0101010101010104,460.0,0.036091851614791434,kriging,,,gaussian,0.0
3.111111111111111,460.0,0.03064588506671028,kriging,,,gaussian,0.0
3.212121212121212,460.0,0.02927498061417236,kriging,,,gaussian,0.0
3.313131313131313,460.0,0.024302909178040694,kriging,,,gaussian,0.0
3.4141414141414144,460.0,0.026117997443599727,kriging,,,gaussian,0.0
3.515151515151515,460.0,0.02673056576549811,kriging,,,gaussian,0.0
3.616161616161616,460.0,0.02824704212907104,kriging,,,gaussian,0.0
3.717171717171717,460.0,0.0268242815097398,kriging,,,gaussian,0.0
3.8181818181818183,460.0,0.020069027825970392,kriging,,,gaussian,0.0
3.919191919191919,460.0,0.021182828285321708,kriging,,,gaussian,0.0
4.020202020202021,460.0,0.023512204776083095,kriging,,,gaussian,0.0
4.121212121212121,460.0,0.021482532987230223,kriging,,,gaussian,0.0
4.222222222222222,460.0,0.020462836885100876,kriging,,,gaussian,0.0
4.3232323232323235,460.0,0.012390476541310294,kriging,,,gaussian,0.0
4.424242424242424,460.0,0.012286407562648021,kriging,,,gaussian,0.0
4.525252525252525,460.0,0.013419100931639793,kriging,,,gaussian,0.0
4.626262626262626,460.0,0.017204577197412984,kriging,,,gaussian,0.0
4.727272727272727,460.0,0.017928471815005453,kriging,,,gaussian,0.0
4.828282828282829,460.0,0.01213456482322211,kriging,,,gaussian,0.0
4.929292929292929,460.0,0.010212190449061161,kriging,,,gaussian,0.0
5.03030303030303,460.0,0.018205142251595422,kriging,,,gaussian,0.0
5.1313131313131315,460.0,0.005581618643627692,kriging,,,gaussian,0.0
5.232323232323232,460.0,0.013218399185771052,kriging,,,gaussian,0.0
5.333333333333334,460.0,0.007888859818545998,kriging,,,gaussian,0.0
5.434343434343434,460.0,0.011472124850114465,kriging,,,gaussian,0.0
5.5353535353535355,460.0,0.010279260329709092,kriging,,,gaussian,0.0
5.636363636363637,460.0,0.015593790927781664,kriging,,,gaussian,0.0
5.737373737373737,460.0,0.008579234955765338,kriging,,,gaussian,0.0
5.838383838383838,460.0,0.008833938890296216,kriging,,,gaussian,0.0
5.9393939393939394,460.0,0.011516186191725723,kriging,,,gaussian,0.0
6.040404040404041,460.0,0.01681362308178497,kriging,,,gaussian,0.0
6.141414141414141,460.0,0.0,kriging,,,gaussian,0.0
6.242424242424242,460.0,0.014278110551956744,kriging,,,gaussian,0.0
6.343434343434343,460.0,0.009116938803361983,kriging,,,gaussian,0.0
6.444444444444445,460.0,0.016874989907040543,kriging,,,gaussian,0.0
6.545454545454545,460.0,0.01566945759611174,kriging,,,gaussian,0.0
6.646464646464646,460.0,0.0048918152296010264,kriging,,,gaussian,0.0
6.747474747474747,460.0,0.02134400501816097,kriging,,,gaussian,0.0
6.848484848484849,460.0,0.016680767011503454,kriging,,,gaussian,0.0
6.94949494949495,460.0,0.012134023636309655,kriging,,,gaussian,0.0
7.05050505050505,460.0,0.013388404847461725,kriging,,,gaussian,0.0
7.151515151515151,460.0,0.01963253777938979,kriging,,,gaussian,0.0
7.252525252525253,460.0,0.020130019921107238,kriging,,,gaussian,0.0
7.353535353535354,460.0,0.012342056273573768,kriging,,,gaussian,0.0
7.454545454545454,460.0,0.016327832061897585,kriging,,,gaussian,0.0
7.555555555555555,460.0,0.01355788698758796,kriging,,,gaussian,0.0
7.656565656565657,460.0,0.0,kriging,,,gaussian,0.0
7.757575757575758,460.0,0.0164196501376209,kriging,,,gaussian,0.0
7.858585858585858,460.0,0.01420049463121519,kriging,,,gaussian,0.0
7.959595959595959,460.0,0.01384583513854761,kriging,,,gaussian,0.0
8.06060606060606,460.0,0.01228147654242512,kriging,,,gaussian,0.0
8.161616161616163,460.0,0.005489571902809201,kriging,,,gaussian,0.0
8.262626262626263,460.0,0.012049086513771661,kriging,,,gaussian,0.0
8.363636363636363,460.0,0.007106570863785881,kriging,,,gaussian,0.0
8.464646464646464,460.0,0.006896646615587185,kriging,,,gaussian,0.0
8.565656565656566,460.0,0.005812651028974178,kriging,,,gaussian,0.0
8.666666666666668,460.0,0.01769962871166567,kriging,,,gaussian,0.0
8.767676767676768,460.0,0.00947986833675771,kriging,,,gaussian,0.0
8.868686868686869,460.0,0.0026351347386671916,kriging,,,gaussian,0.0
8.969696969696969,460.0,0.011407704734861995,kriging,,,gaussian,0.0
9.070707070707071,460.0,0.008377735129261961,kriging,,,gaussian,0.0
9.171717171717171,460.0,0.013511150609388588,kriging,,,gaussian,0.0
9.272727272727273,460.0,0.011627494639720218,kriging,,,gaussian,0.0
9.373737373737374,460.0,0.011434058619262517,kriging,,,gaussian,0.0
9.474747474747474,460.0,0.008939223584565784,kriging,,,gaussian,0.0
9.575757575757574,460.0,0.013464462657050154,kriging,,,gaussian,0.0
9.676767676767676,460.0,0.017030538052062304,kriging,,,gaussian,0.0
9.777777777777779,460.0,0.012363139484728834,kriging,,,gaussian,0.0
9.878787878787879,460.0,0.009078898405716735,kriging,,,gaussian,0.0
9.97979797979798,460.0,0.015033210874506405,kriging,,,gaussian,0.0
10.080808080808081,460.0,0.013446705869362287,kriging,,,gaussian,0.0
10.181818181818182,460.0,0.013160753530781182,kriging,,,gaussian,0.0
10.282828282828282,460.0,0.012055894013303413,kriging,,,gaussian,0.0
10.383838383838384,460.0,0.014947258790604124,kriging,,,gaussian,0.0
10.484848484848484,460.0,0.0,kriging,,,gaussian,0.0
10.585858585858587,460.0,0.01734006237977631,kriging,,,gaussian,0.0
10.686868686868687,460.0,0.01889453675495163,kriging,,,gaussian,0.0
