Time,Temperature,HV_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,29.22560700062618,kriging,,,exponential,0.0
2.101010101010101,460.0,28.88685222323136,kriging,,,exponential,0.0
2.202020202020202,460.0,28.542511905590363,kriging,,,exponential,0.0
2.303030303030303,460.0,28.19237040649966,kriging,,,exponential,0.0
2.404040404040404,460.0,27.83619762611027,kriging,,,exponential,0.0
2.505050505050505,460.0,27.473747588460725,kriging,,,exponential,0.0
2.606060606060606,460.0,27.10475683913699,kriging,,,exponential,0.0
2.707070707070707,460.0,26.728942627649285,kriging,,,exponential,0.0
2.808080808080808,460.0,26.346000837996957,kriging,,,exponential,0.0
2.909090909090909,460.0,25.955603623353678,kriging,,,exponential,0.0
3.0101010101010104,460.0,25.55739669134133,kriging,,,exponential,0.0
3.111111111111111,460.0,25.15099617456085,kriging,,,exponential,0.0
3.212121212121212,460.0,24.73598500604045,kriging,,,exponential,0.0
3.313131313131313,460.0,24.311908700210715,kriging,,,exponential,0.0
3.4141414141414144,460.0,23.878270415491002,kriging,,,exponential,0.0
3.515151515151515,460.0,23.434525142834442,kriging,,,exponential,0.0
3.616161616161616,460.0,22.980072823010534,kriging,,,exponential,0.0
3.717171717171717,460.0,22.51425014054256,kriging,,,exponential,0.0
3.8181818181818183,460.0,22.03632066885305,kriging,,,exponential,0.0
3.919191919191919,460.0,21.545462942111765,kriging,,,exponential,0.0
4.020202020202021,460.0,21.040755893560206,kriging,,,exponential,0.0
4.121212121212121,460.0,20.521160911793668,kriging,,,exponential,0.0
4.222222222222222,460.0,19.98549950103716,kriging,,,exponential,0.0
4.3232323232323235,460.0,19.432425151050555,kriging,,,exponential,0.0
4.424242424242424,460.0,18.860387467009545,kriging,,,exponential,0.0
4.525252525252525,460.0,18.267585782323184,kriging,,,exponential,0.0
4.626262626262626,460.0,17.651908216102097,kriging,,,exponential,0.0
4.727272727272727,460.0,17.010850164391066,kriging,,,exponential,0.0
4.828282828282829,460.0,16.34140303807221,kriging,,,exponential,0.0
4.929292929292929,460.0,15.639898773494334,kriging,,,exponential,0.0
5.03030303030303,460.0,14.901786497728555,kriging,,,exponential,0.0
5.1313131313131315,460.0,14.121301189813918,kriging,,,exponential,0.0
5.232323232323232,460.0,13.290952627168199,kriging,,,exponential,0.0
5.333333333333334,460.0,12.40069873134588,kriging,,,exponential,0.0
5.434343434343434,460.0,11.436526142933396,kriging,,,exponential,0.0
5.5353535353535355,460.0,10.377816850064113,kriging,,,exponential,0.0
5.636363636363637,460.0,9.191922516826956,kriging,,,exponential,0.0
5.737373737373737,460.0,7.821154060513007,kriging,,,exponential,0.0
5.838383838383838,460.0,6.1429115503435625,kriging,,,exponential,0.0
5.9393939393939394,460.0,3.7663531572636693,kriging,,,exponential,0.0
6.040404040404041,460.0,3.046211990425236,kriging,,,exponential,0.0
6.141414141414141,460.0,5.550036421961794,kriging,,,exponential,0.0
6.242424242424242,460.0,7.066388271273887,kriging,,,exponential,0.0
6.343434343434343,460.0,8.165329005745237,kriging,,,exponential,0.0
6.444444444444445,460.0,9.001082980690747,kriging,,,exponential,0.0
6.545454545454545,460.0,9.642344864219863,kriging,,,exponential,0.0
6.646464646464646,460.0,10.126143893854328,kriging,,,exponential,0.0
6.747474747474747,460.0,10.474330937447291,kriging,,,exponential,0.0
6.848484848484849,460.0,10.700159335288156,kriging,,,exponential,0.0
6.94949494949495,460.0,10.811303674751578,kriging,,,exponential,0.0
7.05050505050505,460.0,10.811303681462128,kriging,,,exponential,0.0
7.151515151515151,460.0,10.7001593548055,kriging,,,exponential,0.0
7.252525252525253,460.0,10.474330967958775,kriging,,,exponential,0.0
7.353535353535354,460.0,10.126143932447256,kriging,,,exponential,0.0
7.454545454545454,460.0,9.642344907057906,kriging,,,exponential,0.0
7.555555555555555,460.0,9.001083023276667,kriging,,,exponential,0.0
7.656565656565657,460.0,8.165329043313509,kriging,,,exponential,0.0
7.757575757575758,460.0,7.066388299366412,kriging,,,exponential,0.0
7.858585858585858,460.0,5.5500364373839375,kriging,,,exponential,0.0
7.959595959595959,460.0,3.046211993275346,kriging,,,exponential,0.0
8.06060606060606,460.0,3.7403853734532326,kriging,,,exponential,0.0
8.161616161616163,460.0,6.029016755217748,kriging,,,exponential,0.0
8.262626262626263,460.0,7.583492328887506,kriging,,,exponential,0.0
8.363636363636363,460.0,8.801809521919697,kriging,,,exponential,0.0
8.464646464646464,460.0,9.810042459859742,kriging,,,exponential,0.0
8.565656565656566,460.0,10.667941850274994,kriging,,,exponential,0.0
8.666666666666668,460.0,11.409485443989636,kriging,,,exponential,0.0
8.767676767676768,460.0,12.056176405819123,kriging,,,exponential,0.0
8.868686868686869,460.0,12.622614049075956,kriging,,,exponential,0.0
8.969696969696969,460.0,13.119208410309781,kriging,,,exponential,0.0
9.070707070707071,460.0,13.553648231213957,kriging,,,exponential,0.0
9.171717171717171,460.0,13.9317577329671,kriging,,,exponential,0.0
9.272727272727273,460.0,14.258026490522429,kriging,,,exponential,0.0
9.373737373737374,460.0,14.535952130880988,kriging,,,exponential,0.0
9.474747474747474,460.0,14.768269717779711,kriging,,,exponential,0.0
9.575757575757574,460.0,14.957109197663042,kriging,,,exponential,0.0
9.676767676767676,460.0,15.104105177467838,kriging,,,exponential,0.0
9.777777777777779,460.0,15.210473785485865,kriging,,,exponential,0.0
9.878787878787879,460.0,15.277065796703997,kriging,,,exponential,0.0
9.97979797979798,460.0,15.304401779400507,kriging,,,exponential,0.0
10.080808080808081,460.0,15.292692792522237,kriging,,,exponential,0.0
