Time,Temperature,R_bar_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,0.026087940800948315,kriging,,,exponential,0.0
2.101010101010101,460.0,0.02608794080094829,kriging,,,exponential,0.0
2.202020202020202,460.0,0.02608794080094824,kriging,,,exponential,0.0
2.303030303030303,460.0,0.026087940800948128,kriging,,,exponential,0.0
2.404040404040404,460.0,0.026087940800947867,kriging,,,exponential,0.0
2.505050505050505,460.0,0.026087940800947295,kriging,,,exponential,0.0
2.606060606060606,460.0,0.026087940800945994,kriging,,,exponential,0.0
2.707070707070707,460.0,0.02608794080094307,kriging,,,exponential,0.0
2.808080808080808,460.0,0.02608794080093649,kriging,,,exponential,0.0
2.909090909090909,460.0,0.026087940800921663,kriging,,,exponential,0.0
3.0101010101010104,460.0,0.02608794080088829,kriging,,,exponential,0.0
3.111111111111111,460.0,0.02608794080081313,kriging,,,exponential,0.0
3.212121212121212,460.0,0.026087940800643916,kriging,,,exponential,0.0
3.313131313131313,460.0,0.0260879408002629,kriging,,,exponential,0.0
3.4141414141414144,460.0,0.026087940799405004,kriging,,,exponential,0.0
3.515151515151515,460.0,0.02608794079747335,kriging,,,exponential,0.0
3.616161616161616,460.0,0.026087940793124,kriging,,,exponential,0.0
3.717171717171717,460.0,0.026087940783330932,kriging,,,exponential,0.0
3.8181818181818183,460.0,0.026087940761280674,kriging,,,exponential,0.0
3.919191919191919,460.0,0.026087940711631938,kriging,,,exponential,0.0
4.020202020202021,460.0,0.026087940599841885,kriging,,,exponential,0.0
4.121212121212121,460.0,0.026087940348133047,kriging,,,exponential,0.0
4.222222222222222,460.0,0.026087939781379046,kriging,,,exponential,0.0
4.3232323232323235,460.0,0.026087938505255714,kriging,,,exponential,0.0
4.424242424242424,460.0,0.026087935631862742,kriging,,,exponential,0.0
4.525252525252525,460.0,0.026087929161820355,kriging,,,exponential,0.0
4.626262626262626,460.0,0.026087914592438585,kriging,,,exponential,0.0
4.727272727272727,460.0,0.026087881781064887,kriging,,,exponential,0.0
4.828282828282829,460.0,0.0260878078684379,kriging,,,exponential,0.0
4.929292929292929,460.0,0.026087641273277572,kriging,,,exponential,0.0
5.03030303030303,460.0,0.026087265291670644,kriging,,,exponential,0.0
5.1313131313131315,460.0,0.026086414298578116,kriging,,,exponential,0.0
5.232323232323232,460.0,0.0260844757443554,kriging,,,exponential,0.0
5.333333333333334,460.0,0.02607999704758828,kriging,,,exponential,0.0
5.434343434343434,460.0,0.026069335350222142,kriging,,,exponential,0.0
5.5353535353535355,460.0,0.026042397488759965,kriging,,,exponential,0.0
5.636363636363637,460.0,0.025966819289984868,kriging,,,exponential,0.0
5.737373737373737,460.0,0.02572005922670314,kriging,,,exponential,0.0
5.838383838383838,460.0,0.02475909771348831,kriging,,,exponential,0.0
5.9393939393939394,460.0,0.02008619316584077,kriging,,,exponential,0.0
6.040404040404041,460.0,0.01754987785150963,kriging,,,exponential,0.0
6.141414141414141,460.0,0.02432919478323145,kriging,,,exponential,0.0
6.242424242424242,460.0,0.025619302411630157,kriging,,,exponential,0.0
6.343434343434343,460.0,0.025938515990287132,kriging,,,exponential,0.0
6.444444444444445,460.0,0.026033001219333864,kriging,,,exponential,0.0
6.545454545454545,460.0,0.026065774296419573,kriging,,,exponential,0.0
6.646464646464646,460.0,0.026078513423944762,kriging,,,exponential,0.0
6.747474747474747,460.0,0.02608378534269862,kriging,,,exponential,0.0
6.848484848484849,460.0,0.02608598698204299,kriging,,,exponential,0.0
6.94949494949495,460.0,0.026086793590381407,kriging,,,exponential,0.0
7.05050505050505,460.0,0.0260867935903814,kriging,,,exponential,0.0
7.151515151515151,460.0,0.026085986982042994,kriging,,,exponential,0.0
7.252525252525253,460.0,0.02608378534269862,kriging,,,exponential,0.0
7.353535353535354,460.0,0.02607851342394477,kriging,,,exponential,0.0
7.454545454545454,460.0,0.026065774296419573,kriging,,,exponential,0.0
7.555555555555555,460.0,0.026033001219333864,kriging,,,exponential,0.0
7.656565656565657,460.0,0.025938515990287132,kriging,,,exponential,0.0
7.757575757575758,460.0,0.025619302411630154,kriging,,,exponential,0.0
7.858585858585858,460.0,0.024329194783231464,kriging,,,exponential,0.0
7.959595959595959,460.0,0.017549877851509632,kriging,,,exponential,0.0
8.06060606060606,460.0,0.020086193165840763,kriging,,,exponential,0.0
8.161616161616163,460.0,0.024759097713488276,kriging,,,exponential,0.0
8.262626262626263,460.0,0.025720059226703007,kriging,,,exponential,0.0
8.363636363636363,460.0,0.02596681928998455,kriging,,,exponential,0.0
8.464646464646464,460.0,0.026042397488759233,kriging,,,exponential,0.0
8.565656565656566,460.0,0.02606933535022047,kriging,,,exponential,0.0
8.666666666666668,460.0,0.0260799970475845,kriging,,,exponential,0.0
8.767676767676768,460.0,0.026084475744346858,kriging,,,exponential,0.0
8.868686868686869,460.0,0.02608641429855886,kriging,,,exponential,0.0
8.969696969696969,460.0,0.026087265291627255,kriging,,,exponential,0.0
9.070707070707071,460.0,0.02608764127317987,kriging,,,exponential,0.0
9.171717171717171,460.0,0.026087807868217898,kriging,,,exponential,0.0
9.272727272727273,460.0,0.026087881780569495,kriging,,,exponential,0.0
9.373737373737374,460.0,0.02608791459132313,kriging,,,exponential,0.0
9.474747474747474,460.0,0.026087929159308743,kriging,,,exponential,0.0
9.575757575757574,460.0,0.026087935626207537,kriging,,,exponential,0.0
9.676767676767676,460.0,0.02608793849252234,kriging,,,exponential,0.0
9.777777777777779,460.0,0.02608793975270834,kriging,,,exponential,0.0
