Time,Temperature,v,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,0.31316315651004695,kriging,,,exponential,0.0
2.101010101010101,460.0,0.31316683925471395,kriging,,,exponential,0.0
2.202020202020202,460.0,0.3131705487069619,kriging,,,exponential,0.0
2.303030303030303,460.0,0.31317428523283475,kriging,,,exponential,0.0
2.404040404040404,460.0,0.31317804920299414,kriging,,,exponential,0.0
2.505050505050505,460.0,0.31318184099274615,kriging,,,exponential,0.0
2.606060606060606,460.0,0.3131856609820649,kriging,,,exponential,0.0
2.707070707070707,460.0,0.3131895095556235,kriging,,,exponential,0.0
2.808080808080808,460.0,0.31319338710281913,kriging,,,exponential,0.0
2.909090909090909,460.0,0.31319729401780066,kriging,,,exponential,0.0
3.0101010101010104,460.0,0.3132012306994972,kriging,,,exponential,0.0
3.111111111111111,460.0,0.3132051975516435,kriging,,,exponential,0.0
3.212121212121212,460.0,0.3132091949828081,kriging,,,exponential,0.0
3.313131313131313,460.0,0.31321322340642094,kriging,,,exponential,0.0
3.4141414141414144,460.0,0.3132172832408022,kriging,,,exponential,0.0
3.515151515151515,460.0,0.31322137490918694,kriging,,,exponential,0.0
3.616161616161616,460.0,0.3132254988397554,kriging,,,exponential,0.0
3.717171717171717,460.0,0.31322965546566073,kriging,,,exponential,0.0
3.8181818181818183,460.0,0.31323384522505426,kriging,,,exponential,0.0
3.919191919191919,460.0,0.3132380685611194,kriging,,,exponential,0.0
4.020202020202021,460.0,0.3132423259220932,kriging,,,exponential,0.0
4.121212121212121,460.0,0.31324661776129975,kriging,,,exponential,0.0
4.222222222222222,460.0,0.3132509445371749,kriging,,,exponential,0.0
4.3232323232323235,460.0,0.31325530671330065,kriging,,,exponential,0.0
4.424242424242424,460.0,0.313259704758428,kriging,,,exponential,0.0
4.525252525252525,460.0,0.3132641391465101,kriging,,,exponential,0.0
4.626262626262626,460.0,0.31326861035673154,kriging,,,exponential,0.0
4.727272727272727,460.0,0.31327311887353415,kriging,,,exponential,0.0
4.828282828282829,460.0,0.3132776651866539,kriging,,,exponential,0.0
4.929292929292929,460.0,0.313282249791144,kriging,,,exponential,0.0
5.03030303030303,460.0,0.31328687318740955,kriging,,,exponential,0.0
5.1313131313131315,460.0,0.31329153588123776,kriging,,,exponential,0.0
5.232323232323232,460.0,0.313296238383827,kriging,,,exponential,0.0
5.333333333333334,460.0,0.3133009812118211,kriging,,,exponential,0.0
5.434343434343434,460.0,0.31330576488733797,kriging,,,exponential,0.0
5.5353535353535355,460.0,0.3133105899380048,kriging,,,exponential,0.0
5.636363636363637,460.0,0.31331545689698653,kriging,,,exponential,0.0
5.737373737373737,460.0,0.3133203663030217,kriging,,,exponential,0.0
5.838383838383838,460.0,0.31332531870045466,kriging,,,exponential,0.0
5.9393939393939394,460.0,0.3133303146392676,kriging,,,exponential,0.0
6.040404040404041,460.0,0.31319931181453514,kriging,,,exponential,0.0
6.141414141414141,460.0,0.3128642757746384,kriging,,,exponential,0.0
6.242424242424242,460.0,0.31252923968329455,kriging,,,exponential,0.0
6.343434343434343,460.0,0.3121941717680346,kriging,,,exponential,0.0
6.444444444444445,460.0,0.3118590402548169,kriging,,,exponential,0.0
6.545454545454545,460.0,0.31152381336499313,kriging,,,exponential,0.0
6.646464646464646,460.0,0.3111884593122637,kriging,,,exponential,0.0
6.747474747474747,460.0,0.31085294629963606,kriging,,,exponential,0.0
6.848484848484849,460.0,0.3105172425163838,kriging,,,exponential,0.0
6.94949494949495,460.0,0.3101813161350008,kriging,,,exponential,0.0
7.05050505050505,460.0,0.3098451353081554,kriging,,,exponential,0.0
7.151515151515151,460.0,0.30950866816564304,kriging,,,exponential,0.0
7.252525252525253,460.0,0.3091718828113377,kriging,,,exponential,0.0
7.353535353535354,460.0,0.30883474732013483,kriging,,,exponential,0.0
7.454545454545454,460.0,0.30849722973490046,kriging,,,exponential,0.0
7.555555555555555,460.0,0.3081592980634113,kriging,,,exponential,0.0
7.656565656565657,460.0,0.30782092027529256,kriging,,,exponential,0.0
7.757575757575758,460.0,0.3074820642989509,kriging,,,exponential,0.0
7.858585858585858,460.0,0.3071426980185096,kriging,,,exponential,0.0
7.959595959595959,460.0,0.306802789270731,kriging,,,exponential,0.0
8.06060606060606,460.0,0.3069197961978995,kriging,,,exponential,0.0
8.161616161616163,460.0,0.3073412322821789,kriging,,,exponential,0.0
8.262626262626263,460.0,0.30776214510213246,kriging,,,exponential,0.0
8.363636363636363,460.0,0.308182574791606,kriging,,,exponential,0.0
8.464646464646464,460.0,0.3086025614395708,kriging,,,exponential,0.0
8.565656565656566,460.0,0.30902214509391696,kriging,,,exponential,0.0
8.666666666666668,460.0,0.3094413657652394,kriging,,,exponential,0.0
8.767676767676768,460.0,0.3098602634306256,kriging,,,exponential,0.0
8.868686868686869,460.0,0.31027887803743537,kriging,,,exponential,0.0
8.969696969696969,460.0,0.3106972495070817,kriging,,,exponential,0.0
9.070707070707071,460.0,0.31111541773880647,kriging,,,exponential,0.0
9.171717171717171,460.0,0.3115334226134518,kriging,,,exponential,0.0
9.272727272727273,460.0,0.3119513039972419,kriging,,,exponential,0.0
9.373737373737374,460.0,0.3123691017455448,kriging,,,exponential,0.0
9.474747474747474,460.0,0.31278685570664844,kriging,,,exponential,0.0
9.575757575757574,460.0,0.31320460572553105,kriging,,,exponential,0.0
9.676767676767676,460.0,0.3136223916476286,kriging,,,exponential,0.0
9.777777777777779,460.0,0.31404025332260516,kriging,,,exponential,0.0
9.878787878787879,460.0,0.3144582306081261,kriging,,,exponential,0.0
