Time,Temperature,At_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,2.132926086134958,kriging,,,exponential,0.0
2.101010101010101,460.0,2.1082032839193827,kriging,,,exponential,0.0
2.202020202020202,460.0,2.083072841085859,kriging,,,exponential,0.0
2.303030303030303,460.0,2.057519019834778,kriging,,,exponential,0.0
2.404040404040404,460.0,2.0315250271540872,kriging,,,exponential,0.0
2.505050505050505,460.0,2.0050729113706045,kriging,,,exponential,0.0
2.606060606060606,460.0,1.978143445209032,kriging,,,exponential,0.0
2.707070707070707,460.0,1.9507159931391498,kriging,,,exponential,0.0
2.808080808080808,460.0,1.922768360345708,kriging,,,exponential,0.0
2.909090909090909,460.0,1.8942766201040373,kriging,,,exponential,0.0
3.0101010101010104,460.0,1.865214915655975,kriging,,,exponential,0.0
3.111111111111111,460.0,1.8355552318163182,kriging,,,exponential,0.0
3.212121212121212,460.0,1.8052671304484242,kriging,,,exponential,0.0
3.313131313131313,460.0,1.7743174425532977,kriging,,,exponential,0.0
3.4141414141414144,460.0,1.7426699079304575,kriging,,,exponential,0.0
3.515151515151515,460.0,1.710284751049764,kriging,,,exponential,0.0
3.616161616161616,460.0,1.6771181787409413,kriging,,,exponential,0.0
3.717171717171717,460.0,1.6431217813033174,kriging,,,exponential,0.0
3.8181818181818183,460.0,1.6082418132849596,kriging,,,exponential,0.0
3.919191919191919,460.0,1.572418322949081,kriging,,,exponential,0.0
4.020202020202021,460.0,1.535584089542433,kriging,,,exponential,0.0
4.121212121212121,460.0,1.497663313737498,kriging,,,exponential,0.0
4.222222222222222,460.0,1.458569987247711,kriging,,,exponential,0.0
4.3232323232323235,460.0,1.4182058398534723,kriging,,,exponential,0.0
4.424242424242424,460.0,1.3764577215503193,kriging,,,exponential,0.0
4.525252525252525,460.0,1.333194217146606,kriging,,,exponential,0.0
4.626262626262626,460.0,1.2882611985916113,kriging,,,exponential,0.0
4.727272727272727,460.0,1.2414758763503528,kriging,,,exponential,0.0
4.828282828282829,460.0,1.192618679338699,kriging,,,exponential,0.0
4.929292929292929,460.0,1.141421907089587,kriging,,,exponential,0.0
5.03030303030303,460.0,1.0875534304675853,kriging,,,exponential,0.0
5.1313131313131315,460.0,1.030592510098627,kriging,,,exponential,0.0
5.232323232323232,460.0,0.9699924989572934,kriging,,,exponential,0.0
5.333333333333334,460.0,0.9050205119719354,kriging,,,exponential,0.0
5.434343434343434,460.0,0.8346538343758185,kriging,,,exponential,0.0
5.5353535353535355,460.0,0.7573877345359341,kriging,,,exponential,0.0
5.636363636363637,460.0,0.6708394907745467,kriging,,,exponential,0.0
5.737373737373737,460.0,0.5707988723380023,kriging,,,exponential,0.0
5.838383838383838,460.0,0.4483183630803588,kriging,,,exponential,0.0
5.9393939393939394,460.0,0.2748737741720421,kriging,,,exponential,0.0
6.040404040404041,460.0,0.22231685446725416,kriging,,,exponential,0.0
6.141414141414141,460.0,0.40504949865199674,kriging,,,exponential,0.0
6.242424242424242,460.0,0.5157149987763978,kriging,,,exponential,0.0
6.343434343434343,460.0,0.5959172460596088,kriging,,,exponential,0.0
6.444444444444445,460.0,0.656911751826891,kriging,,,exponential,0.0
6.545454545454545,460.0,0.7037119500022999,kriging,,,exponential,0.0
6.646464646464646,460.0,0.739020286651465,kriging,,,exponential,0.0
6.747474747474747,460.0,0.7644314689792263,kriging,,,exponential,0.0
6.848484848484849,460.0,0.7809127444831696,kriging,,,exponential,0.0
6.94949494949495,460.0,0.789024215391607,kriging,,,exponential,0.0
7.05050505050505,460.0,0.7890242158813379,kriging,,,exponential,0.0
7.151515151515151,460.0,0.780912745907485,kriging,,,exponential,0.0
7.252525252525253,460.0,0.7644314712059784,kriging,,,exponential,0.0
7.353535353535354,460.0,0.7390202894680884,kriging,,,exponential,0.0
7.454545454545454,460.0,0.7037119531286884,kriging,,,exponential,0.0
7.555555555555555,460.0,0.6569117549349185,kriging,,,exponential,0.0
7.656565656565657,460.0,0.5959172488013876,kriging,,,exponential,0.0
7.757575757575758,460.0,0.5157150008263907,kriging,,,exponential,0.0
7.858585858585858,460.0,0.405049499777513,kriging,,,exponential,0.0
7.959595959595959,460.0,0.2223168546753383,kriging,,,exponential,0.0
8.06060606060606,460.0,0.2729786086244016,kriging,,,exponential,0.0
8.161616161616163,460.0,0.44000616003205983,kriging,,,exponential,0.0
8.262626262626263,460.0,0.5534539834174378,kriging,,,exponential,0.0
8.363636363636363,460.0,0.6423684932908057,kriging,,,exponential,0.0
8.464646464646464,460.0,0.7159507574397078,kriging,,,exponential,0.0
8.565656565656566,460.0,0.7785614669130432,kriging,,,exponential,0.0
8.666666666666668,460.0,0.8326803659664136,kriging,,,exponential,0.0
8.767676767676768,460.0,0.8798767859457455,kriging,,,exponential,0.0
8.868686868686869,460.0,0.9212162053613348,kriging,,,exponential,0.0
8.969696969696969,460.0,0.957458363386674,kriging,,,exponential,0.0
9.070707070707071,460.0,0.9891643952525883,kriging,,,exponential,0.0
9.171717171717171,460.0,1.0167593608485948,kriging,,,exponential,0.0
9.272727272727273,460.0,1.0405709156972403,kriging,,,exponential,0.0
9.373737373737374,460.0,1.0608543215581907,kriging,,,exponential,0.0
9.474747474747474,460.0,1.0778091872468765,kriging,,,exponential,0.0
9.575757575757574,460.0,1.0915909592636799,kriging,,,exponential,0.0
9.676767676767676,460.0,1.1023189335321497,kriging,,,exponential,0.0
9.777777777777779,460.0,1.110081864813016,kriging,,,exponential,0.0
9.878787878787879,460.0,1.114941843866699,kriging,,,exponential,0.0
