Time,Temperature,E_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,2.7079116225400632,kriging,,,exponential,0.0
2.101010101010101,460.0,2.6765241478888893,kriging,,,exponential,0.0
2.202020202020202,460.0,2.644619142520513,kriging,,,exponential,0.0
2.303030303030303,460.0,2.612176626103292,kriging,,,exponential,0.0
2.404040404040404,460.0,2.5791752786333104,kriging,,,exponential,0.0
2.505050505050505,460.0,2.545592309098388,kriging,,,exponential,0.0
2.606060606060606,460.0,2.511403307012587,kriging,,,exponential,0.0
2.707070707070707,460.0,2.476582074003407,kriging,,,exponential,0.0
2.808080808080808,460.0,2.441100432067533,kriging,,,exponential,0.0
2.909090909090909,460.0,2.404928004411319,kriging,,,exponential,0.0
3.0101010101010104,460.0,2.368031963916752,kriging,,,exponential,0.0
3.111111111111111,460.0,2.330376743179244,kriging,,,exponential,0.0
3.212121212121212,460.0,2.291923698672917,kriging,,,exponential,0.0
3.313131313131313,460.0,2.2526307198350595,kriging,,,exponential,0.0
3.4141414141414144,460.0,2.2124517715878516,kriging,,,exponential,0.0
3.515151515151515,460.0,2.1713363558755554,kriging,,,exponential,0.0
3.616161616161616,460.0,2.1292288739432186,kriging,,,exponential,0.0
3.717171717171717,460.0,2.0860678660000147,kriging,,,exponential,0.0
3.8181818181818183,460.0,2.0417850981138734,kriging,,,exponential,0.0
3.919191919191919,460.0,1.9963044570025086,kriging,,,exponential,0.0
4.020202020202021,460.0,1.9495406008156198,kriging,,,exponential,0.0
4.121212121212121,460.0,1.9013972965513881,kriging,,,exponential,0.0
4.222222222222222,460.0,1.8517653501592575,kriging,,,exponential,0.0
4.3232323232323235,460.0,1.8005200001336072,kriging,,,exponential,0.0
4.424242424242424,460.0,1.747517593952193,kriging,,,exponential,0.0
4.525252525252525,460.0,1.6925912900507072,kriging,,,exponential,0.0
4.626262626262626,460.0,1.6355454111653982,kriging,,,exponential,0.0
4.727272727272727,460.0,1.5761478921022543,kriging,,,exponential,0.0
4.828282828282829,460.0,1.514119970697683,kriging,,,exponential,0.0
4.929292929292929,460.0,1.4491217808818238,kriging,,,exponential,0.0
5.03030303030303,460.0,1.3807316594980372,kriging,,,exponential,0.0
5.1313131313131315,460.0,1.3084154459638728,kriging,,,exponential,0.0
5.232323232323232,460.0,1.2314791303726214,kriging,,,exponential,0.0
5.333333333333334,460.0,1.1489922594768351,kriging,,,exponential,0.0
5.434343434343434,460.0,1.059656419224108,kriging,,,exponential,0.0
5.5353535353535355,460.0,0.9615612385495587,kriging,,,exponential,0.0
5.636363636363637,460.0,0.8516816713601042,kriging,,,exponential,0.0
5.737373737373737,460.0,0.7246725100247549,kriging,,,exponential,0.0
5.838383838383838,460.0,0.569174203398319,kriging,,,exponential,0.0
5.9393939393939394,460.0,0.3489731278781781,kriging,,,exponential,0.0
6.040404040404041,460.0,0.2822481275894695,kriging,,,exponential,0.0
6.141414141414141,460.0,0.5142410945382192,kriging,,,exponential,0.0
6.242424242424242,460.0,0.6547393499391432,kriging,,,exponential,0.0
6.343434343434343,460.0,0.7565621927391721,kriging,,,exponential,0.0
6.444444444444445,460.0,0.8339993492124352,kriging,,,exponential,0.0
6.545454545454545,460.0,0.8934157544033301,kriging,,,exponential,0.0
6.646464646464646,460.0,0.9382423687931092,kriging,,,exponential,0.0
6.747474747474747,460.0,0.9705037942664426,kriging,,,exponential,0.0
6.848484848484849,460.0,0.9914280249658899,kriging,,,exponential,0.0
6.94949494949495,460.0,1.0017261531999855,kriging,,,exponential,0.0
7.05050505050505,460.0,1.0017261538216933,kriging,,,exponential,0.0
7.151515151515151,460.0,0.9914280267742075,kriging,,,exponential,0.0
7.252525252525253,460.0,0.9705037970934443,kriging,,,exponential,0.0
7.353535353535354,460.0,0.9382423723689981,kriging,,,exponential,0.0
7.454545454545454,460.0,0.8934157583726516,kriging,,,exponential,0.0
7.555555555555555,460.0,0.8339993531582515,kriging,,,exponential,0.0
7.656565656565657,460.0,0.7565621962198897,kriging,,,exponential,0.0
7.757575757575758,460.0,0.654739352541905,kriging,,,exponential,0.0
7.858585858585858,460.0,0.5142410959673094,kriging,,,exponential,0.0
7.959595959595959,460.0,0.28224812785348563,kriging,,,exponential,0.0
8.06060606060606,460.0,0.3465670713128488,kriging,,,exponential,0.0
8.161616161616163,460.0,0.5586212304707301,kriging,,,exponential,0.0
8.262626262626263,460.0,0.702651856517364,kriging,,,exponential,0.0
8.363636363636363,460.0,0.8155355782099387,kriging,,,exponential,0.0
8.464646464646464,460.0,0.9089538497557564,kriging,,,exponential,0.0
8.565656565656566,460.0,0.9884428995547621,kriging,,,exponential,0.0
8.666666666666668,460.0,1.0571509512299864,kriging,,,exponential,0.0
8.767676767676768,460.0,1.1170703900867622,kriging,,,exponential,0.0
8.868686868686869,460.0,1.1695539219973188,kriging,,,exponential,0.0
8.969696969696969,460.0,1.2155660935304018,kriging,,,exponential,0.0
9.070707070707071,460.0,1.255819308469498,kriging,,,exponential,0.0
9.171717171717171,460.0,1.2908532126196464,kriging,,,exponential,0.0
9.272727272727273,460.0,1.321083789546115,kriging,,,exponential,0.0
9.373737373737374,460.0,1.3468351134352152,kriging,,,exponential,0.0
9.474747474747474,460.0,1.3683606028346873,kriging,,,exponential,0.0
9.575757575757574,460.0,1.3858576088801369,kriging,,,exponential,0.0
9.676767676767676,460.0,1.399477586804619,kriging,,,exponential,0.0
9.777777777777779,460.0,1.4093332175164173,kriging,,,exponential,0.0
9.878787878787879,460.0,1.415503329950373,kriging,,,exponential,0.0
