Time,Temperature,HV_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,31.613778763120585,kriging,,,spherical,0.0
2.101010101010101,460.0,31.226461820964555,kriging,,,spherical,0.0
2.202020202020202,460.0,30.833601953680738,kriging,,,spherical,0.0
2.303030303030303,460.0,30.434978532964983,kriging,,,spherical,0.0
2.404040404040404,460.0,30.030355948747463,kriging,,,spherical,0.0
2.505050505050505,460.0,29.619482132973978,kriging,,,spherical,0.0
2.606060606060606,460.0,29.20208689031295,kriging,,,spherical,0.0
2.707070707070707,460.0,28.777880004008598,kriging,,,spherical,0.0
2.808080808080808,460.0,28.346549078638212,kriging,,,spherical,0.0
2.909090909090909,460.0,27.907757073674507,kriging,,,spherical,0.0
3.0101010101010104,460.0,27.461139471821234,kriging,,,spherical,0.0
3.111111111111111,460.0,27.006301013738813,kriging,,,spherical,0.0
3.212121212121212,460.0,26.54281191501567,kriging,,,spherical,0.0
3.313131313131313,460.0,26.07020346134452,kriging,,,spherical,0.0
3.4141414141414144,460.0,25.587962852058254,kriging,,,spherical,0.0
3.515151515151515,460.0,25.095527129018137,kriging,,,spherical,0.0
3.616161616161616,460.0,24.59227598413588,kriging,,,spherical,0.0
3.717171717171717,460.0,24.07752318140065,kriging,,,spherical,0.0
3.8181818181818183,460.0,23.550506252224345,kriging,,,spherical,0.0
3.919191919191919,460.0,23.010374019053877,kriging,,,spherical,0.0
4.020202020202021,460.0,22.456171359796134,kriging,,,spherical,0.0
4.121212121212121,460.0,21.88682042796551,kriging,,,spherical,0.0
4.222222222222222,460.0,21.301097264875253,kriging,,,spherical,0.0
4.3232323232323235,460.0,20.697602340892438,kriging,,,spherical,0.0
4.424242424242424,460.0,20.07472297968908,kriging,,,spherical,0.0
4.525252525252525,460.0,19.43058475064935,kriging,,,spherical,0.0
4.626262626262626,460.0,18.762987589917472,kriging,,,spherical,0.0
4.727272727272727,460.0,18.069320338431435,kriging,,,spherical,0.0
4.828282828282829,460.0,17.346444048401036,kriging,,,spherical,0.0
4.929292929292929,460.0,16.59052885426173,kriging,,,spherical,0.0
5.03030303030303,460.0,15.796819594063571,kriging,,,spherical,0.0
5.1313131313131315,460.0,14.95928798112694,kriging,,,spherical,0.0
5.232323232323232,460.0,14.070095954768819,kriging,,,spherical,0.0
5.333333333333334,460.0,13.11872736070963,kriging,,,spherical,0.0
5.434343434343434,460.0,12.090496529794523,kriging,,,spherical,0.0
5.5353535353535355,460.0,10.963780488775107,kriging,,,spherical,0.0
5.636363636363637,460.0,9.704314574230283,kriging,,,spherical,0.0
5.737373737373737,460.0,8.251509344865784,kriging,,,spherical,0.0
5.838383838383838,460.0,6.476505288695543,kriging,,,spherical,0.0
5.9393939393939394,460.0,3.968179176909992,kriging,,,spherical,0.0
6.040404040404041,460.0,3.2081582102018444,kriging,,,spherical,0.0
6.141414141414141,460.0,5.845194413969917,kriging,,,spherical,0.0
6.242424242424242,460.0,7.442301618313411,kriging,,,spherical,0.0
6.343434343434343,460.0,8.599818220220472,kriging,,,spherical,0.0
6.444444444444445,460.0,9.480152653629833,kriging,,,spherical,0.0
6.545454545454545,460.0,10.155641863859165,kriging,,,spherical,0.0
6.646464646464646,460.0,10.665276837941551,kriging,,,spherical,0.0
6.747474747474747,460.0,11.032065224326443,kriging,,,spherical,0.0
6.848484848484849,460.0,11.269961565179587,kriging,,,spherical,0.0
6.94949494949495,460.0,11.387046305620292,kriging,,,spherical,0.0
7.05050505050505,460.0,11.38704631066637,kriging,,,spherical,0.0
7.151515151515151,460.0,11.269961579851515,kriging,,,spherical,0.0
7.252525252525253,460.0,11.032065247262727,kriging,,,spherical,0.0
7.353535353535354,460.0,10.665276866960946,kriging,,,spherical,0.0
7.454545454545454,460.0,10.155641896080102,kriging,,,spherical,0.0
7.555555555555555,460.0,9.480152685667601,kriging,,,spherical,0.0
7.656565656565657,460.0,8.59981824849207,kriging,,,spherical,0.0
7.757575757575758,460.0,7.442301639455613,kriging,,,spherical,0.0
7.858585858585858,460.0,5.84519442557993,kriging,,,spherical,0.0
7.959595959595959,460.0,3.208158212352018,kriging,,,spherical,0.0
8.06060606060606,460.0,3.9392951565583205,kriging,,,spherical,0.0
8.161616161616163,460.0,6.3498611631628945,kriging,,,spherical,0.0
8.262626262626263,460.0,7.987331788057793,kriging,,,spherical,0.0
8.363636363636363,460.0,9.270824098182546,kriging,,,spherical,0.0
8.464646464646464,460.0,10.333092841857367,kriging,,,spherical,0.0
8.565656565656566,460.0,11.237050195587129,kriging,,,spherical,0.0
8.666666666666668,460.0,12.0184688971494,kriging,,,spherical,0.0
8.767676767676768,460.0,12.699986250343864,kriging,,,spherical,0.0
8.868686868686869,460.0,13.29697031393195,kriging,,,spherical,0.0
8.969696969696969,460.0,13.820378379978635,kriging,,,spherical,0.0
9.070707070707071,460.0,14.278302737567856,kriging,,,spherical,0.0
9.171717171717171,460.0,14.676872821091559,kriging,,,spherical,0.0
9.272727272727273,460.0,15.020813132093105,kriging,,,spherical,0.0
