Time,Temperature,A32_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,2.135816239251904,kriging,,,spherical,0.0
2.101010101010101,460.0,2.109649237167285,kriging,,,spherical,0.0
2.202020202020202,460.0,2.0831077569292735,kriging,,,spherical,0.0
2.303030303030303,460.0,2.056176892963433,kriging,,,spherical,0.0
2.404040404040404,460.0,2.0288407275334044,kriging,,,spherical,0.0
2.505050505050505,460.0,2.001082231006001,kriging,,,spherical,0.0
2.606060606060606,460.0,1.9728831490758458,kriging,,,spherical,0.0
2.707070707070707,460.0,1.9442238747968013,kriging,,,spherical,0.0
2.808080808080808,460.0,1.9150833028392218,kriging,,,spherical,0.0
2.909090909090909,460.0,1.8854386628586792,kriging,,,spherical,0.0
3.0101010101010104,460.0,1.855265328189696,kriging,,,spherical,0.0
3.111111111111111,460.0,1.824536595244205,kriging,,,spherical,0.0
3.212121212121212,460.0,1.793223427932406,kriging,,,spherical,0.0
3.313131313131313,460.0,1.761294160073474,kriging,,,spherical,0.0
3.4141414141414144,460.0,1.7287141470274447,kriging,,,spherical,0.0
3.515151515151515,460.0,1.6954453555317637,kriging,,,spherical,0.0
3.616161616161616,460.0,1.661445877781493,kriging,,,spherical,0.0
3.717171717171717,460.0,1.6266693519027,kriging,,,spherical,0.0
3.8181818181818183,460.0,1.5910642657745573,kriging,,,spherical,0.0
3.919191919191919,460.0,1.5545731141285313,kriging,,,spherical,0.0
4.020202020202021,460.0,1.5171313692378978,kriging,,,spherical,0.0
4.121212121212121,460.0,1.4786662121571985,kriging,,,spherical,0.0
4.222222222222222,460.0,1.4390949526501104,kriging,,,spherical,0.0
4.3232323232323235,460.0,1.3983230389663632,kriging,,,spherical,0.0
4.424242424242424,460.0,1.3562415192364488,kriging,,,spherical,0.0
4.525252525252525,460.0,1.3127237575600572,kriging,,,spherical,0.0
4.626262626262626,460.0,1.2676211183642252,kriging,,,spherical,0.0
4.727272727272727,460.0,1.2207571926227332,kriging,,,spherical,0.0
4.828282828282829,460.0,1.1719199140809733,kriging,,,spherical,0.0
4.929292929292929,460.0,1.1208505383116318,kriging,,,spherical,0.0
5.03030303030303,460.0,1.0672278081762558,kriging,,,spherical,0.0
5.1313131313131315,460.0,1.0106444546579736,kriging,,,spherical,0.0
5.232323232323232,460.0,0.9505709410191014,kriging,,,spherical,0.0
5.333333333333334,460.0,0.8862967994197724,kriging,,,spherical,0.0
5.434343434343434,460.0,0.8168298710015545,kriging,,,spherical,0.0
5.5353535353535355,460.0,0.7407093149787708,kriging,,,spherical,0.0
5.636363636363637,460.0,0.6556202222377482,kriging,,,spherical,0.0
5.737373737373737,460.0,0.5574691905435655,kriging,,,spherical,0.0
5.838383838383838,460.0,0.4375505146929729,kriging,,,spherical,0.0
5.9393939393939394,460.0,0.2680888478971959,kriging,,,spherical,0.0
6.040404040404041,460.0,0.2167420875176481,kriging,,,spherical,0.0
6.141414141414141,460.0,0.39489936475130644,kriging,,,spherical,0.0
6.242424242424242,460.0,0.5027993892443076,kriging,,,spherical,0.0
6.343434343434343,460.0,0.5810008207807871,kriging,,,spherical,0.0
6.444444444444445,460.0,0.6404759184251464,kriging,,,spherical,0.0
6.545454545454545,460.0,0.6861117418257728,kriging,,,spherical,0.0
6.646464646464646,460.0,0.7205425089254026,kriging,,,spherical,0.0
6.747474747474747,460.0,0.7453226087001664,kriging,,,spherical,0.0
6.848484848484849,460.0,0.7613948053160894,kriging,,,spherical,0.0
6.94949494949495,460.0,0.7693050109223595,kriging,,,spherical,0.0
7.05050505050505,460.0,0.7693050112631141,kriging,,,spherical,0.0
7.151515151515151,460.0,0.7613948063073714,kriging,,,spherical,0.0
7.252525252525253,460.0,0.7453226102499062,kriging,,,spherical,0.0
7.353535353535354,460.0,0.7205425108858731,kriging,,,spherical,0.0
7.454545454545454,460.0,0.686111744002583,kriging,,,spherical,0.0
7.555555555555555,460.0,0.6404759205899909,kriging,,,spherical,0.0
7.656565656565657,460.0,0.5810008226908485,kriging,,,spherical,0.0
7.757575757575758,460.0,0.5027993906728054,kriging,,,spherical,0.0
7.858585858585858,460.0,0.3948993655354777,kriging,,,spherical,0.0
7.959595959595959,460.0,0.2167420876624454,kriging,,,spherical,0.0
8.06060606060606,460.0,0.2661374532169976,kriging,,,spherical,0.0
8.161616161616163,460.0,0.4289944802512639,kriging,,,spherical,0.0
8.262626262626263,460.0,0.539621443834504,kriging,,,spherical,0.0
8.363636363636363,460.0,0.6263337517640544,kriging,,,spherical,0.0
8.464646464646464,460.0,0.6981002700974296,kriging,,,spherical,0.0
8.565656565656566,460.0,0.7591713242780718,kriging,,,spherical,0.0
8.666666666666668,460.0,0.8119637084135012,kriging,,,spherical,0.0
8.767676767676768,460.0,0.8580067911210398,kriging,,,spherical,0.0
8.868686868686869,460.0,0.8983388332708082,kriging,,,spherical,0.0
8.969696969696969,460.0,0.9337001058222276,kriging,,,spherical,0.0
9.070707070707071,460.0,0.9646373210980768,kriging,,,spherical,0.0
9.171717171717171,460.0,0.9915645816212038,kriging,,,spherical,0.0
9.272727272727273,460.0,1.014801073123286,kriging,,,spherical,0.0
9.373737373737374,460.0,1.034595442034128,kriging,,,spherical,0.0
9.474747474747474,460.0,1.051142112124069,kriging,,,spherical,0.0
9.575757575757574,460.0,1.064592483721317,kriging,,,spherical,0.0
9.676767676767676,460.0,1.0750627420924637,kriging,,,spherical,0.0
9.777777777777779,460.0,1.0826393243723917,kriging,,,spherical,0.0
9.878787878787879,460.0,1.087382698174052,kriging,,,spherical,0.0
9.97979797979798,460.0,1.0893298614057694,kriging,,,spherical,0.0
10.080808080808081,460.0,1.0884958143650982,kriging,,,spherical,0.0
10.181818181818182,460.0,1.0848741442711565,kriging,,,spherical,0.0
10.282828282828282,460.0,1.0784367762681477,kriging,,,spherical,0.0
10.383838383838384,460.0,1.0691328679957044,kriging,,,spherical,0.0
10.484848484848484,460.0,1.0568867440171026,kriging,,,spherical,0.0
10.585858585858587,460.0,1.0415946675991004,kriging,,,spherical,0.0
10.686868686868687,460.0,1.0231201113524984,kriging,,,spherical,0.0
10.787878787878787,460.0,1.0012869846621264,kriging,,,spherical,0.0
10.88888888888889,460.0,0.9758699516375404,kriging,,,spherical,0.0
10.98989898989899,460.0,0.946580429973901,kriging,,,spherical,0.0
11.09090909090909,460.0,0.9130459045631248,kriging,,,spherical,0.0
11.191919191919192,460.0,0.8747784143508277,kriging,,,spherical,0.0
11.292929292929292,460.0,0.8311245694402885,kriging,,,spherical,0.0
