Time,Temperature,At_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,0.003726434288802045,kriging,,,gaussian,0.0
2.101010101010101,460.0,0.0033783638810624106,kriging,,,gaussian,0.0
2.202020202020202,460.0,0.0031619125634696397,kriging,,,gaussian,0.0
2.303030303030303,460.0,0.002962805609460835,kriging,,,gaussian,0.0
2.404040404040404,460.0,0.0029030506217474065,kriging,,,gaussian,0.0
2.505050505050505,460.0,0.0025082718075959383,kriging,,,gaussian,0.0
2.606060606060606,460.0,0.002415840864758684,kriging,,,gaussian,0.0
2.707070707070707,460.0,0.002212745706916901,kriging,,,gaussian,0.0
2.808080808080808,460.0,0.002090323663897035,kriging,,,gaussian,0.0
2.909090909090909,460.0,0.001699967320264584,kriging,,,gaussian,0.0
3.0101010101010104,460.0,0.0018828835712580414,kriging,,,gaussian,0.0
3.111111111111111,460.0,0.0015973068032185953,kriging,,,gaussian,0.0
3.212121212121212,460.0,0.0015015570868558504,kriging,,,gaussian,0.0
3.313131313131313,460.0,0.00135342215874521,kriging,,,gaussian,0.0
3.4141414141414144,460.0,0.0006587842266467925,kriging,,,gaussian,0.0
3.515151515151515,460.0,0.0006675476004293234,kriging,,,gaussian,0.0
3.616161616161616,460.0,0.0003977883554774467,kriging,,,gaussian,0.0
3.717171717171717,460.0,0.0008482373468109418,kriging,,,gaussian,0.0
3.8181818181818183,460.0,0.0007050166905026598,kriging,,,gaussian,0.0
3.919191919191919,460.0,0.0,kriging,,,gaussian,0.0
4.020202020202021,460.0,0.0,kriging,,,gaussian,0.0
4.121212121212121,460.0,0.00025001798997919606,kriging,,,gaussian,0.0
4.222222222222222,460.0,0.0,kriging,,,gaussian,0.0
4.3232323232323235,460.0,0.0,kriging,,,gaussian,0.0
4.424242424242424,460.0,0.0,kriging,,,gaussian,0.0
4.525252525252525,460.0,0.0,kriging,,,gaussian,0.0
4.626262626262626,460.0,0.0,kriging,,,gaussian,0.0
4.727272727272727,460.0,0.0,kriging,,,gaussian,0.0
4.828282828282829,460.0,0.0,kriging,,,gaussian,0.0
4.929292929292929,460.0,0.0,kriging,,,gaussian,0.0
5.03030303030303,460.0,0.0,kriging,,,gaussian,0.0
5.1313131313131315,460.0,0.0,kriging,,,gaussian,0.0
5.232323232323232,460.0,0.0,kriging,,,gaussian,0.0
5.333333333333334,460.0,0.0,kriging,,,gaussian,0.0
5.434343434343434,460.0,0.0,kriging,,,gaussian,0.0
5.5353535353535355,460.0,0.0,kriging,,,gaussian,0.0
5.636363636363637,460.0,0.0,kriging,,,gaussian,0.0
5.737373737373737,460.0,0.0,kriging,,,gaussian,0.0
5.838383838383838,460.0,0.0,kriging,,,gaussian,0.0
5.9393939393939394,460.0,0.0,kriging,,,gaussian,0.0
6.040404040404041,460.0,0.0,kriging,,,gaussian,0.0
6.141414141414141,460.0,0.0,kriging,,,gaussian,0.0
6.242424242424242,460.0,0.0,kriging,,,gaussian,0.0
6.343434343434343,460.0,0.0,kriging,,,gaussian,0.0
6.444444444444445,460.0,0.0,kriging,,,gaussian,0.0
6.545454545454545,460.0,0.0,kriging,,,gaussian,0.0
6.646464646464646,460.0,0.0,kriging,,,gaussian,0.0
6.747474747474747,460.0,0.0,kriging,,,gaussian,0.0
6.848484848484849,460.0,0.0,kriging,,,gaussian,0.0
6.94949494949495,460.0,0.0,kriging,,,gaussian,0.0
7.05050505050505,460.0,0.0,kriging,,,gaussian,0.0
7.151515151515151,460.0,0.0,kriging,,,gaussian,0.0
7.252525252525253,460.0,0.0,kriging,,,gaussian,0.0
7.353535353535354,460.0,0.0,kriging,,,gaussian,0.0
7.454545454545454,460.0,0.0,kriging,,,gaussian,0.0
7.555555555555555,460.0,0.0,kriging,,,gaussian,0.0
7.656565656565657,460.0,0.0,kriging,,,gaussian,0.0
7.757575757575758,460.0,0.0,kriging,,,gaussian,0.0
7.858585858585858,460.0,0.0,kriging,,,gaussian,0.0
7.959595959595959,460.0,0.0,kriging,,,gaussian,0.0
8.06060606060606,460.0,0.0,kriging,,,gaussian,0.0
8.161616161616163,460.0,0.0,kriging,,,gaussian,0.0
8.262626262626263,460.0,0.0,kriging,,,gaussian,0.0
8.363636363636363,460.0,0.0,kriging,,,gaussian,0.0
8.464646464646464,460.0,0.0,kriging,,,gaussian,0.0
8.565656565656566,460.0,0.0,kriging,,,gaussian,0.0
8.666666666666668,460.0,0.0,kriging,,,gaussian,0.0
8.767676767676768,460.0,0.0,kriging,,,gaussian,0.0
8.868686868686869,460.0,0.0,kriging,,,gaussian,0.0
8.969696969696969,460.0,0.0,kriging,,,gaussian,0.0
9.070707070707071,460.0,0.0,kriging,,,gaussian,0.0
9.171717171717171,460.0,0.0,kriging,,,gaussian,0.0
9.272727272727273,460.0,0.0,kriging,,,gaussian,0.0
9.373737373737374,460.0,0.0,kriging,,,gaussian,0.0
9.474747474747474,460.0,0.0,kriging,,,gaussian,0.0
9.575757575757574,460.0,0.0,kriging,,,gaussian,0.0
9.676767676767676,460.0,0.0,kriging,,,gaussian,0.0
9.777777777777779,460.0,0.0,kriging,,,gaussian,0.0
9.878787878787879,460.0,0.0,kriging,,,gaussian,0.0
9.97979797979798,460.0,0.0,kriging,,,gaussian,0.0
10.080808080808081,460.0,0.0,kriging,,,gaussian,0.0
10.181818181818182,460.0,0.0,kriging,,,gaussian,0.0
10.282828282828282,460.0,0.0,kriging,,,gaussian,0.0
10.383838383838384,460.0,0.0,kriging,,,gaussian,0.0
10.484848484848484,460.0,0.0,kriging,,,gaussian,0.0
10.585858585858587,460.0,0.0,kriging,,,gaussian,0.0
10.686868686868687,460.0,0.0,kriging,,,gaussian,0.0
10.787878787878787,460.0,0.0,kriging,,,gaussian,0.0
10.88888888888889,460.0,0.0,kriging,,,gaussian,0.0
10.98989898989899,460.0,0.0,kriging,,,gaussian,0.0
11.09090909090909,460.0,0.0,kriging,,,gaussian,0.0
11.191919191919192,460.0,0.0,kriging,,,gaussian,0.0
11.292929292929292,460.0,0.0,kriging,,,gaussian,0.0
11.393939393939394,460.0,0.0,kriging,,,gaussian,0.0
11.494949494949495,460.0,0.0,kriging,,,gaussian,0.0
11.595959595959595,460.0,0.0,kriging,,,gaussian,0.0
